E603 Drela
    1.000006      0.2499345E-03
   0.9953529      0.1314795E-02
   0.9893049      0.2862229E-02
   0.9823547      0.4793277E-02
   0.9743307      0.7131384E-02
   0.9651297      0.9869578E-02
   0.9548409      0.1291702E-01
   0.9437001      0.1614132E-01
   0.9319026      0.1943499E-01
   0.9195862      0.2275677E-01
   0.9068434      0.2609365E-01
   0.8937475      0.2945641E-01
   0.8803869      0.3285557E-01
   0.8668720      0.3628986E-01
   0.8532964      0.3974763E-01
   0.8397069      0.4322521E-01
   0.8261141      0.4672470E-01
   0.8125193      0.5024575E-01
   0.7989196      0.5379015E-01
   0.7853060      0.5735791E-01
   0.7716770      0.6094492E-01
   0.7580364      0.6454650E-01
   0.7443987      0.6815168E-01
   0.7307995      0.7174189E-01
   0.7172677      0.7530018E-01
   0.7038226      0.7880875E-01
   0.6904696      0.8225218E-01
   0.6772096      0.8561818E-01
   0.6640426      0.8889404E-01
   0.6509620      0.9206838E-01
   0.6379592      0.9513281E-01
   0.6250275      0.9807916E-01
   0.6121567      0.1008997    
   0.5993345      0.1035896    
   0.5865520      0.1061452    
   0.5738022      0.1085624    
   0.5610766      0.1108379    
   0.5483693      0.1129700    
   0.5356779      0.1149558    
   0.5229985      0.1167926    
   0.5103277      0.1184789    
   0.4976656      0.1200131    
   0.4850121      0.1213925    
   0.4723651      0.1226153    
   0.4597252      0.1236806    
   0.4470941      0.1245863    
   0.4344710      0.1253304    
   0.4218558      0.1259123    
   0.4092511      0.1263307    
   0.3966576      0.1265837    
   0.3840752      0.1266707    
   0.3715068      0.1265911    
   0.3589545      0.1263432    
   0.3464184      0.1259260    
   0.3339009      0.1253396    
   0.3214055      0.1245826    
   0.3089323      0.1236539    
   0.2964835      0.1225537    
   0.2840632      0.1212813    
   0.2716725      0.1198359    
   0.2593163      0.1182192    
   0.2470052      0.1164320    
   0.2347479      0.1144735    
   0.2225560      0.1123457    
   0.2104487      0.1100492    
   0.1984405      0.1075811    
   0.1865444      0.1049408    
   0.1747801      0.1021281    
   0.1631642      0.9913986E-01
   0.1517148      0.9597716E-01
   0.1404589      0.9264154E-01
   0.1294222      0.8913368E-01
   0.1186379      0.8546141E-01
   0.1081497      0.8163341E-01
   0.9800185E-01  0.7766155E-01
   0.8824939E-01  0.7356884E-01
   0.7895540E-01  0.6938321E-01
   0.7018406E-01  0.6514515E-01
   0.6200427E-01  0.6090556E-01
   0.5447248E-01  0.5671287E-01
   0.4762055E-01  0.5261637E-01
   0.4145708E-01  0.4865996E-01
   0.3596440E-01  0.4487498E-01
   0.3110207E-01  0.4128336E-01
   0.2681774E-01  0.3789480E-01
   0.2305431E-01  0.3470440E-01
   0.1975297E-01  0.3169923E-01
   0.1685654E-01  0.2886537E-01
   0.1431285E-01  0.2618964E-01
   0.1207603E-01  0.2365965E-01
   0.1010596E-01  0.2126423E-01
   0.8367631E-02  0.1899373E-01
   0.6832033E-02  0.1683870E-01
   0.5477910E-02  0.1478792E-01
   0.4291972E-02  0.1282820E-01
   0.3267029E-02  0.1094578E-01
   0.2399034E-02  0.9128573E-02
   0.1682774E-02  0.7369092E-02
   0.1110625E-02  0.5663987E-02
   0.6732043E-03  0.4011016E-02
   0.3651907E-03  0.2412044E-02
   0.1879616E-03  0.8682533E-03
   0.1505575E-03 -0.6384214E-03
   0.2800428E-03 -0.2139260E-02
   0.6215202E-03 -0.3652573E-02
   0.1213139E-02 -0.5147900E-02
   0.2061392E-02 -0.6589250E-02
   0.3144169E-02 -0.7966582E-02
   0.4430270E-02 -0.9291077E-02
   0.5896964E-02 -0.1058463E-01
   0.7535343E-02 -0.1186811E-01
   0.9350422E-02 -0.1315451E-01
   0.1135796E-01 -0.1444939E-01
   0.1358077E-01 -0.1575585E-01
   0.1604705E-01 -0.1707923E-01
   0.1878952E-01 -0.1843077E-01
   0.2184739E-01 -0.1982603E-01
   0.2526915E-01 -0.2127940E-01
   0.2911542E-01 -0.2279968E-01
   0.3346061E-01 -0.2439072E-01
   0.3839185E-01 -0.2605661E-01
   0.4400465E-01 -0.2780261E-01
   0.5039712E-01 -0.2962769E-01
   0.5766105E-01 -0.3152379E-01
   0.6585853E-01 -0.3348317E-01
   0.7499090E-01 -0.3548586E-01
   0.8500093E-01 -0.3749390E-01
   0.9578425E-01 -0.3947681E-01
   0.1071953     -0.4140498E-01
   0.1190993     -0.4325113E-01
   0.1313805     -0.4500641E-01
   0.1439373     -0.4666151E-01
   0.1567072     -0.4821284E-01
   0.1696390     -0.4966507E-01
   0.1826924     -0.5101809E-01
   0.1958463     -0.5227585E-01
   0.2090748     -0.5344405E-01
   0.2223553     -0.5452258E-01
   0.2356761     -0.5551359E-01
   0.2490178     -0.5642060E-01
   0.2623526     -0.5724381E-01
   0.2756496     -0.5798611E-01
   0.2888205     -0.5863978E-01
