Alpha,T1-13.9 m/s-VLM1, , 
          -10,     0.1909077, , 
         -9.9,     0.1874228, , 
         -9.8,     0.1839226, , 
         -9.7,     0.1804058, , 
         -9.6,     0.1768703, , 
         -9.5,       0.17332, , 
         -9.4,     0.1697576, , 
         -9.3,     0.1661827, , 
         -9.2,     0.1625947, , 
         -9.1,     0.1589923, , 
           -9,     0.1553756, , 
         -8.9,      0.151743, , 
         -8.8,     0.1480947, , 
         -8.7,     0.1444311, , 
         -8.6,     0.1407517, , 
         -8.5,     0.1370572, , 
         -8.4,     0.1333475, , 
         -8.3,     0.1296226, , 
         -8.2,     0.1258813, , 
         -8.1,     0.1221232, , 
           -8,     0.1183469, , 
         -7.9,     0.1145524, , 
         -7.8,     0.1107397, , 
         -7.7,     0.1069049, , 
         -7.6,     0.1030446, , 
         -7.5,    0.09916139, , 
         -7.4,    0.09526224, , 
         -7.3,    0.09135501, , 
         -7.2,    0.08744214, , 
         -7.1,    0.08352209, , 
           -7,    0.07959372, , 
         -6.9,    0.07565619, , 
         -6.8,    0.07170814, , 
         -6.7,     0.0677481, , 
         -6.6,    0.06377535, , 
         -6.5,    0.05978965, , 
         -6.4,    0.05579048, , 
         -6.3,    0.05177792, , 
         -6.2,    0.04775186, , 
         -6.1,    0.04371176, , 
           -6,    0.03965741, , 
         -5.9,    0.03558871, , 
         -5.8,    0.03150536, , 
         -5.7,    0.02740715, , 
         -5.6,    0.02329402, , 
         -5.5,    0.01916602, , 
         -5.4,    0.01502336, , 
         -5.3,    0.01086596, , 
         -5.2,   0.006694136, , 
         -5.1,   0.002508283, , 
           -5,  -0.001691452, , 
         -4.9,  -0.005904236, , 
         -4.8,   -0.01013027, , 
         -4.7,   -0.01436955, , 
         -4.6,   -0.01862204, , 
         -4.5,    -0.0228876, , 
         -4.4,   -0.02716616, , 
         -4.3,   -0.03145889, , 
         -4.2,   -0.03576503, , 
         -4.1,   -0.04008423, , 
           -4,   -0.04441675, , 
         -3.9,   -0.04876245, , 
         -3.8,   -0.05312129, , 
         -3.7,   -0.05749295, , 
         -3.6,   -0.06187733, , 
         -3.5,   -0.06627455, , 
         -3.4,   -0.07068511, , 
         -3.3,   -0.07510865, , 
         -3.2,   -0.07954571, , 
         -3.1,   -0.08399652, , 
           -3,   -0.08846056, , 
         -2.9,    -0.0929375, , 
         -2.8,   -0.09742804, , 
         -2.7,    -0.1019317, , 
         -2.6,    -0.1064496, , 
         -2.5,    -0.1109815, , 
         -2.4,    -0.1155269, , 
         -2.3,    -0.1200869, , 
         -2.2,     -0.124662, , 
         -2.1,    -0.1292523, , 
           -2,    -0.1338589, , 
         -1.9,    -0.1384813, , 
         -1.8,    -0.1431193, , 
         -1.7,    -0.1477705, , 
         -1.6,    -0.1524326, , 
         -1.5,    -0.1571046, , 
         -1.4,    -0.1617847, , 
         -1.3,    -0.1664735, , 
         -1.2,    -0.1711719, , 
         -1.1,    -0.1758802, , 
           -1,    -0.1805987, , 
         -0.9,    -0.1853287, , 
         -0.8,    -0.1900694, , 
         -0.7,    -0.1948216, , 
         -0.6,    -0.1995846, , 
         -0.5,    -0.2043577, , 
         -0.4,    -0.2091415, , 
         -0.3,     -0.213936, , 
         -0.2,    -0.2187414, , 
         -0.1,    -0.2235578, , 
            0,    -0.2283842, , 
          0.1,    -0.2332217, , 
          0.2,    -0.2380702, , 
          0.3,    -0.2429298, , 
          0.4,    -0.2478004, , 
          0.5,    -0.2526824, , 
          0.6,    -0.2575744, , 
          0.7,    -0.2624771, , 
          0.8,    -0.2673907, , 
          0.9,    -0.2723154, , 
            1,    -0.2772515, , 
          1.1,    -0.2821985, , 
          1.2,    -0.2871554, , 
          1.3,    -0.2921222, , 
          1.4,    -0.2970992, , 
          1.5,     -0.302086, , 
          1.6,    -0.3070829, , 
          1.7,    -0.3120906, , 
          1.8,    -0.3171102, , 
          1.9,    -0.3221398, , 
            2,    -0.3271799, , 
          2.1,    -0.3322295, , 
          2.2,    -0.3372884, , 
          2.3,    -0.3423582, , 
          2.4,    -0.3474388, , 
          2.5,    -0.3525286, , 
          2.6,    -0.3576279, , 
          2.7,    -0.3627364, , 
          2.8,    -0.3678533, , 
          2.9,    -0.3729798, , 
            3,    -0.3781161, , 
          3.1,    -0.3832638, , 
          3.2,    -0.3884209, , 
          3.3,    -0.3935874, , 
          3.4,    -0.3987631, , 
          3.5,    -0.4039479, , 
          3.6,    -0.4091424, , 
          3.7,     -0.414346, , 
          3.8,    -0.4195588, , 
          3.9,    -0.4247792, , 
            4,    -0.4300081, , 
          4.1,    -0.4352464, , 
          4.2,    -0.4404935, , 
          4.3,    -0.4457481, , 
          4.4,      -0.45101, , 
          4.5,    -0.4562805, , 
          4.6,    -0.4615618, , 
          4.7,    -0.4668518, , 
          4.8,    -0.4721514, , 
          4.9,    -0.4774588, , 
            5,    -0.4827744, , 
          5.1,    -0.4880988, , 
          5.2,    -0.4934306, , 
          5.3,    -0.4987698, , 
          5.4,    -0.5041165, , 
          5.5,    -0.5094711, , 
          5.6,    -0.5148336, , 
          5.7,    -0.5202032, , 
          5.8,      -0.52558, , 
          5.9,    -0.5309621, , 
            6,    -0.5363516, , 
          6.1,    -0.5417476, , 
          6.2,    -0.5471535, , 
          6.3,    -0.5525659, , 
          6.4,    -0.5579843, , 
          6.5,    -0.5634101, , 
          6.6,    -0.5688421, , 
          6.7,    -0.5742789, , 
          6.8,    -0.5797213, , 
          6.9,    -0.5851692, , 
            7,    -0.5906196, , 
          7.1,    -0.5960736, , 
          7.2,    -0.6015211, , 
          7.3,    -0.6069664, , 
          7.4,    -0.6123956, , 
          7.5,    -0.6178073, , 
          7.6,    -0.6231873, , 
          7.7,    -0.6285478, , 
          7.8,    -0.6338972, , 
          7.9,    -0.6392236, , 
            8,    -0.6444822, , 
          8.1,    -0.6496908, , 

