timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
44651176,44522619,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
45651338,45521614,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
46651645,46526658,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
47661753,47528615,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
48661946,48528633,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
49652245,49521610,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
50662365,50534614,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
51662529,51531618,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
52662848,52534628,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
53663003,53534615,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
54663190,54538613,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
55663402,55534609,0.1145343,0.08932926,0.001003069,0,0,0,1,1,1,0,0,0,0,0
56653689,56528688,0.14201154,0.017418096,0.0057520564,0,0,0,1,1,1,0,0,0,0,0
57653945,57529380,0.20060442,0.08432416,0.009099535,0,0,0,1,1,1,0,0,0,0,0
58654160,58528614,0.23064326,0.07421843,0.004768706,0,0,0,1,1,1,0,0,0,0,0
59664208,59536620,0.2720437,0.06755174,0.004891007,0,0,0,1,1,1,0,0,0,0,0
60664469,60538616,0.3091737,0.0200039,0.015159744,0,0,0,1,1,1,0,0,0,0,0
61664670,61539816,0.33271864,0.038999815,0.014092684,0,0,0,1,1,1,0,0,0,0,0
62664815,62531612,0.368293,0.044166505,0.017155001,0,0,0,1,1,1,0,0,0,0,0
63655114,63530615,0.3578629,0.12777492,0.018072302,0,0,0,1,1,1,0,0,0,0,0
64655333,64524684,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
65655668,65528615,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
66665647,66531615,0.05356925,0.03695238,0.004427916,0,0,0,1,1,1,0,0,0,0,0
67655955,67528618,0.10407254,0.0674012,0.00705639,0,0,0,1,1,1,0,0,0,0,0
68656197,68530611,0.12545729,0.15971705,0.0055819834,0,0,0,1,1,1,0,0,0,0,0
69656490,69527615,0.1674755,0.2065728,0.0076540327,0,0,0,1,1,1,0,0,0,0,0
70666480,70532619,0.1953957,0.2538637,0.0051867203,0,0,0,1,1,1,0,0,0,0,0
71666825,71538610,0.22436108,0.29798377,0.0034887837,0,0,0,1,1,1,0,0,0,0,0
72656997,72530614,0.23919202,0.32375294,0.007260683,0,0,0,1,1,1,0,0,0,0,0
73657206,73523613,0.24524762,0.3099643,0.0035018781,0,0,0,1,1,1,0,0,0,0,0
74657445,74527611,0.27027223,0.27964786,0.009533568,0,0,0,1,1,1,0,0,0,0,0
75647559,75519612,0.28156847,0.26888493,0.017808141,0,0,0,1,1,1,0,0,0,0,0
76647799,76522954,0.28341964,0.2795608,0.02205454,0,0,0,1,1,1,0,0,0,0,0
77648033,77522612,0.3071639,0.214881,0.015108153,0,0,0,1,1,1,0,0,0,0,0
78648224,78523630,0.32675308,0.20500971,0.014792917,0,0,0,1,1,1,0,0,0,0,0
79648431,79520614,0.33515656,0.22024138,0.021538816,0,0,0,1,1,1,0,0,0,0,0
80648668,80523743,0.33992454,0.20319384,0.028923478,0,0,0,1,1,1,0,0,0,0,0
81658904,81527611,0.34170836,0.20616238,0.022882365,0,0,0,1,1,1,0,0,0,0,0
82659165,82525610,0.32251853,0.20261076,0.015948562,0,0,0,1,1,1,0,0,0,0,0
83649266,83524614,0.34194216,0.12514482,0.016569603,0,0,0,1,1,1,0,0,0,0,0
84659512,84527612,0.33885455,0.111994095,0.004816712,0,0,0,1,1,1,0,0,0,0,0
85649698,85523610,0.34545165,0.10820961,0.005420019,0,0,0,1,1,1,0,0,0,0,0
86649929,86524616,0.35530668,0.10793557,0.0077372044,0,0,0,1,1,1,0,0,0,0,0
87660265,87526637,0.34686276,0.100727886,0.0012085681,0,0,0,1,1,1,0,0,0,0,0
88650319,88519639,0.35148948,0.059027463,0.008377709,0,0,0,1,1,1,0,0,0,0,0
89660654,89527622,0.360655,0.03342754,0.011522737,0,0,0,1,1,1,0,0,0,0,0
90660942,90526617,0.3715081,0.004641668,0.018450346,0,0,0,1,1,1,0,0,0,0,0
91661083,91531609,0.36510763,0.044717852,0.0220425,0,0,0,1,1,1,0,0,0,0,0
92661352,92534667,0.3655189,0.013488765,0.025250537,0,0,0,1,1,1,0,0,0,0,0
93651506,93521612,0.34700844,0.050803944,0.024109373,0,0,0,1,1,1,0,0,0,0,0
94651690,94522038,0.3415711,0.06056752,0.030705424,0,0,0,1,1,1,0,0,0,0,0
95651955,95519612,0.34929585,0.11665243,0.029280497,0,0,0,1,1,1,0,0,0,0,0
96652130,96523611,0.32739568,0.056542367,0.029867638,0,0,0,1,1,1,0,0,0,0,0
97652429,97526705,0.32532534,0.11926409,0.029627739,0,0,0,1,1,1,0,0,0,0,0
98652560,98519621,0.31006473,0.13589269,0.034418914,0,0,0,1,1,1,0,0,0,0,0
99652779,99521614,0.32697055,0.1961048,0.030883446,0,0,0,1,1,1,1,0,0,0,0
100652965,100522614,0.33018234,0.23417509,0.021565365,0,0,0,1,1,1,0,0,0,0,0
101643211,101515613,0.32934788,0.26503384,0.011443053,0,0,0,1,1,1,0,0,0,0,0
102653586,102527611,0.3304817,0.29769236,0.0018738172,0,0,0,1,1,1,0,0,0,0,0
103653697,103527613,0.3279414,0.31306568,0.0145985745,0,0,0,1,1,1,0,0,0,0,0
104653867,104521612,0.32300082,0.265526,0.030585743,0,0,0,1,1,1,0,0,0,0,0
105654122,105521612,0.3315307,0.28834113,0.040916827,0,0,0,1,1,1,0,0,0,0,0
106654508,106524812,0.33584362,0.31390384,0.048298366,0,0,0,1,1,1,0,0,0,0,0
107654559,107525609,0.33113104,0.32660446,0.05127019,0,0,0,1,1,1,0,0,0,0,0
108654797,108527620,0.3358851,0.34751156,0.04883345,0,0,0,1,1,1,0,0,0,0,0
109655015,109530615,0.3384453,0.34711105,0.043217294,0,0,0,1,1,1,1,0,0,0,0
110655241,110530608,0.32283065,0.2957682,0.046230763,0,0,0,1,1,1,0,0,0,0,0
111655469,111526614,0.3268872,0.30233392,0.04591568,0,0,0,1,1,1,0,0,0,0,0
112655704,112529614,0.32140908,0.3099037,0.036283743,0,0,0,1,1,1,0,0,0,0,0
113655932,113530620,0.31526646,0.3091811,0.027340677,0,0,0,1,1,1,1,0,0,0,0
114646159,114514614,0.31434226,0.33251584,0.035869688,0,0,0,1,1,1,0,0,0,0,0
115646408,115521612,0.3063173,0.31804603,0.048294704,0,0,0,1,1,1,0,0,0,0,0
116656601,116526742,0.35087967,0.57429594,0.04061906,0,0,0,1,1,1,0,0,0,0,0
117656844,117528667,0.29122415,0.3518622,0.024635093,0,0,0,1,1,1,0,0,0,0,0
118657042,118526646,0.27403003,0.2952811,0.024165373,0,0,0,1,1,1,1,0,0,0,0
119647314,119521614,0.27191746,0.23098847,0.028134799,0,0,0,1,1,1,0,0,0,0,0
120647575,120521612,0.24122287,0.3686504,0.019746715,0,0,0,1,1,1,1,0,0,0,0
121657761,121526619,0.19632533,0.28090918,0.009902176,0,0,0,1,1,1,1,0,0,0,0
122647984,122519629,0.2013412,0.27290377,0.034065146,0,0,0,1,1,1,0,0,0,0,0
123648232,123522611,0.1787091,0.26740435,0.030870996,0,0,0,1,1,1,1,0,0,0,0
124658429,124526613,0.1707029,0.250591,0.037774168,0,0,0,1,1,1,1,0,0,0,0
125648683,125523770,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
126658952,126525613,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
127639285,127512613,0.044485565,0.074599646,0.026498802,0,0,0,1,1,1,1,0,0,0,0
128649383,128522865,0.02722309,0.20435892,0.05841505,0,0,0,1,1,1,1,0,0,0,0
129649605,129520611,0.080526076,0.0055909213,0.04887262,0,0,0,1,1,1,1,0,0,0,0
130649843,130522612,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
131650103,131519612,0.019642085,0.04671869,0.00925357,0,0,0,1,1,1,0,0,0,0,0
132660320,132528614,0.03158126,0.119103104,0.01566313,0,0,0,1,1,1,1,0,0,0,0
133660547,133529613,0.038053375,0.07068511,0.04979436,0,0,0,1,1,1,1,0,0,0,0
134670811,134538612,0.015131738,0.07784156,0.034064334,0,0,0,1,1,1,1,0,0,0,0
135661200,135530612,0.06306667,0.072535425,0.06586853,0,0,0,1,1,1,1,0,0,0,0
136681276,136547618,0.0780656,0.1760848,0.07650405,0,0,0,1,1,1,1,0,0,0,0
137661501,137530617,0.0918999,0.15215145,0.07418467,0,0,0,1,1,1,1,0,0,0,0
138671768,138538610,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
139652103,139519610,0.06815505,0.10663436,0.030931119,0,0,0,1,1,1,0,0,0,0,0
140662151,140528612,0.10260458,0.14375697,0.066415854,0,0,0,1,1,1,1,0,0,0,0
141652406,141526610,0.15472539,0.018690014,0.083199106,0,0,0,1,1,1,1,0,0,0,0
142662710,142533618,0.17528643,0.05179779,0.07477226,0,0,0,1,1,1,1,0,0,0,0
143652934,143522617,0.18539616,0.070578635,0.036925614,0,0,0,1,1,1,1,0,0,0,0
144673146,144540611,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
145663314,145532611,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
146673610,146542678,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
147653797,147528975,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
148674133,148548612,nan,nan,nan,0,0,0,1,1,1,0,0,0,0,0
149644258,149518616,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
150664553,150536610,0.044496786,0.13109197,0.009755219,0,0,0,1,1,1,1,0,0,0,0
151654778,151525609,0.11838615,0.12975419,0.010600505,0,0,0,1,1,1,1,0,0,0,0
152664976,152534611,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
153645184,153515610,0.050677627,0.14872932,0.032878384,0,0,0,1,1,1,1,0,0,0,0
154670532,154542630,0.044798862,0.24061598,0.02988178,0,0,0,1,1,1,1,0,0,0,0
155665687,155534611,0.06354999,0.38196078,0.0314926,0,0,0,1,1,1,0,0,0,0,0
156676012,156542611,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
157656118,157524615,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
158676467,158543642,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
159656591,159524614,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
160666906,160537615,nan,nan,nan,0,0,0,1,1,1,1,0,0,0,0
