timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
44382390,44381779,41,0,33,0,2073,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
44877406,44876811,41,0,83,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
45367553,45366991,41,0,134,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
45887575,45887014,41,0,188,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
46377848,46377273,41,0,241,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
46872786,46872226,41,0,293,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
47372916,47372356,41,0,344,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
47872988,47872425,41,0,391,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
48383207,48382623,41,0,439,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
48873195,48872635,41,0,491,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
49378297,49377735,41,0,547,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
49883526,49882965,41,0,599,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
50368511,50367950,41,0,651,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
50868659,50868099,41,0,706,0,2005,2005,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
51373712,51373151,41,0,761,0,2005,2005,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
51873833,51873272,41,0,817,0,1515,1515,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
52369024,52368426,41,0,869,0,999,998,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
52879028,52878467,41,0,926,0,999,998,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
53364200,53363639,41,0,979,0,1001,1000,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
53879314,53878749,41,0,1019,0,1001,1000,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
54089283,54088722,41,0,1039,0,1001,1000,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
63886306,63885746,40,0,1041,0,1002,1001,1526,1579,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
142823895,142823333,40,0,1042,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
142843948,142843385,40,0,1044,0,999,998,1526,1580,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
143324024,143323463,41,0,1097,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
143824124,143823564,41,0,1152,0,999,998,1526,1580,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
144299237,144298677,41,0,1193,0,999,998,1526,1580,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
145654579,145654019,40,0,1194,0,999,998,1526,1580,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
145679564,145679004,40,0,1197,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
146154672,146154110,41,0,1250,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
146654824,146654264,41,0,1305,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
147044912,147044351,41,0,1347,0,999,998,1526,1580,1285,1496,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
147650060,147649501,41,0,1365,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
148115127,148114567,41,0,1415,0,999,998,1526,1579,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
148440215,148439653,41,0,1420,0,999,998,1526,1580,1285,1495,982,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
164754079,164753505,40,0,1422,0,999,998,1526,1580,1285,1495,982,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
164774176,164773565,40,0,1424,0,999,998,1526,1580,1285,1495,982,982,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
