timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
43737573,43671557,1,1,0,0,0,0,0,0,0,0,0
44742833,44721791,1,1,0,0,0,0,0,0,0,0,0
45752980,45732025,1,1,0,0,0,0,0,0,0,0,0
46758171,46737194,1,1,0,0,0,0,0,0,0,0,0
47758365,47732417,1,1,0,0,0,0,0,0,0,0,0
48758609,48737632,1,1,0,0,0,0,0,0,0,0,0
49773807,49747936,1,1,0,0,0,0,0,0,0,0,0
50784002,50763041,1,1,0,0,0,0,0,0,0,0,0
51794220,51768271,1,1,0,0,0,0,0,0,0,0,0
52794458,52768475,1,1,0,0,0,0,0,0,0,0,0
53794635,53768675,1,1,0,0,0,0,0,0,0,0,0
142871273,142843385,1,1,0,0,0,0,0,0,0,0,0
143896455,143863613,1,1,0,0,0,0,0,0,0,0,0
145699976,145679004,1,1,0,0,0,0,0,0,0,0,0
146705209,146679244,1,1,0,0,0,0,0,0,0,0,0
147715467,147694499,1,1,0,0,0,0,0,0,0,0,0
164799475,164773565,1,1,0,0,0,0,0,0,0,0,0
