timestamp,safety_switch_available,safety_off
42896187,1,1
43897631,1,1
44905606,1,1
45914606,1,1
46921661,1,1
47928606,1,1
48937628,1,1
49945606,1,1
50952606,1,1
51961606,1,1
52965606,1,1
53972606,1,1
54973606,1,1
55980606,1,1
56989606,1,1
57999023,1,1
59006622,1,1
60013606,1,1
61021606,1,1
62029820,1,1
63036606,1,1
64044608,1,1
65052606,1,1
66060656,1,1
67069606,1,1
68078606,1,1
69087606,1,1
70095613,1,1
71103606,1,1
72111893,1,1
73119607,1,1
74126629,1,1
75134651,1,1
76143628,1,1
77150606,1,1
78158607,1,1
79167629,1,1
80171606,1,1
81180606,1,1
82189607,1,1
83198606,1,1
84207606,1,1
85216635,1,1
86223606,1,1
87231606,1,1
88239606,1,1
89246606,1,1
90253607,1,1
91261637,1,1
92270606,1,1
93277606,1,1
94286681,1,1
95295606,1,1
96304606,1,1
97313606,1,1
98320606,1,1
99327794,1,1
100336628,1,1
101344606,1,1
102351608,1,1
103359606,1,1
104367606,1,1
105374728,1,1
106382606,1,1
107391606,1,1
108400079,1,1
109408607,1,1
110416606,1,1
111423606,1,1
112431049,1,1
113438606,1,1
114445632,1,1
115454606,1,1
116462606,1,1
117470606,1,1
118478606,1,1
119486606,1,1
120494606,1,1
121503621,1,1
122512606,1,1
123519606,1,1
124527629,1,1
125536606,1,1
126541606,1,1
127549606,1,1
128557606,1,1
129564718,1,1
130572628,1,1
131581606,1,1
132588631,1,1
133597607,1,1
134606606,1,1
135614606,1,1
136622606,1,1
137631607,1,1
138638606,1,1
139646606,1,1
140655606,1,1
141662606,1,1
142671606,1,1
143673143,1,1
144681606,1,1
145690606,1,1
146699606,1,1
147706629,1,1
148714606,1,1
149724606,1,1
150732606,1,1
151740607,1,1
152747669,1,1
153756606,1,1
154764606,1,1
155771607,1,1
156779606,1,1
157788606,1,1
158796606,1,1
159803606,1,1
160811932,1,1
161819872,1,1
162827606,1,1
163836606,1,1
164844609,1,1
