timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
43885604,0.008082377,0.044499017,0.005913143,5002,0,1.9263697,-0.12637074,-10.38181,4918,0,2,0
43890605,-0.01323966,-0.06001245,-0.00023520463,5001,0,-0.59714264,-1.4147575,-8.91138,4919,0,2,0
43895606,0.028448183,0.04473009,-0.0031336811,5001,0,2.3173866,0.0029936447,-10.614356,4916,0,2,0
43900607,-0.05163175,-0.067947716,-0.003495395,5001,0,-0.95717573,-1.4170188,-8.9051075,4918,0,2,0
43905608,0.032464534,0.035722032,0.0044153035,5001,0,2.4698067,0.10811711,-10.804673,4917,0,2,0
43910609,-0.046914395,-0.06460292,-0.0078132795,5001,0,-1.0180458,-1.0759481,-8.751802,4918,0,2,0
43915610,0.034461055,0.017410656,0.0007418954,5001,0,2.1738858,0.066653006,-10.838018,4918,0,2,0
43920611,-0.04775038,-0.027363857,0.0022765305,5001,0,-0.8249786,-0.32941732,-9.317817,4918,0,2,0
43925612,0.043983106,0.004035187,3.9411752e-05,5001,0,1.8080678,-0.10577029,-10.561344,4919,0,2,0
43930613,-0.008049336,-0.0039300583,0.0027924078,5001,0,-0.19685452,-0.39254984,-9.357787,4918,0,2,0
43935614,0.029813126,-0.017687982,0.010690357,5001,0,1.0080935,-0.7589357,-10.005677,4918,0,2,0
43940615,0.0334136,0.027824068,0.0041915406,5001,0,1.4003017,-0.39736506,-10.164894,7377,0,2,0
43945617,-0.028617222,-0.033582922,-0.0053143743,5002,0,-1.1359676,-1.3382474,-8.952476,4918,0,2,0
43950617,0.036818966,0.028726773,0.008067912,5000,0,2.3300192,-0.07235002,-10.413392,4918,0,2,0
43955619,-0.061037906,-0.064430885,-0.011865446,5002,0,-0.9387297,-0.7682701,-9.32691,4918,0,2,0
43960619,0.03616029,0.044732586,0.0150646465,5000,0,1.9840066,0.19163033,-10.682894,4918,0,2,0
43965620,-0.052809414,-0.059789836,-0.010070852,5001,0,-0.45974815,-0.3253094,-8.933301,4918,0,2,0
43970621,0.083118826,0.026610626,0.022057204,5001,0,1.6956671,-0.6206476,-10.09981,4917,0,2,0
