timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
44637617,1683393229599716,11010053,423602255,-710938398,65328,32175,0.81200004,2.9330156,34.541,70.40501,1.88,2.81,81,4,0.17300001,-0.16700001,-0.047000002,0.035,0.0,0,nan,0.0,0.0,780,3,0,1,6
45636614,1683393230599716,11010053,423602295,-710938364,65814,32660,0.8,2.9330547,34.482002,70.379005,1.88,2.81,81,6,0.18800001,0.021000002,-0.187,-0.054,0.0,0,nan,0.0,0.0,780,3,0,1,6
46641660,1683393231599717,11010053,423602244,-710938318,65128,31974,0.90300006,2.933094,34.429,70.357,1.88,2.81,81,5,0.21700001,-0.14500001,0.16100001,0.065000005,0.0,0,nan,0.0,0.0,780,3,0,1,6
47643613,1683393232599718,11010053,423602236,-710938278,65794,32640,0.91200006,2.9331324,34.378002,70.336006,1.88,2.81,81,6,0.162,0.08400001,-0.13800001,-0.067,0.0,0,nan,0.0,0.0,780,3,0,1,6
48643633,1683393233599719,11010053,423602269,-710938238,66743,33590,0.92800003,2.9331753,34.33,70.315,1.88,2.81,81,4,0.087000005,0.086,0.009000001,-0.052,0.0,0,nan,0.0,0.0,780,3,0,1,6
49636613,1683393234599720,11010053,423602376,-710938247,67715,34562,0.78400004,2.9332142,28.571001,58.358,1.4599999,2.48,81,5,0.126,-0.098000005,0.079,-0.091000006,0.0,0,nan,0.0,0.0,780,3,0,1,7
50649612,1683393235599720,11010053,423602494,-710938288,68341,35187,0.771,2.933248,28.038002,58.320004,1.4599999,2.48,81,5,0.056,0.0050000004,0.055000003,-0.12900001,0.0,0,nan,0.0,0.0,780,3,0,1,7
51646618,1683393236599721,11010053,423602559,-710938279,68867,35713,0.578,2.93328,27.734001,58.340004,1.4599999,2.48,81,5,0.089,-0.067,-0.060000002,-0.15200001,0.0,0,nan,0.0,0.0,780,3,0,1,7
52649629,1683393237599722,11010053,423602613,-710938235,69606,36453,0.823,2.9333155,27.522001,58.266003,1.4599999,2.48,81,6,0.178,-0.072000004,0.163,-0.11100001,0.0,0,nan,0.0,0.0,780,3,0,1,7
53649613,1683393238599723,11010053,423602610,-710938192,69006,35852,0.80300003,2.9333522,27.358002,58.183002,1.4599999,2.48,81,6,0.156,-0.15200001,-0.031000001,0.061000004,0.0,0,nan,0.0,0.0,780,3,0,1,7
54653613,1683393239599723,11010053,423602575,-710938137,67560,34407,0.58500004,2.933379,27.252,58.159004,1.4599999,2.48,82,6,0.071,0.067,0.024,0.054,0.0,0,nan,0.0,0.0,780,3,0,1,7
55649613,1683393240599724,11010053,423602685,-710938113,67999,34845,0.65900004,2.933411,27.171001,58.134003,1.4599999,2.48,82,7,0.018000001,0.018000001,-0.001,0.012,0.0,0,nan,0.0,0.0,780,3,0,1,7
56643688,1683393241599725,11010053,423602713,-710938069,67318,34165,0.739,2.933443,27.105001,58.111004,1.4599999,2.48,82,5,0.066,0.027,-0.060000002,0.086,0.0,0,nan,0.0,0.0,780,3,0,1,7
57644383,1683393242599726,11010053,423602772,-710938020,68052,34899,0.80100006,2.9334784,27.052002,58.090004,1.4599999,2.48,82,5,0.119,-0.043,-0.11100001,0.13000001,0.0,0,nan,0.0,0.0,780,3,0,1,7
58643613,1683393243599726,11010053,423602801,-710937962,68019,34865,0.744,2.9335113,26.995,58.044003,1.4599999,2.48,82,5,0.062000003,-0.047000002,0.039,-0.033,0.0,0,nan,0.0,0.0,780,3,0,1,7
59651619,1683393244599727,11010053,423602843,-710937902,68025,34871,0.883,2.9335485,26.972002,58.051003,1.4599999,2.48,82,5,0.42400002,-0.39800003,0.147,0.082,0.0,0,nan,0.0,0.0,780,3,0,1,7
60453612,1683393245399728,11010053,423602879,-710937853,67476,34322,0.76600003,2.9335752,26.941002,58.028004,1.4599999,2.48,82,5,0.080000006,-0.046000004,-0.066,0.105000004,0.0,0,nan,0.0,0.0,780,3,0,1,7
61454678,1683393246399728,11010053,423602926,-710937827,67076,33923,0.68200004,2.9336097,26.952002,58.097004,1.4599999,2.48,82,5,0.13700001,0.055000003,-0.126,-0.08800001,0.0,0,nan,0.0,0.0,780,3,0,1,7
62646612,1683393247599729,11010053,423602989,-710937776,66907,33754,0.77400005,2.9336512,26.910002,58.018,1.4599999,2.48,82,4,0.22100002,0.117000006,-0.18800001,-0.003,0.0,0,nan,0.0,0.0,780,3,0,1,7
63645613,1683393248599730,11010053,423602999,-710937739,66001,32847,0.66300005,2.9336855,26.893002,58.003002,1.4599999,2.48,82,6,0.031000001,-0.028,-0.014,0.091000006,0.0,0,nan,0.0,0.0,780,3,0,1,7
64639685,1683393249599731,11010053,423603024,-710937702,65382,32228,0.80600005,2.9337175,26.835001,57.854004,1.4599999,2.48,82,5,0.086,-0.059000004,-0.062000003,0.040000003,0.0,0,nan,0.0,0.0,780,3,0,1,7
65643618,1683393250599732,11010053,423603071,-710937680,65545,32391,0.753,2.9337525,26.832,57.855003,1.4599999,2.48,82,6,0.11800001,0.108,-0.048,-0.068,0.0,0,nan,0.0,0.0,780,3,0,1,7
66646614,1683393251599732,11010053,423603111,-710937639,65159,32006,0.61700004,2.933785,26.823002,57.845,1.4599999,2.48,82,5,0.067,-0.014,-0.066,-0.033,0.0,0,nan,0.0,0.0,780,3,0,1,7
