timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
43885752,4259850,4259850,2490378,0,0,0.067675754,0.067675725,0.0,0.0,4325386,4325386,2490378,0,0,0.0018227308,0.0018227311,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
43890753,4259850,4259850,2490378,0,0,0.08138398,0.08138398,0.0,0.0,4325386,4325386,2490378,0,0,0.0033387092,0.0033387092,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
44090852,4259850,4259850,2490378,0,0,0.06778157,0.06778161,0.0,0.0,4325386,4325386,2490378,0,0,0.0023703,0.0023703,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
44290828,4259850,4259850,2490378,0,0,0.060943983,0.060943995,0.0,0.0,4325386,4325386,2490378,0,0,0.002092816,0.0020928152,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
44490873,4259850,4259850,2490378,0,0,0.062544286,0.06254429,0.0,0.0,4325386,4325386,2490378,0,0,0.0027030346,0.0027030339,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
44690909,4259850,4259850,2490378,0,0,0.057345986,0.05734596,0.0,0.0,4325386,4325386,2490378,0,0,0.0016807511,0.0016807513,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
44890960,4259850,4259850,2490378,0,0,0.082107924,0.082107954,0.0,0.0,4325386,4325386,2490378,0,0,0.00305728,0.00305728,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
45085984,4259850,4259850,2490378,0,0,0.07447346,0.074473485,0.0,0.0,4325386,4325386,2490378,0,0,0.002040264,0.002040264,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
45286028,4259850,4259850,2490378,0,0,0.08859551,0.08859551,0.0,0.0,4325386,4325386,2490378,0,0,0.002330556,0.0023305563,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
45491070,4259850,4259850,2490378,0,0,0.058616646,0.058616634,0.0,0.0,4325386,4325386,2490378,0,0,0.002313981,0.0023139818,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
45691110,4259850,4259850,2490378,0,0,0.06560454,0.06560453,0.0,0.0,4325386,4325386,2490378,0,0,0.003120882,0.0031208824,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
45891151,4259850,4259850,2490378,0,0,0.057034083,0.057034105,0.0,0.0,4325386,4325386,2490378,0,0,0.003036484,0.0030364834,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
46091204,4259850,4259850,2490378,0,0,0.066944785,0.06694477,0.0,0.0,4325386,4325386,2490378,0,0,0.0032242446,0.003224245,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
46291247,4259850,4259850,2490378,0,0,0.07602986,0.07602989,0.0,0.0,4325386,4325386,2490378,0,0,0.0016775391,0.0016775392,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
46486273,4259850,4259850,2490378,0,0,0.056253124,0.056253128,0.0,0.0,4325386,4325386,2490378,0,0,0.0019924503,0.0019924503,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
46686313,4259850,4259850,2490378,0,0,0.051479988,0.05147997,0.0,0.0,4325386,4325386,2490378,0,0,0.0022865175,0.0022865175,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
46891519,4259850,4259850,2490378,0,0,0.048989527,0.048989523,0.0,0.0,4325386,4325386,2490378,0,0,0.0026147284,0.0026147289,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
47091401,4259850,4259850,2490378,0,0,0.06470477,0.064704776,0.0,0.0,4325386,4325386,2490378,0,0,0.002082748,0.002082748,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
47291440,4259850,4259850,2490378,0,0,0.08914294,0.089142956,0.0,0.0,4325386,4325386,2490378,0,0,0.0036486473,0.0036486469,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
47491510,4259850,4259850,2490378,0,0,0.056222133,0.056222133,0.0,0.0,4325386,4325386,2490378,0,0,0.0018350543,0.0018350544,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
47686524,4259850,4259850,2490378,0,0,0.060538813,0.06053882,0.0,0.0,4325386,4325386,2490378,0,0,0.0020148673,0.0020148675,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
47886563,4259850,4259850,2490378,0,0,0.06536049,0.06536049,0.0,0.0,4325386,4325386,2490378,0,0,0.0019900466,0.0019900464,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
48086606,4259850,4259850,2490378,0,0,0.06907455,0.06907455,0.0,0.0,4325386,4325386,2490378,0,0,0.0028720556,0.0028720547,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
48291654,4259850,4259850,2490378,0,0,0.069732234,0.06973221,0.0,0.0,4325386,4325386,2490378,0,0,0.0033228248,0.0033228253,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
48491689,4259850,4259850,2490378,0,0,0.07858833,0.07858837,0.0,0.0,4325386,4325386,2490378,0,0,0.0019392135,0.0019392136,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
48691739,4259850,4259850,2490378,0,0,0.05427491,0.054274883,0.0,0.0,4325386,4325386,2490378,0,0,0.0024898127,0.0024898131,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
48891775,4259850,4259850,2490378,0,0,0.060770307,0.060770307,0.0,0.0,4325386,4325386,2490378,0,0,0.0023348844,0.0023348832,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
49086810,4259850,4259850,2490378,0,0,0.05262755,0.05262758,0.0,0.0,4325386,4325386,2490378,0,0,0.00232914,0.0023291395,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
49286852,4259850,4259850,2490378,0,0,0.076838605,0.07683862,0.0,0.0,4325386,4325386,2490378,0,0,0.0032839957,0.0032839961,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
49486908,4259850,4259850,2490378,0,0,0.058372047,0.058372032,0.0,0.0,4325386,4325386,2490378,0,0,0.003066236,0.0030662362,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
49691936,4259850,4259850,2490378,0,0,0.08103013,0.08103013,0.0,0.0,4325386,4325386,2490378,0,0,0.0035448105,0.0035448105,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
49891980,4259850,4259850,2490378,0,0,0.05649149,0.056491494,0.0,0.0,4325386,4325386,2490378,0,0,0.0024058663,0.0024058654,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
50092019,4259850,4259850,2490378,0,0,0.05506265,0.055062614,0.0,0.0,4325386,4325386,2490378,0,0,0.002713274,0.0027132733,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
50287073,4259850,4259850,2490378,0,0,0.059458353,0.059458353,0.0,0.0,4325386,4325386,2490378,0,0,0.0025601727,0.002560173,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
50487103,4259850,4259850,2490378,0,0,0.08265828,0.082658276,0.0,0.0,4325386,4325386,2490378,0,0,0.0027076504,0.0027076507,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
50687222,4259850,4259850,2490378,0,0,0.077920154,0.07792017,0.0,0.0,4325386,4325386,2490378,0,0,0.0036934963,0.003693496,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
50887290,4259850,4259850,2490378,0,0,0.055981725,0.055981733,0.0,0.0,4325386,4325386,2490378,0,0,0.0030590314,0.0030590314,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
51092229,4259850,4259850,2490378,0,0,0.058466963,0.058466937,0.0,0.0,4325386,4325386,2490378,0,0,0.0021896495,0.0021896495,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
51292272,4259850,4259850,2490378,0,0,0.056319896,0.056319896,0.0,0.0,4325386,4325386,2490378,0,0,0.0024460775,0.0024460778,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
51492314,4259850,4259850,2490378,0,0,0.061466556,0.061466563,0.0,0.0,4325386,4325386,2490378,0,0,0.0024155783,0.0024155783,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
51687443,4259850,4259850,2490378,0,0,0.06585972,0.06585972,0.0,0.0,4325386,4325386,2490378,0,0,0.0025774164,0.0025774161,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
51887393,4259850,4259850,2490378,0,0,0.07037584,0.07037583,0.0,0.0,4325386,4325386,2490378,0,0,0.0023814486,0.0023814489,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
52087442,4259850,4259850,2490378,0,0,0.07814261,0.07814259,0.0,0.0,4325386,4325386,2490378,0,0,0.0016682225,0.0016682222,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
52287478,4259850,4259850,2490378,0,0,0.07581718,0.07581719,0.0,0.0,4325386,4325386,2490378,0,0,0.0020566524,0.0020566524,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
52492540,4259850,4259850,2490378,0,0,0.12801252,0.12801252,0.0,0.0,4325386,4325386,2490378,0,0,0.0019218109,0.0019218109,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
52692557,4259850,4259850,2490378,0,0,0.09030837,0.090308376,0.0,0.0,4325386,4325386,2490378,0,0,0.0022607232,0.0022607234,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
52887608,4259850,4259850,2490378,0,0,0.081547566,0.0815476,0.0,0.0,4325386,4325386,2490378,0,0,0.0019915793,0.0019915793,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
53087652,4259850,4259850,2490378,0,0,0.0651809,0.065180905,0.0,0.0,4325386,4325386,2490378,0,0,0.0023524084,0.0023524086,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
53287692,4259850,4259850,2490378,0,0,0.10616804,0.106168024,0.0,0.0,4325386,4325386,2490378,0,0,0.0024454105,0.0024454107,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
53487732,4259850,4259850,2490378,0,0,0.14589263,0.14589265,0.0,0.0,4325386,4325386,2490378,0,0,0.0018047247,0.0018047247,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
