timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
44521698,1200.0,0.6526765,965.17413,0.0,1726,0,41.791046,97,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45547748,1200.0,0.6526765,990.05963,0.0,1754,0,41.7495,99,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46607697,1200.0,0.6526765,716.83167,0.0,1773,0,41.58416,101,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47530696,1200.0,0.6526765,905.2841,0.0,1793,0,41.874374,103,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48553720,1200.0,0.6526765,1032.9012,0.0,1822,0,41.874374,105,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49603696,1200.0,0.6526765,663.2915,0.0,1838,0,41.579468,107,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50516696,1200.0,0.6526765,927.32367,0.0,1860,0,41.879135,109,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51548696,1200.0,0.6526765,838.64545,0.0,1888,0,67.72909,112,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52610697,1200.0,0.6526765,844.9873,0.0,1905,0,41.99937,114,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53539697,1200.0,0.6526765,839.42175,0.0,1927,0,41.624218,116,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54554697,1200.0,0.6526765,786.1721,0.0,1953,0,41.58593,118,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55608719,1200.0,0.6526765,913.7371,0.0,1970,0,41.6236,120,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56526722,1200.0,0.6526765,679.5642,0.0,1989,0,41.66671,122,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57572176,1200.0,0.6526765,572.301,0.0,2012,0,41.585888,124,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58606737,1200.0,0.6526765,824.7525,0.0,2026,0,41.58416,126,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59527713,1200.0,0.6526765,644.3556,0.0,2044,0,41.95804,128,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60557697,1200.0,0.6526765,577.97455,0.0,2060,0,41.998154,130,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61606698,1200.0,0.6526765,817.6428,0.0,2083,0,67.39359,133,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62523943,1200.0,0.6526765,740.58997,0.0,2102,0,41.695415,135,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63553697,1200.0,0.6526765,572.47394,0.0,2118,0,41.59845,137,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64478697,1200.0,0.6526765,572.47394,0.0,2139,0,41.59845,139,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65527786,1200.0,0.6526765,667.998,0.0,2160,0,20.812994,141,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66557697,1200.0,0.6526765,521.99536,0.0,2176,0,41.999626,143,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67601170,1200.0,0.6526765,857.1603,0.0,2197,0,41.861317,145,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68536697,1200.0,0.6526765,709.9737,0.0,2216,0,41.76316,147,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69560697,1200.0,0.6526765,491.00458,0.0,2231,0,41.830006,149,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70606697,1200.0,0.6526765,883.754,0.0,2253,0,41.75216,151,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71534698,1200.0,0.6526765,689.48413,0.0,2273,0,88.29365,154,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72554698,1200.0,0.6526765,488.09128,0.0,2287,0,20.790907,156,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73613698,1200.0,0.6526765,881.1202,0.0,2311,0,41.627724,158,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74520697,1200.0,0.6526765,881.1202,0.0,2330,0,41.627724,160,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75560725,1200.0,0.6526765,709.03674,0.0,2344,0,62.56207,162,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76610697,1200.0,0.6526765,880.198,0.0,2367,0,20.79208,164,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77548078,1200.0,0.6526765,880.198,0.0,2386,0,20.79208,166,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78558716,1200.0,0.6526765,740.81433,0.0,2401,0,62.56207,168,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79607797,1200.0,0.6526765,841.4272,0.0,2425,0,20.812687,170,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80564697,1200.0,0.6526765,841.4272,0.0,2443,0,20.812687,172,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81559124,1200.0,0.6526765,680.2093,0.0,2459,0,62.559395,175,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82615706,1200.0,0.6526765,883.1904,0.0,2482,0,41.725533,177,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83525972,1200.0,0.6526765,883.1904,0.0,2495,0,41.725533,179,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84555698,1200.0,0.6526765,680.24304,0.0,2515,0,41.708332,181,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85485697,1200.0,0.6526765,520.43866,0.0,2536,0,41.874374,183,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86535697,1200.0,0.6526765,882.1782,0.0,2551,0,41.58416,185,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87556697,1200.0,0.6526765,675.3562,0.0,2571,0,41.28815,187,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88611715,1200.0,0.6526765,483.1837,0.0,2594,0,41.842712,189,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89561701,1200.0,0.6526765,857.69354,0.0,2608,0,41.790173,191,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90562697,1200.0,0.6526765,561.3978,0.0,2627,0,41.585022,193,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91607697,1200.0,0.6526765,674.3256,0.0,2651,0,41.95804,196,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92537737,1200.0,0.6526765,878.607,0.0,2664,0,67.66169,198,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93564697,1200.0,0.6526765,593.02466,0.0,2685,0,41.581028,200,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94609738,1200.0,0.6526765,630.6335,0.0,2708,0,41.71119,202,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95539719,1200.0,0.6526765,857.7114,0.0,2721,0,41.791046,204,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96564719,1200.0,0.6526765,582.1782,0.0,2742,0,41.58416,206,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97649697,1200.0,0.6526765,641.7911,0.0,2765,0,41.791046,208,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98543736,1200.0,0.6526765,887.5622,0.0,2777,0,41.791046,210,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99564714,1200.0,0.6526765,564.7411,0.0,2798,0,41.832672,212,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100640699,1200.0,0.6526765,604.39557,0.0,2821,0,41.95804,214,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101531047,1200.0,0.6526765,907.5546,0.0,2834,0,41.7495,217,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102558726,1200.0,0.6526765,505.9406,0.0,2855,0,67.32674,219,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103629697,1200.0,0.6526765,695.4365,0.0,2879,0,41.666664,221,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104529719,1200.0,0.6526765,891.1088,0.0,2891,0,41.95804,223,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105560697,1200.0,0.6526765,476.2329,0.0,2912,0,62.375618,225,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106667697,1200.0,0.6526765,728.7823,0.0,2934,0,20.936289,227,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107537696,1200.0,0.6526765,847.80597,0.0,2947,0,62.689877,229,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108564957,1200.0,0.6526765,476.23764,0.0,2968,0,41.58416,231,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109609479,1200.0,0.6526765,757.399,0.0,2985,0,20.845844,233,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110543697,1200.0,0.6526765,884.38983,0.0,3004,0,41.641674,235,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111560697,1200.0,0.6526765,501.95483,0.0,3025,0,62.99433,238,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112621055,1200.0,0.6526765,725.9518,0.0,3041,0,67.530396,240,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113536698,1200.0,0.6526765,856.88184,0.0,3061,0,41.750626,242,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114564697,1200.0,0.6526765,466.3445,0.0,3082,0,41.58486,244,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115624697,1200.0,0.6526765,725.1984,0.0,3097,0,41.666664,246,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116537698,1200.0,0.6526765,857.7114,0.0,3117,0,41.791046,248,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117562704,1200.0,0.6526765,506.94443,0.0,3138,0,41.666664,250,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118622697,1200.0,0.6526765,727.1121,0.0,3153,0,41.77662,252,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119540697,1200.0,0.6526765,841.26044,0.0,3173,0,40.989487,254,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120563728,1200.0,0.6526765,509.46042,0.0,3194,0,41.87346,256,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121613759,1200.0,0.6526765,749.7672,0.0,3209,0,41.875298,259,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122548713,1200.0,0.6526765,637.11865,0.0,3231,0,66.85813,261,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123566697,1200.0,0.6526765,680.6089,0.0,3253,0,41.669933,263,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124616709,1200.0,0.6526765,728.1746,0.0,3266,0,41.666664,265,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125539696,1200.0,0.6526765,561.38617,0.0,3288,0,41.58416,267,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126566737,1200.0,0.6526765,834.4965,0.0,3308,0,41.874374,269,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127616736,1200.0,0.6526765,697.1202,0.0,3323,0,41.708046,271,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128544710,1200.0,0.6526765,561.38617,0.0,3345,0,41.58416,273,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129564047,1200.0,0.6526765,830.2616,0.0,3365,0,41.661873,275,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130490237,1200.0,0.6526765,660.09625,0.0,3378,0,41.87922,277,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131549709,1200.0,0.6526765,586.2156,0.0,3401,0,67.79363,280,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132570698,1200.0,0.6526765,828.74896,0.0,3417,0,41.58597,282,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133618735,1200.0,0.6526765,696.4286,0.0,3436,0,41.666664,284,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134542697,1200.0,0.6526765,566.98413,0.0,3457,0,41.998825,286,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135562696,1200.0,0.6526765,803.78894,0.0,3473,0,41.832882,288,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136619697,1200.0,0.6526765,687.2054,0.0,3493,0,41.709,290,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137536734,1200.0,0.6526765,505.91858,0.0,3514,0,41.582348,292,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
