timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
43885788,43885604,0.38369146,0.04021543,-0.008117658,-0.92254966,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
43890784,43890605,0.38362,0.040081043,-0.008135099,-0.92258495,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
43940862,43940615,0.38292044,0.04017319,-0.008200444,-0.922871,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
43990794,43990625,0.38224468,0.040069744,-0.008316421,-0.9231546,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44040825,44040635,0.38155365,0.040037714,-0.008216352,-0.92344266,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44090882,44090646,0.3808638,0.04025866,-0.008228362,-0.92371774,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44140835,44140656,0.38017303,0.039981212,-0.0083053205,-0.9240136,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44190841,44190666,0.3794785,0.04011435,-0.008427626,-0.9242922,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44235895,44235676,0.37889087,0.040094364,-0.008260238,-0.9245356,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44290860,44290687,0.37814403,0.0401281,-0.008413864,-0.92483836,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44340874,44340697,0.37748164,0.04013639,-0.00860987,-0.9251068,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44390882,44390707,0.37683594,0.040060915,-0.008664301,-0.9253728,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44440892,44440718,0.37615255,0.04013878,-0.008539642,-0.9256485,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44490905,44490728,0.37551865,0.04018709,-0.008827653,-0.9259011,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44540913,44540738,0.37481612,0.040080473,-0.008832711,-0.9261903,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44585936,44585748,0.37425333,0.04016968,-0.008952232,-0.9264128,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44641008,44640759,0.37353548,0.04008743,-0.009065753,-0.926705,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44690941,44690769,0.37289017,0.040147,-0.009109883,-0.9269619,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44735952,44735779,0.3722694,0.04010167,-0.008934275,-0.92721504,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44790966,44790790,0.37150854,0.040074598,-0.009023261,-0.92752045,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44840965,44840800,0.3708568,0.040124733,-0.009163835,-0.9277776,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44890991,44890810,0.37022406,0.04006284,-0.009276304,-0.92803186,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
44935985,44935820,0.3696278,0.040251438,-0.009263787,-0.92826146,0.99999213,3.94112e-09,2.1558997e-09,-0.0039697583,3
