timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
43804641,0,0,1,0,0,0,0,0,0,0,0,0,0
44304678,0,0,1,0,0,0,0,0,0,0,0,0,0
44813656,0,0,1,0,0,0,0,0,0,0,0,0,0
45323636,0,0,1,0,0,0,0,0,0,0,0,0,0
45833770,0,0,1,0,0,0,0,0,0,0,0,0,0
46343637,0,0,1,0,0,0,0,0,0,0,0,0,0
46852637,0,0,1,0,0,0,0,0,0,0,0,0,0
47361786,0,0,1,0,0,0,0,0,0,0,0,0,0
47870637,0,0,1,0,0,0,0,0,0,0,0,0,0
48379636,0,0,1,0,0,0,0,0,0,0,0,0,0
48889687,0,0,1,0,0,0,0,0,0,0,0,0,0
49399656,0,0,1,0,0,0,0,0,0,0,0,0,0
49909636,0,0,1,0,0,0,0,0,0,0,0,0,0
50418637,0,0,1,0,0,0,0,0,0,0,0,0,0
50927636,0,0,1,0,0,0,0,0,0,0,0,0,0
51436636,0,0,1,0,0,0,0,0,0,0,0,0,0
51946636,0,0,1,0,0,0,0,0,0,0,0,0,0
52456636,0,0,1,0,0,0,0,0,0,0,0,0,0
52965636,0,0,1,0,0,0,0,0,0,0,0,0,0
53474636,0,0,1,0,0,0,0,0,0,0,0,0,0
53983637,0,0,1,0,0,0,0,0,0,0,0,0,0
54492640,0,0,1,0,0,0,0,0,0,0,0,0,0
54694748,0,0,1,0,0,0,0,0,0,0,0,0,0
55204636,0,0,1,0,0,0,0,0,0,0,0,0,0
55713723,0,0,1,0,0,0,0,0,0,0,0,0,0
56222636,0,0,1,0,0,0,0,0,0,0,0,0,0
56732636,0,0,1,0,0,0,0,0,0,0,0,0,0
57242695,0,0,1,0,0,0,0,0,0,0,0,0,0
57752636,0,0,1,0,0,0,0,0,0,0,0,0,0
58262656,0,0,1,0,0,0,0,0,0,0,0,0,0
58771664,0,0,1,0,0,0,0,0,0,0,0,0,0
59281636,0,0,1,0,0,0,0,0,0,0,0,0,0
59790656,0,0,1,0,0,0,0,0,0,0,0,0,0
60299637,0,0,1,0,0,0,0,0,0,0,0,0,0
60808636,0,0,1,0,0,0,0,0,0,0,0,0,0
61318802,0,0,1,0,0,0,0,0,0,0,0,0,0
61828636,0,0,1,0,0,0,0,0,0,0,0,0,0
62337637,0,0,1,0,0,0,0,0,0,0,0,0,0
62846637,0,0,1,0,0,0,0,0,0,0,0,0,0
63355637,0,0,1,0,0,0,0,0,0,0,0,0,0
63864656,0,0,1,0,0,0,0,0,0,0,0,0,0
64374635,0,0,1,0,0,0,0,0,0,0,0,0,0
64884636,0,0,1,0,0,0,0,0,0,0,0,0,0
65393636,0,0,1,0,0,0,0,0,0,0,0,0,0
65902649,0,0,1,0,0,0,0,0,0,0,0,0,0
66412635,0,0,1,0,0,0,0,0,0,0,0,0,0
66922636,0,0,1,0,0,0,0,0,0,0,0,0,0
67432635,0,0,1,0,0,0,0,0,0,0,0,0,0
67942635,0,0,1,0,0,0,0,0,0,0,0,0,0
68452637,0,0,1,0,0,0,0,0,0,0,0,0,0
68962635,0,0,1,0,0,0,0,0,0,0,0,0,0
69472636,0,0,1,0,0,0,0,0,0,0,0,0,0
69982636,0,0,1,0,0,0,0,0,0,0,0,0,0
70491741,0,0,1,0,0,0,0,0,0,0,0,0,0
71000637,0,0,1,0,0,0,0,0,0,0,0,0,0
71510663,0,0,1,0,0,0,0,0,0,0,0,0,0
72019636,0,0,1,0,0,0,0,0,0,0,0,0,0
72529656,0,0,1,0,0,0,0,0,0,0,0,0,0
73039710,0,0,1,0,0,0,0,0,0,0,0,0,0
73548635,0,0,1,0,0,0,0,0,0,0,0,0,0
74057638,0,0,1,0,0,0,0,0,0,0,0,0,0
74566637,0,0,1,0,0,0,0,0,0,0,0,0,0
75076636,0,0,1,0,0,0,0,0,0,0,0,0,0
75585655,0,0,1,0,0,0,0,0,0,0,0,0,0
76095636,0,0,1,0,0,0,0,0,0,0,0,0,0
76605636,0,0,1,0,0,0,0,0,0,0,0,0,0
77114636,0,0,1,0,0,0,0,0,0,0,0,0,0
77623653,0,0,1,0,0,0,0,0,0,0,0,0,0
78132658,0,0,1,0,0,0,0,0,0,0,0,0,0
78642635,0,0,1,0,0,0,0,0,0,0,0,0,0
79152635,0,0,1,0,0,0,0,0,0,0,0,0,0
