timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
44135770,44135655,4259850,4325386,6.896601e-05,5.669476e-05,9.564835e-06,0.012876023,0.0023314224,-0.05268645,5001,4918,0,2,0
44635950,44635758,4259850,4325386,-0.00013984094,-6.970708e-05,-2.5664636e-05,0.0056591704,-0.0023321784,-0.05015882,5001,4918,0,2,0
45135969,45135861,4259850,4325386,-0.00035257166,-0.0002675775,-7.0672424e-05,-0.0067534586,-0.0054140245,-0.04282541,5001,4918,0,2,0
45636077,45635964,4259850,4325386,-0.00018464786,-0.00028329145,-5.6993376e-05,-0.007081775,-0.0074696876,-0.04300247,5001,4918,0,2,0
46136181,46136068,4259850,4325386,0.00010115436,-0.00012131082,1.8226008e-07,0.0006934149,-0.0057963626,-0.04660243,5002,4917,0,2,0
46636283,46636170,4259850,4325386,0.00046398054,0.00023077006,9.836137e-05,0.014273923,0.0024511758,-0.054100767,5000,4917,0,2,0
47136384,47136274,4259850,4325386,-0.00020076343,-2.1169237e-05,-4.769695e-05,0.011249584,0.000965937,-0.051511656,5001,4917,0,2,0
47636492,47636377,4259850,4325386,0.00012990598,-0.00022234229,2.2621109e-05,-0.0008991816,-0.006926307,-0.0452335,5001,4917,0,2,0
48136590,48136481,4259850,4325386,3.2648062e-05,-5.9485254e-05,7.673072e-05,0.0022363097,-0.0008094237,-0.046310637,5001,4917,0,2,0
48636699,48636586,4259850,4325386,-0.00035865558,-0.00034942033,-8.883454e-05,-0.0055998345,-0.0046147513,-0.044173405,5003,4917,0,2,0
49136798,49136688,4259850,4325386,0.00034613544,0.0002844835,8.2376755e-05,0.014443377,0.0016029864,-0.055487473,5001,4917,0,2,0
49636902,49636791,4259850,4325386,-0.00032031818,-0.00031421415,-3.3427805e-05,-0.0073904167,-0.007268432,-0.043165825,5001,4917,0,2,0
50137006,50136895,4259850,4325386,0.00036643705,0.0001411835,5.1926592e-05,0.011269168,-0.0019797767,-0.053556524,5001,4913,0,2,0
50637110,50636999,4259850,4325386,0.0002944461,0.00013631396,3.508277e-05,0.006988006,-0.0048232507,-0.050283946,5002,4916,0,2,0
51137214,51137102,4259850,4325386,0.00027228365,0.00027851175,1.1733207e-05,0.013119281,-0.00021947111,-0.054472454,5001,4917,0,2,0
51637316,51637206,4259850,4325386,-0.00018223784,-3.8655608e-06,1.4218405e-05,0.010603399,0.0017306258,-0.0523575,5001,4916,0,2,0
52137421,52137309,4259850,4325386,-5.9115897e-05,-9.064072e-06,-3.4523488e-05,0.0041922578,-0.0055519217,-0.052401204,5001,4917,0,2,0
52637525,52637413,4259850,4325386,5.5421402e-05,-7.16872e-05,6.082404e-05,0.0040744585,-0.004125506,-0.048621435,5001,4916,0,2,0
53137638,53137517,4259850,4325386,2.5267445e-05,-3.6934205e-05,2.6181435e-05,0.0034002238,-0.002345883,-0.048442762,5001,4917,0,2,0
