timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
43065797,0,0,0,1,0,0,0,0,0,0,0
44066234,0,0,0,1,0,0,0,0,0,0,0
45076226,0,0,0,1,0,0,0,0,0,0,0
46076412,0,0,0,1,0,0,0,0,0,0,0
47076621,0,0,0,1,0,0,0,0,0,0,0
48076830,0,0,0,1,0,0,0,0,0,0,0
49077106,0,0,0,1,0,0,0,0,0,0,0
50077239,0,0,0,1,0,0,0,0,0,0,0
51077442,0,0,0,1,0,0,0,0,0,0,0
52077654,0,0,0,1,0,0,0,0,0,0,0
53077881,0,0,0,1,0,0,0,0,0,0,0
54078129,0,0,0,1,0,0,0,0,0,0,0
54878380,0,0,0,1,0,0,0,0,0,0,1
55878446,0,0,0,1,0,0,0,0,0,0,1
56878722,0,0,0,1,0,0,0,0,0,0,1
57878860,0,0,0,1,0,0,0,0,0,0,1
58879096,0,0,0,1,0,0,0,0,0,0,1
59879277,0,0,0,1,0,0,0,0,0,0,1
60879575,0,0,0,1,0,0,0,0,0,0,1
61879690,0,0,0,1,0,0,0,0,0,0,1
62879896,0,0,0,1,0,0,0,0,0,0,1
63690189,0,0,0,1,0,0,0,0,0,0,0
64690308,0,0,0,1,0,0,0,0,0,0,0
65690516,0,0,0,1,0,0,0,0,0,0,0
65760496,0,0,0,1,0,0,0,0,0,0,1
66760797,0,0,0,1,0,0,0,0,0,0,1
67760917,0,0,0,1,0,0,0,0,0,0,1
68761155,0,0,0,1,0,0,0,0,0,0,1
69761341,0,0,0,1,0,0,0,0,0,0,1
70761630,0,0,0,1,0,0,0,0,0,0,1
71761753,0,0,0,1,0,0,0,0,0,0,1
72762033,0,0,0,1,0,0,0,0,0,0,1
73762212,0,0,0,1,0,0,0,0,0,0,1
74762452,0,0,0,1,0,0,0,0,0,0,1
75762596,0,0,0,1,0,0,0,0,0,0,1
76762816,0,0,0,1,0,0,0,0,0,0,1
77763087,0,0,0,1,0,0,0,0,0,0,1
78763332,0,0,0,1,0,0,0,0,0,0,1
79763450,0,0,0,1,0,0,0,0,0,0,1
80763695,0,0,0,1,0,0,0,0,0,0,1
81763889,0,0,0,1,0,0,0,0,0,0,1
82764113,0,0,0,1,0,0,0,0,0,0,1
83764301,0,0,0,1,0,0,0,0,0,0,1
84764527,0,0,0,1,0,0,0,0,0,0,1
85764773,0,0,0,1,0,0,0,0,0,0,1
86764956,0,0,0,1,0,0,0,0,0,0,1
87765167,0,0,0,1,0,0,0,0,0,0,1
88765419,0,0,0,1,0,0,0,0,0,0,1
89765636,0,0,0,1,0,0,0,0,0,0,1
90765898,0,0,0,1,0,0,0,0,0,0,1
91766122,0,0,0,1,0,0,0,0,0,0,1
92766247,0,0,0,1,0,0,0,0,0,0,1
93766495,0,0,0,1,0,0,0,0,0,0,1
94766712,0,0,0,1,0,0,0,0,0,0,1
95767046,0,0,0,1,0,0,0,0,0,0,1
96767130,0,0,0,1,0,0,0,0,0,0,1
97767352,0,0,0,1,0,0,0,0,0,0,1
98767568,0,0,0,1,0,0,0,0,0,0,1
99767861,0,0,0,1,0,0,0,0,0,0,1
100768034,0,0,0,1,0,0,0,0,0,0,1
101768329,0,0,0,1,0,0,0,0,0,0,1
102768527,0,0,0,1,0,0,0,0,0,0,1
103768849,0,0,0,1,0,0,0,0,0,0,1
104768996,0,0,0,1,0,0,0,0,0,0,1
105769255,0,0,0,1,0,0,0,0,0,0,1
106769382,0,0,0,1,0,0,0,0,0,0,1
107769758,0,0,0,1,0,0,0,0,0,0,1
108769920,0,0,0,1,0,0,0,0,0,0,1
109770045,0,0,0,1,0,0,0,0,0,0,1
110770271,0,0,0,1,0,0,0,0,0,0,1
111770591,0,0,0,1,0,0,0,0,0,0,1
112770727,0,0,0,1,0,0,0,0,0,0,1
113771043,0,0,0,1,0,0,0,0,0,0,1
114771179,0,0,0,1,0,0,0,0,0,0,1
115771424,0,0,0,1,0,0,0,0,0,0,1
116771672,0,0,0,1,0,0,0,0,0,0,1
117771876,0,0,0,1,0,0,0,0,0,0,1
118772132,0,0,0,1,0,0,0,0,0,0,1
119772325,0,0,0,1,0,0,0,0,0,0,1
120772585,0,0,0,1,0,0,0,0,0,0,1
121772842,0,0,0,1,0,0,0,0,0,0,1
122773051,0,0,0,1,0,0,0,0,0,0,1
123773250,0,0,0,1,0,0,0,0,0,0,1
124743525,0,0,0,1,0,0,0,0,0,0,0
125743752,0,0,0,1,0,0,0,0,0,0,0
126743990,0,0,0,1,0,0,0,0,0,0,0
127634301,0,0,0,1,0,0,0,0,0,0,1
128634450,0,0,0,1,0,0,0,0,0,0,1
129634708,0,0,0,1,0,0,0,0,0,0,1
129674622,0,0,0,1,0,0,0,0,0,0,0
