timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
43885954,43885604,0,nan,nan,-0.13634753,-0.059332706,-0.22356987,0.0,0.0,0.0,-0.12533557,-0.06466528,-0.13063426,-0.14957799,1.4207947e-09,-1.6598167e-09,0.0,-0.6127035,-1.1712171,-0.59177315,-2.3517475,-0.007939537,nan,0.12051306,0.30394393,0.5214642,0.17811137,0.13399145,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
43895950,43895606,0,nan,nan,-0.13637441,-0.05941305,-0.22467151,0.0,0.0,0.0,-0.1280204,-0.06462477,-0.12990417,-0.14848383,1.4207947e-09,-1.6598167e-09,0.0,-0.7771503,-1.535905,-0.8442333,-2.3520732,-0.007939537,nan,0.120099746,0.30538625,0.5225318,0.17871994,0.13416913,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
43985987,43985628,0,nan,nan,-0.13850369,-0.06094665,-0.23364834,0.0,0.0,0.0,-0.12718433,-0.06285002,-0.12368718,-0.13804501,1.4207947e-09,-1.6598167e-09,0.0,-0.062136475,-0.18765616,0.19300339,-2.3547814,-0.007939537,nan,0.12409935,0.31866783,0.52059025,0.18362743,0.13389194,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44086031,44085645,0,nan,nan,-0.13779593,-0.061291665,-0.24279146,0.0,0.0,0.0,-0.124979615,-0.058222827,-0.12811248,-0.13759336,1.4207947e-09,-1.6598167e-09,0.0,0.28901872,1.3363951,0.21208358,-2.35778,-0.007939537,nan,0.12292523,0.30384347,0.51967496,0.17783813,0.13378559,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44186004,44185665,0,nan,nan,-0.1398134,-0.062961295,-0.25262,0.0,0.0,0.0,-0.12739216,-0.06348836,-0.12913547,-0.13482456,1.4207947e-09,-1.6598167e-09,0.0,-0.74242556,-0.30567566,-0.2823279,-2.3606555,-0.007939537,nan,0.12547931,0.3185313,0.5187719,0.18323901,0.133691,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44286071,44285686,0,nan,nan,-0.13922356,-0.06341858,-0.26206598,0.0,0.0,0.0,-0.12832262,-0.06449535,-0.128761,-0.13013193,1.4207947e-09,-1.6598167e-09,0.0,-0.6660933,-1.0045211,-0.59860414,-2.3635843,-0.007939537,nan,0.12387586,0.30371654,0.5236236,0.17750753,0.134529,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44386124,44385706,0,nan,nan,-0.14117703,-0.06501553,-0.27004474,0.0,0.0,0.0,-0.13041985,-0.06865855,-0.13578047,-0.13231061,1.4207947e-09,-1.6598167e-09,0.0,-0.54985976,-0.6340636,-0.36664236,-2.3663986,-0.007939537,nan,0.1264067,0.31837666,0.5226722,0.18297908,0.13443284,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44486067,44485727,0,nan,nan,-0.14015271,-0.06509333,-0.27910808,0.0,0.0,0.0,-0.12721187,-0.059055433,-0.12207437,-0.1153905,1.4207947e-09,-1.6598167e-09,0.0,0.65062505,1.6017045,1.2028524,-2.36933,-0.007939537,nan,0.12285024,0.30356613,0.5217564,0.17729366,0.1343514,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44586133,44585748,0,nan,nan,-0.14224347,-0.06688656,-0.28836137,0.0,0.0,0.0,-0.13013394,-0.061753716,-0.13026358,-0.12035201,1.4207947e-09,-1.6598167e-09,0.0,0.36594814,2.245082,1.3839574,-2.372139,-0.007939537,nan,0.12631544,0.3181991,0.520837,0.1825812,0.13427453,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
44686159,44685768,0,nan,nan,-0.14118652,-0.06731085,-0.29677722,0.0,0.0,0.0,-0.12783118,-0.07014463,-0.13864616,-0.12570265,1.4207947e-09,-1.6598167e-09,0.0,-0.7468198,-0.8932972,-1.2295598,-2.3749447,-0.007939537,nan,0.12184766,0.30340677,0.51992875,0.17694521,0.13420342,inf,inf,inf,inf,0,1,0,1,1,0,1,0,3,0,0,0,1,0
