timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
222262727,4259850,4259850,2490378,0,0,0.1545684,0.15456839,0.0,0.0,4325386,4325386,2490378,0,0,0.006003928,0.006003928,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222267706,4259850,4259850,2490378,0,0,0.15386298,0.15386297,0.0,0.0,4325386,4325386,2490378,0,0,0.006143197,0.006143197,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222467580,4259850,4259850,2490378,0,0,0.15352789,0.15352787,0.0,0.0,4325386,4325386,2490378,0,0,0.0061779087,0.0061779083,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222667527,4259850,4259850,2490378,0,0,0.15373477,0.15373476,0.0,0.0,4325386,4325386,2490378,0,0,0.005925675,0.005925675,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222867480,4259850,4259850,2490378,0,0,0.15443668,0.15443666,0.0,0.0,4325386,4325386,2490378,0,0,0.0066423877,0.0066423877,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223062426,4259850,4259850,2490378,0,0,0.15439078,0.15439078,0.0,0.0,4325386,4325386,2490378,0,0,0.00614881,0.0061488096,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223262404,4259850,4259850,2490378,0,0,0.15395363,0.15395364,0.0,0.0,4325386,4325386,2490378,0,0,0.0058158045,0.0058158045,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223462324,4259850,4259850,2490378,0,0,0.15436433,0.15436436,0.0,0.0,4325386,4325386,2490378,0,0,0.005968533,0.005968533,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223667278,4259850,4259850,2490378,0,0,0.15298814,0.15298814,0.0,0.0,4325386,4325386,2490378,0,0,0.0064881966,0.0064881966,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223867228,4259850,4259850,2490378,0,0,0.15196204,0.151962,0.0,0.0,4325386,4325386,2490378,0,0,0.006288369,0.006288369,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224067180,4259850,4259850,2490378,0,0,0.15529223,0.15529221,0.0,0.0,4325386,4325386,2490378,0,0,0.0063030757,0.006303076,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224267128,4259850,4259850,2490378,0,0,0.15316072,0.1531607,0.0,0.0,4325386,4325386,2490378,0,0,0.006603266,0.006603266,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224467098,4259850,4259850,2490378,0,0,0.14972861,0.14972864,0.0,0.0,4325386,4325386,2490378,0,0,0.0063482304,0.0063482304,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224662022,4259850,4259850,2490378,0,0,0.15390682,0.15390684,0.0,0.0,4325386,4325386,2490378,0,0,0.00649881,0.0064988094,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224861959,4259850,4259850,2490378,0,0,0.15250772,0.15250775,0.0,0.0,4325386,4325386,2490378,0,0,0.0062604193,0.0062604193,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225067059,4259850,4259850,2490378,0,0,0.15467553,0.15467554,0.0,0.0,4325386,4325386,2490378,0,0,0.0063417098,0.0063417098,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225266872,4259850,4259850,2490378,0,0,0.15407549,0.15407547,0.0,0.0,4325386,4325386,2490378,0,0,0.0065292204,0.0065292204,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225466825,4259850,4259850,2490378,0,0,0.15471521,0.1547152,0.0,0.0,4325386,4325386,2490378,0,0,0.006018892,0.006018892,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225666782,4259850,4259850,2490378,0,0,0.15351008,0.15351008,0.0,0.0,4325386,4325386,2490378,0,0,0.0057983208,0.0057983208,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225866729,4259850,4259850,2490378,0,0,0.1530265,0.15302648,0.0,0.0,4325386,4325386,2490378,0,0,0.006508526,0.006508526,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226061679,4259850,4259850,2490378,0,0,0.15302135,0.15302132,0.0,0.0,4325386,4325386,2490378,0,0,0.0062857484,0.0062857484,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226261631,4259850,4259850,2490378,0,0,0.15044145,0.15044144,0.0,0.0,4325386,4325386,2490378,0,0,0.0062276754,0.0062276754,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226466578,4259850,4259850,2490378,0,0,0.15137856,0.15137856,0.0,0.0,4325386,4325386,2490378,0,0,0.006145758,0.006145758,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226666529,4259850,4259850,2490378,0,0,0.15075071,0.15075073,0.0,0.0,4325386,4325386,2490378,0,0,0.005926093,0.005926093,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226866480,4259850,4259850,2490378,0,0,0.15116565,0.15116566,0.0,0.0,4325386,4325386,2490378,0,0,0.0058631743,0.0058631743,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
227066428,4259850,4259850,2490378,0,0,0.15296549,0.15296547,0.0,0.0,4325386,4325386,2490378,0,0,0.0067587723,0.0067587723,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
227266379,4259850,4259850,2490378,0,0,0.15304776,0.15304773,0.0,0.0,4325386,4325386,2490378,0,0,0.005908784,0.005908784,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
227466330,4259850,4259850,2490378,0,0,0.15641694,0.15641695,0.0,0.0,4325386,4325386,2490378,0,0,0.0064188116,0.006418812,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
227661283,4259850,4259850,2490378,0,0,0.15342943,0.15342943,0.0,0.0,4325386,4325386,2490378,0,0,0.0065842434,0.0065842434,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
227866241,4259850,4259850,2490378,0,0,0.15466517,0.15466517,0.0,0.0,4325386,4325386,2490378,0,0,0.006662136,0.0066621355,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
