timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
1048827614,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3893859.8,99.99,99.99,66,30,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1049427619,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894021.2,99.99,99.99,66,28,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1049829615,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894129.0,99.99,99.99,66,28,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1050427723,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894290.5,99.99,99.99,66,19,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1050829611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894398.8,99.99,99.99,66,19,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1051428612,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894560.5,99.99,99.99,66,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1051828619,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894668.5,99.99,99.99,66,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1052427719,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894830.5,99.99,99.99,66,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1052828611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3894938.5,99.99,99.99,66,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1053427613,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3895100.5,99.99,99.99,66,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1053828613,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3895209.0,99.99,99.99,66,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
1054427613,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3895371.2,99.99,99.99,66,20,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
