timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
321671211,321540642,0.0,4.037729e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
322666549,322539639,0.0,4.037568e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
323671865,323540636,0.0,4.037383e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
324667217,324539673,0.0,4.037216e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
325672792,325539636,0.0,4.037065e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
326667809,326540636,0.0,4.0369287e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
327673053,327539636,0.0,4.036765e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
328668421,328539635,0.0,4.0366176e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
329673756,329540635,0.0,4.036484e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
330669037,330540636,0.0,4.036364e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
331664341,331539638,0.0,4.0382643e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
332669655,332539663,0.0,4.0381283e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
333665024,333540637,0.0,4.0379678e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
334670628,334538637,0.0,4.0378604e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
335665579,335539639,0.0,4.037725e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
336670855,336539882,0.0,4.0376026e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
337666341,337540658,0.0,4.0374534e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
338671477,338539642,0.0,4.037319e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
339666813,339540638,0.0,4.037158e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
340672088,340538975,0.0,4.0370114e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
341667448,341539636,0.0,4.036881e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
342672804,342540637,0.0,4.036762e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
343668405,343539635,0.0,4.036655e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
344673323,344539637,0.0,4.0365176e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
345668670,345539638,0.0,4.036393e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
346673989,346540644,0.0,4.0362806e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
347669332,347539635,0.0,4.0381883e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
348664621,348539928,0.0,4.0380596e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
349669898,349540635,0.0,4.037943e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
350665290,350540636,0.0,4.0378372e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
351670589,351539639,0.0,4.0377054e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
352666214,352541636,0.0,4.037585e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
353671172,353538637,0.0,4.0373984e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
354666475,354539636,0.0,4.0372684e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
355671874,355538637,0.0,4.03719e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
356667085,356541635,0.0,4.037041e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
