timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
320948509,320948317,0.2987632,-0.024079818,-0.027545586,-0.95362574,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
320953491,320953316,0.29875597,-0.024098627,-0.027534418,-0.9536279,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
320998475,320998305,0.29875848,-0.024136677,-0.027570114,-0.9536251,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321048471,321048293,0.29874763,-0.024106795,-0.027585387,-0.95362884,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321098453,321098281,0.29880142,-0.024125142,-0.02756753,-0.953612,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321148455,321148269,0.29883474,-0.024145015,-0.027560474,-0.9536013,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321198479,321198257,0.2988505,-0.024132133,-0.027540425,-0.9535972,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321248415,321248245,0.2988663,-0.024129633,-0.027512236,-0.95359313,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321298404,321298233,0.29888204,-0.024120264,-0.02749246,-0.95358896,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321348394,321348220,0.29887626,-0.024122378,-0.027479192,-0.95359117,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321398377,321398208,0.29884708,-0.024156716,-0.027458929,-0.95360005,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321448369,321448196,0.29887438,-0.024135867,-0.02746005,-0.95359194,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321498353,321498184,0.29887575,-0.024201585,-0.027410328,-0.95359135,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321548341,321548172,0.29885417,-0.024195505,-0.027414279,-0.95359814,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321598329,321598160,0.29884532,-0.024230575,-0.027450554,-0.9535989,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321648355,321648148,0.2988465,-0.024193969,-0.027486263,-0.95359844,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321698356,321698135,0.29882997,-0.024244385,-0.027488437,-0.95360225,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321748396,321748123,0.29882717,-0.02423721,-0.027512241,-0.9536026,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321798277,321798111,0.29881787,-0.024280611,-0.027499938,-0.95360476,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321848286,321848099,0.2988302,-0.024269417,-0.027478494,-0.95360184,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321898256,321898087,0.29880384,-0.024256015,-0.02745139,-0.95361125,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321948234,321948075,0.29879308,-0.024260106,-0.027435368,-0.953615,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
321998226,321998063,0.298818,-0.024279125,-0.027442489,-0.95360655,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
