timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
561736790,8.576784,8.576784,8.624795,0.0033840926,0.0035084812,1,1
561836788,8.322673,8.322673,8.369267,0.003752308,0.0038903088,1,1
561936788,7.7231784,7.7231784,7.76544,0.003844639,0.0039859344,1,1
562136789,8.425236,8.425236,8.472819,0.0035064903,0.0036354112,1,1
562336789,8.425236,8.425236,8.471384,0.0031482799,0.0032640002,1,1
562536789,8.113653,8.113653,8.158475,0.0027696497,0.0028714736,1,1
562736788,8.363848,8.363848,8.409698,0.005364081,0.005561361,1,1
562936788,8.425236,8.425236,8.4714365,0.0043574637,0.004517706,1,1
563136802,7.7231784,7.7231784,7.7665386,0.0027999755,0.0029029173,1,1
563336788,8.270913,8.270913,8.316573,0.0027168663,0.0028167632,1,1
563536788,8.322673,8.322673,8.368314,0.0037353106,0.003872696,1,1
563736788,8.425236,8.425236,8.471398,0.0032318018,0.0033506248,1,1
563936801,8.725701,8.725701,8.773467,0.003322623,0.003444768,1,1
564136787,8.576784,8.576784,8.623845,0.0045454237,0.0047125933,1,1
564336788,8.486182,8.486182,8.532718,0.0048497133,0.005028058,1,1
564536788,8.576784,8.576784,8.623675,0.0038357605,0.003976774,1,1
564736788,8.425236,8.425236,8.471367,0.0039830846,0.004129515,1,1
564936789,8.113653,8.113653,8.158103,0.0034098017,0.003535195,1,1
565136788,8.576784,8.576784,8.623771,0.0010815628,0.0011213366,1,1
565336788,8.486182,8.486182,8.532647,0.0019684904,0.0020408744,1,1
565536788,8.425236,8.425236,8.471367,0.0017819761,0.0018475017,1,1
565736788,8.725701,8.725701,8.773507,0.0013753857,0.001425965,1,1
565936788,8.239702,8.239702,8.284832,0.001598485,0.0016572662,1,1
566136788,8.606775,8.606775,8.65383,0.003366187,0.0034899374,1,1
566336788,8.2397,8.2397,8.284826,0.0026939192,0.0027929815,1,1
566536788,7.8554935,7.8554935,7.898614,0.004957509,0.005139822,1,1
566736788,8.36385,8.36385,8.409738,0.0057363827,0.0059473827,1,1
566936789,8.606775,8.606775,8.653915,0.0060672006,0.006290343,1,1
567136788,8.725701,8.725701,8.773593,0.0061533223,0.0063796714,1,1
567336788,8.526568,8.526568,8.573283,0.0056647556,0.005873075,1,1
567536789,8.486182,8.486182,8.5326805,0.0051958906,0.005386971,1,1
567736788,8.322673,8.322673,8.368226,0.0052799904,0.0054741316,1,1
567936788,8.606775,8.606775,8.653833,0.0044398643,0.0046030874,1,1
568136788,7.622436,7.622436,7.6642466,0.003149473,0.0032653152,1,1
568336788,8.113653,8.113653,8.1580925,0.0031036779,0.0032178017,1,1
568536788,8.576784,8.576784,8.62376,0.0022524474,0.002335289,1,1
568736788,8.425236,8.425236,8.471422,0.003208393,0.0033264272,1,1
568936788,8.576784,8.576784,8.623746,0.003742616,0.0038802368,1,1
569136788,8.576784,8.576784,8.623789,0.0026535238,0.0027511106,1,1
569336787,8.363848,8.363848,8.409664,0.002383226,0.0024708665,1,1
569536787,8.486182,8.486182,8.532522,0.0030337595,0.003145302,1,1
569736788,8.576784,8.576784,8.623746,0.0014646677,0.0015185255,1,1
569936788,8.425236,8.425236,8.4713955,0.001440265,0.0014932383,1,1
570136788,8.425238,8.425238,8.471336,0.0017139915,0.0017770217,1,1
570336806,8.425236,8.425236,8.471393,0.0016953653,0.0017577338,1,1
570536789,8.270911,8.270911,8.316133,0.0028603398,0.002965533,1,1
570736806,8.363848,8.363848,8.4097395,0.0048571653,0.005035881,1,1
570936788,8.425236,8.425236,8.471381,0.0055576945,0.0057621603,1,1
571136788,8.363848,8.363848,8.409712,0.0053827814,0.0055808187,1,1
571336787,8.725701,8.725701,8.773493,0.0065063057,0.0067456705,1,1
571536788,8.576784,8.576784,8.623732,0.007585062,0.007864046,1,1
571736788,8.36385,8.36385,8.409583,0.007237905,0.007504117,1,1
571936788,8.270913,8.270913,8.316108,0.0068281638,0.00707928,1,1
572136788,8.606775,8.606775,8.653784,0.0061282404,0.0063536,1,1
572336804,8.576784,8.576784,8.623732,0.0055862395,0.005791736,1,1
572536788,7.953286,7.953286,7.996886,0.004814748,0.0049918788,1,1
572736788,8.486182,8.486182,8.532661,0.0049974527,0.0051813074,1,1
572936788,8.486182,8.486182,8.532664,0.004621585,0.0047916127,1,1
573136788,8.526569,8.526569,8.573264,0.0038831225,0.0040259785,1,1
573336788,8.486182,8.486182,8.53263,0.0036340887,0.0037677719,1,1
573536788,8.425236,8.425236,8.471465,0.00257476,0.0026695107,1,1
573736788,8.425238,8.425238,8.471314,0.0030270924,0.0031384323,1,1
573936811,8.576784,8.576784,8.62369,0.0025319,0.0026250263,1,1
574136788,8.725701,8.725701,8.773521,0.0024997995,0.0025917746,1,1
574336788,8.425236,8.425236,8.471326,0.0031445874,0.0032602544,1,1
574536826,8.363848,8.363848,8.409694,0.0048510954,0.005029588,1,1
574736788,8.113653,8.113653,8.158089,0.0045357305,0.0047025965,1,1
574936788,8.425236,8.425236,8.4714365,0.0040057786,0.004153177,1,1
575136787,8.2397,8.2397,8.284762,0.0045821234,0.004750659,1,1
575336788,8.606775,8.606775,8.654,0.0036200336,0.00375325,1,1
575536839,8.270911,8.270911,8.316157,0.0027820675,0.0028843998,1,1
575736788,7.5885553,7.5885553,7.6300974,0.0041656177,0.004318858,1,1
575936788,8.270913,8.270913,8.316199,0.004387571,0.0045489804,1,1
576136788,8.113653,8.113653,8.158065,0.0047458285,0.004920462,1,1
576336789,7.953286,7.953286,7.9968204,0.003327298,0.0034496966,1,1
576536789,8.113653,8.113653,8.158252,0.0039316714,0.004076418,1,1
576736790,8.322673,8.322673,8.36812,0.002940499,0.0030486616,1,1
576936787,8.425236,8.425236,8.471339,0.0012862487,0.0013335627,1,1
577136788,7.4515033,7.4515033,7.4923034,0.002310514,0.002395513,1,1
577336788,8.425236,8.425236,8.471367,0.0018092475,0.001875806,1,1
577536788,8.576784,8.576784,8.623661,0.0031035354,0.0032176764,1,1
577736788,8.239702,8.239702,8.284872,0.003703652,0.0038399268,1,1
577936789,8.363848,8.363848,8.4095335,0.0042833425,0.0044409074,1,1
578136788,7.7231803,7.7231803,7.765404,0.004986862,0.005170304,1,1
578336787,8.113653,8.113653,8.158142,0.0059175547,0.0061352975,1,1
578536788,8.425236,8.425236,8.471301,0.005782698,0.005995384,1,1
578736788,8.576784,8.576784,8.623754,0.0049490556,0.005131142,1,1
578936788,7.8554935,7.8554935,7.8985057,0.003968641,0.0041146614,1,1
579136788,8.725701,8.725701,8.773563,0.004495104,0.004660515,1,1
579336788,8.576784,8.576784,8.623886,0.004556571,0.0047242753,1,1
579536788,8.363848,8.363848,8.4096155,0.0037865161,0.00392579,1,1
579736787,8.239702,8.239702,8.284798,0.0032585643,0.0033784863,1,1
579936788,8.486182,8.486182,8.532595,0.002996061,0.0031063107,1,1
580136788,8.576784,8.576784,8.623682,0.0028017357,0.002904831,1,1
580336788,8.270913,8.270913,8.316172,0.003065526,0.003178341,1,1
580536788,8.113653,8.113653,8.157998,0.0034857944,0.0036140135,1,1
580736788,7.789617,7.789617,7.83223,0.0051123933,0.0053004697,1,1
580936789,8.576784,8.576784,8.623771,0.0068581216,0.0071105296,1,1
581136795,8.363848,8.363848,8.409635,0.006900883,0.0071548596,1,1
581336822,8.576784,8.576784,8.623728,0.0068126377,0.00706336,1,1
581536788,8.606775,8.606775,8.653901,0.0045863413,0.0047550886,1,1
581736802,7.9856186,7.9856186,8.029356,0.0034531667,0.003580265,1,1
581936803,8.486182,8.486182,8.532634,0.0020840873,0.0021607876,1,1
582136788,8.270913,8.270913,8.316172,0.0033330028,0.0034556426,1,1
582336789,7.9856186,7.9856186,8.0293045,0.00448328,0.004648262,1,1
582536788,8.113653,8.113653,8.158058,0.0039717513,0.00411792,1,1
582736789,8.270913,8.270913,8.31621,0.0047062696,0.0048794877,1,1
582936787,8.606775,8.606775,8.653848,0.003634167,0.0037678978,1,1
583136789,8.725701,8.725701,8.7734785,0.0029128024,0.003019997,1,1
583336791,8.576784,8.576784,8.623675,0.0027468808,0.0028479553,1,1
583536788,8.576784,8.576784,8.623717,0.0035112347,0.0036404522,1,1
583736789,8.725701,8.725701,8.7734785,0.0024708281,0.002561766,1,1
583936789,8.425236,8.425236,8.471342,0.0028257414,0.002929733,1,1
584136787,8.576784,8.576784,8.623694,0.002558733,0.0026528905,1,1
584336787,8.725701,8.725701,8.7734785,0.004078708,0.0042288234,1,1
584536788,8.322673,8.322673,8.368243,0.00433009,0.004489457,1,1
584736788,8.425238,8.425238,8.471412,0.0040398003,0.0041885036,1,1
584936788,8.725701,8.725701,8.773521,0.0026584875,0.0027563456,1,1
585136788,8.270911,8.270911,8.316106,0.0019407276,0.0020121331,1,1
585336788,8.425236,8.425236,8.47141,0.0017141026,0.001777198,1,1
585536787,8.113653,8.113653,8.156709,0.0011053093,0.0011459884,1,1
585736788,8.576784,8.576784,8.622266,0.0022541785,0.0023371312,1,1
585936788,8.725701,8.725701,8.773155,0.0009716868,0.0010074542,1,1
586136788,8.526568,8.526568,8.5733385,0.0023653915,0.0024524727,1,1
586336788,7.9856167,7.9856167,8.029286,0.0010510548,0.0010897344,1,1
586536787,8.576784,8.576784,8.623763,0.0020855165,0.0021622772,1,1
586736788,8.113653,8.113653,8.158095,0.0029335795,0.0030415547,1,1
586936788,8.576784,8.576784,8.623746,0.0045339414,0.0047008614,1,1
587136788,8.425236,8.425236,8.471381,0.005980432,0.0062006153,1,1
587336789,8.486182,8.486182,8.532661,0.0063526956,0.00658655,1,1
587536788,8.363848,8.363848,8.409671,0.007205223,0.0074704387,1,1
587736788,8.486182,8.486182,8.532606,0.0056822672,0.0058914344,1,1
587936787,8.606775,8.606775,8.654028,0.0047928924,0.004969366,1,1
588136788,7.9532847,7.9532847,7.996783,0.002889282,0.0029956026,1,1
588336788,8.576784,8.576784,8.623777,0.0037645292,0.0039030954,1,1
588536789,8.113653,8.113653,8.157536,0.0041994727,0.0043540327,1,1
588736789,8.576784,8.576784,8.62376,0.0032549135,0.0033747507,1,1
588936788,8.363848,8.363848,8.409506,0.0036372894,0.0037711617,1,1
589136788,8.425236,8.425236,8.471301,0.00403422,0.0041827187,1,1
589336788,8.113653,8.113653,8.158119,0.0045430935,0.004710338,1,1
589536789,8.113653,8.113653,8.158103,0.0032963632,0.0034177054,1,1
589736788,8.725701,8.725701,8.773436,0.0017628556,0.0018277472,1,1
589936788,8.270913,8.270913,8.314841,0.0016173642,0.001676923,1,1
590136787,8.113655,8.113655,8.156734,0.0019149572,0.0019854715,1,1
590336788,8.725701,8.725701,8.773521,0.0023017884,0.0023865546,1,1
590536788,8.526569,8.526569,8.572769,0.0036737716,0.0038090087,1,1
590736788,8.425236,8.425236,8.471377,0.0020920136,0.0021690466,1,1
590936788,8.486182,8.486182,8.532616,0.0023687042,0.0024559135,1,1
591136788,8.486182,8.486182,8.532759,0.002582545,0.0026776434,1,1
591336788,8.425236,8.425236,8.471422,0.003345596,0.003468807,1,1
591536788,8.425236,8.425236,8.47127,0.002781471,0.0028838548,1,1
591736817,8.270913,8.270913,8.315161,0.0038338085,0.0039749737,1,1
591936787,8.36385,8.36385,8.40962,0.0029837217,0.0030935765,1,1
592136804,8.270913,8.270913,8.316248,0.002470839,0.0025618332,1,1
592336787,8.486182,8.486182,8.53269,0.003129974,0.0032452391,1,1
592536788,8.363848,8.363848,8.409643,0.0040941862,0.004244939,1,1
592736789,8.725701,8.725701,8.771887,0.0038929943,0.0040362794,1,1
592936790,8.425238,8.425238,8.469985,0.0039800033,0.004126565,1,1
593136788,8.725701,8.725701,8.773406,0.003432627,0.0035589915,1,1
593336788,7.9532847,7.9532847,7.9968123,0.004715202,0.0048888093,1,1
593536788,8.2397,8.2397,8.284826,0.004306704,0.004465287,1,1
593736789,8.270911,8.270911,8.316248,0.0037208365,0.0038578655,1,1
593936788,8.113653,8.113653,8.158146,0.005265546,0.0054594744,1,1
594136788,8.576784,8.576784,8.623605,0.006810073,0.007060712,1,1
594336788,8.425236,8.425236,8.470053,0.0066029294,0.0068461355,1,1
594536789,8.363848,8.363848,8.409685,0.006107237,0.006332164,1,1
594736788,7.622434,7.622434,7.6628323,0.0055771917,0.0057825046,1,1
594936789,8.113653,8.113653,8.158103,0.0051100976,0.0052982727,1,1
