timestamp,safety_switch_available,safety_off
561139607,1,1
562141608,1,1
563149609,1,1
564154608,1,1
565163607,1,1
566172607,1,1
567181607,1,1
568190607,1,1
569199966,1,1
570207612,1,1
571216607,1,1
572224607,1,1
573233046,1,1
574241632,1,1
575250607,1,1
576259608,1,1
577268607,1,1
578276607,1,1
579284608,1,1
580293629,1,1
581301607,1,1
582310610,1,1
583319607,1,1
584328637,1,1
585337607,1,1
586346607,1,1
587354607,1,1
588363630,1,1
589372607,1,1
590379607,1,1
591386607,1,1
592395607,1,1
593402607,1,1
594410608,1,1
595419607,1,1
596426608,1,1
597434608,1,1
598443607,1,1
599452849,1,1
600460607,1,1
601468608,1,1
