timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
691281113,691253785,10.346851,10.401952,19.956034,1.0
692230924,692223051,9.8362,9.888667,19.956034,1.0
693165685,693132868,9.94043,9.993329,19.956034,1.0
694245424,694214157,10.043577,10.096966,19.956034,1.0
695195195,695163409,10.043577,10.096937,19.956034,1.0
696249951,696218590,10.246756,10.301183,19.956034,1.0
697239719,697214591,10.094755,10.148378,19.956034,1.0
698269626,698243181,9.8362,9.888457,19.956034,1.0
699204260,699172789,10.043576,10.096958,19.956034,1.0
700209022,700181648,9.966316,10.019284,19.956034,1.0
701248779,701216711,10.043576,10.096924,19.956034,1.0
702278625,702245412,10.145676,10.19966,19.956034,1.0
703268308,703261079,9.8362,9.888457,19.956034,1.0
704283069,704256848,9.966315,10.019248,19.956034,1.0
705257853,705173408,10.59295,10.649189,19.956034,1.0
706247615,706221867,10.470624,10.526272,19.956034,1.0
707247564,707230733,9.8362,9.888329,19.956034,1.0
708267203,708239744,10.094755,10.148332,19.956034,1.0
709266907,709222441,10.094754,10.148286,19.956034,1.0
710271679,710244197,9.966316,10.019167,19.956034,1.0
711246450,711206878,9.836202,9.888378,19.956034,1.0
712261225,712176138,10.2467575,10.30106,19.956034,1.0
713185994,713158643,9.8362,9.888309,19.956034,1.0
714135774,714108121,9.966315,10.019067,19.956034,1.0
715230518,715202836,10.22158,10.2757,19.956034,1.0
716230295,716198567,10.145675,10.199436,19.956034,1.0
717220053,717154633,9.8362,9.88833,19.956034,1.0
718234816,718209691,10.094755,10.148126,19.956034,1.0
719239583,719212088,9.435092,9.4850025,19.956034,1.0
720239348,720214369,10.094754,10.14817,19.956034,1.0
721279170,721256177,10.221581,10.2756,19.956034,1.0
722268889,722245085,9.966315,10.019012,19.956034,1.0
723248650,723221023,9.966316,10.01899,19.956034,1.0
724248414,724223464,10.22158,10.27558,19.956034,1.0
725253203,725226086,9.8362,9.8880415,19.956034,1.0
726227982,726192181,10.346851,10.401367,19.956034,1.0
727282704,727256830,10.221581,10.275514,19.956034,1.0
728257480,728084426,10.221581,10.275492,19.956034,1.0
729222264,729195317,9.966316,10.018946,19.956034,1.0
