timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
689785633,0,0,167,161,97,20,37
690689836,0,0,168,160,98,21,39
691728637,0,0,162,155,100,26,58
692787577,0,0,158,150,96,22,44
693697635,0,0,164,154,100,20,56
694729253,0,0,165,158,97,27,45
695769143,0,0,162,158,100,22,51
696691385,0,0,166,159,99,21,53
697744874,0,0,161,157,100,27,46
698766195,0,0,165,161,98,25,43
699692414,0,0,164,157,100,24,54
700748371,0,0,165,159,100,24,36
701774632,0,0,165,157,98,24,47
702697246,0,0,163,159,97,25,38
703742218,0,0,165,154,99,23,43
704782638,0,0,165,156,100,22,41
705698113,0,0,164,156,100,19,42
706732867,0,0,165,159,100,28,47
707775634,0,0,164,155,100,24,34
708702297,0,0,163,156,100,27,47
709728180,0,0,161,153,100,26,46
710772213,0,0,164,159,97,20,59
711708042,0,0,163,155,100,23,50
712756562,0,0,163,156,97,23,46
713774189,0,0,166,158,100,20,35
714696371,0,0,165,156,100,23,59
715748379,0,0,164,159,93,25,46
716771268,0,0,165,157,98,24,50
717720635,0,0,166,157,97,20,44
718776068,0,0,161,158,96,26,54
719779177,0,0,166,160,100,21,55
720707030,0,0,165,157,93,22,54
721740119,0,0,163,156,98,29,48
722779979,0,0,163,156,100,23,38
723707171,0,0,164,157,100,26,61
724748568,0,0,165,157,100,28,36
725773635,0,0,164,160,99,26,43
726700001,0,0,162,157,98,25,48
727754624,0,0,165,156,96,23,63
728774636,0,0,163,153,100,23,43
