timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
782436788,11.963696,11.963696,12.026702,0.01946712,0.020186262,1,1
782536789,12.177163,12.177163,12.241318,0.02283147,0.02367464,1,1
782636790,12.177163,12.177163,12.241257,0.02126949,0.022055103,1,1
782836811,12.177163,12.177163,12.241417,0.023686979,0.024562074,1,1
783036788,12.070902,12.070902,12.134536,0.024001794,0.024888396,1,1
783236789,12.38695,12.38695,12.452291,0.02152675,0.02232212,1,1
783436789,12.261508,12.261508,12.326147,0.02070147,0.021466278,1,1
783636788,12.092228,12.092228,12.155994,0.019492391,0.020212347,1,1
783836788,11.636158,11.636158,11.697361,0.022015825,0.022828858,1,1
784036788,12.282503,12.282503,12.347242,0.020833796,0.02160359,1,1
784236803,12.177163,12.177163,12.241178,0.022407403,0.023235017,1,1
784436789,12.282503,12.282503,12.347273,0.02485249,0.025770698,1,1
784636789,12.092228,12.092228,12.156014,0.02559353,0.026539303,1,1
784836788,12.177163,12.177163,12.241437,0.027858624,0.028888194,1,1
785036788,11.746352,11.746352,11.80826,0.028048605,0.029084966,1,1
785236788,12.282503,12.282503,12.347358,0.030819802,0.03195856,1,1
785436789,12.177163,12.177163,12.241457,0.034115378,0.035376046,1,1
785636788,12.261508,12.261508,12.326328,0.03572997,0.037050348,1,1
785836788,12.38695,12.38695,12.452209,0.035494804,0.03680583,1,1
786036787,12.006695,12.006695,12.06999,0.039170545,0.0406179,1,1
786236789,12.177163,12.177163,12.241318,0.037761122,0.039155856,1,1
786436788,12.345279,12.345279,12.410531,0.040025435,0.041504625,1,1
786636804,12.177163,12.177163,12.241302,0.039052106,0.040494256,1,1
786836788,12.38695,12.38695,12.4522705,0.0393389,0.040792547,1,1
787036788,11.963697,11.963697,12.026865,0.041030403,0.042546377,1,1
787236788,11.963696,11.963696,12.026744,0.043342933,0.04494439,1,1
787436801,12.177163,12.177163,12.241398,0.043263864,0.044862617,1,1
787636788,12.177163,12.177163,12.241475,0.040831324,0.042339906,1,1
787836789,11.920546,11.920546,11.983495,0.041365746,0.04289425,1,1
788036789,12.177163,12.177163,12.241337,0.042529836,0.04410125,1,1
788236788,12.092228,12.092228,12.156074,0.04057131,0.042070318,1,1
788436788,12.177163,12.177163,12.241437,0.039753236,0.041221954,1,1
788636788,11.746352,11.746352,11.808372,0.038488302,0.03991078,1,1
788836788,11.746352,11.746352,11.808314,0.038890917,0.040328074,1,1
789036788,12.092228,12.092228,12.155964,0.039771676,0.041240882,1,1
789236788,11.746352,11.746352,11.808352,0.038987335,0.040427864,1,1
789436789,11.746352,11.746352,11.8084545,0.036614336,0.037967816,1,1
789636788,12.092228,12.092228,12.156133,0.036847666,0.03820908,1,1
789836788,12.092228,12.092228,12.156094,0.03718961,0.03856353,1,1
790036788,12.177163,12.177163,12.241437,0.038101085,0.039509185,1,1
790236788,12.261508,12.261508,12.326179,0.03868568,0.040115226,1,1
790436788,12.261508,12.261508,12.326348,0.0387971,0.040231314,1,1
790636788,11.963697,11.963697,12.026834,0.040599473,0.042099863,1,1
