timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
782262658,0,0,1,0,0,0,0,0,0,0,0,0,0
782763670,0,0,1,0,0,0,0,0,0,0,0,0,0
783272637,0,0,1,0,0,0,0,0,0,0,0,0,0
783782638,0,0,1,0,0,0,0,0,0,0,0,0,0
784292637,0,0,1,0,0,0,0,0,0,0,0,0,0
784802637,0,0,1,0,0,0,0,0,0,0,0,0,0
785312637,0,0,1,0,0,0,0,0,0,0,0,0,0
785822658,0,0,1,0,0,0,0,0,0,0,0,0,0
786331637,0,0,1,0,0,0,0,0,0,0,0,0,0
786841637,0,0,1,0,0,0,0,0,0,0,0,0,0
787351657,0,0,1,0,0,0,0,0,0,0,0,0,0
787861637,0,0,1,0,0,0,0,0,0,0,0,0,0
788371638,0,0,1,0,0,0,0,0,0,0,0,0,0
788881637,0,0,1,0,0,0,0,0,0,0,0,0,0
789391640,0,0,1,0,0,0,0,0,0,0,0,0,0
789901658,0,0,1,0,0,0,0,0,0,0,0,0,0
790411637,0,0,1,0,0,0,0,0,0,0,0,0,0
790921637,0,0,1,0,0,0,0,0,0,0,0,0,0
791431640,0,0,1,0,0,0,0,0,0,0,0,0,0
791941657,0,0,1,0,0,0,0,0,0,0,0,0,0
792450654,0,0,1,0,0,0,0,0,0,0,0,0,0
792959637,0,0,1,0,0,0,0,0,0,0,0,0,0
793469660,0,0,1,0,0,0,0,0,0,0,0,0,0
793979844,0,0,1,0,0,0,0,0,0,0,0,0,0
794489672,0,0,1,0,0,0,0,0,0,0,0,0,0
794998694,0,0,1,0,0,0,0,0,0,0,0,0,0
795508658,0,0,1,0,0,0,0,0,0,0,0,0,0
796018637,0,0,1,0,0,0,0,0,0,0,0,0,0
796528639,0,0,1,0,0,0,0,0,0,0,0,0,0
797038659,0,0,1,0,0,0,0,0,0,0,0,0,0
797548657,0,0,1,0,0,0,0,0,0,0,0,0,0
798058699,0,0,1,0,0,0,0,0,0,0,0,0,0
798568671,0,0,1,0,0,0,0,0,0,0,0,0,0
799078637,0,0,1,0,0,0,0,0,0,0,0,0,0
799587637,0,0,1,0,0,0,0,0,0,0,0,0,0
800096637,0,0,1,0,0,0,0,0,0,0,0,0,0
800605918,0,0,1,0,0,0,0,0,0,0,0,0,0
801115811,0,0,1,0,0,0,0,0,0,0,0,0,0
801624637,0,0,1,0,0,0,0,0,0,0,0,0,0
802133637,0,0,1,0,0,0,0,0,0,0,0,0,0
802642681,0,0,1,0,0,0,0,0,0,0,0,0,0
803152638,0,0,1,0,0,0,0,0,0,0,0,0,0
803662637,0,0,1,0,0,0,0,0,0,0,0,0,0
804172637,0,0,1,0,0,0,0,0,0,0,0,0,0
804682636,0,0,1,0,0,0,0,0,0,0,0,0,0
805191638,0,0,1,0,0,0,0,0,0,0,0,0,0
805700637,0,0,1,0,0,0,0,0,0,0,0,0,0
806210637,0,0,1,0,0,0,0,0,0,0,0,0,0
806720637,0,0,1,0,0,0,0,0,0,0,0,0,0
807230636,0,0,1,0,0,0,0,0,0,0,0,0,0
807740682,0,0,1,0,0,0,0,0,0,0,0,0,0
808250638,0,0,1,0,0,0,0,0,0,0,0,0,0
808760639,0,0,1,0,0,0,0,0,0,0,0,0,0
809270637,0,0,1,0,0,0,0,0,0,0,0,0,0
809780681,0,0,1,0,0,0,0,0,0,0,0,0,0
810290639,0,0,1,0,0,0,0,0,0,0,0,0,0
810800641,0,0,1,0,0,0,0,0,0,0,0,0,0
811310778,0,0,1,0,0,0,0,0,0,0,0,0,0
811820659,0,0,1,0,0,0,0,0,0,0,0,0,0
812329637,0,0,1,0,0,0,0,0,0,0,0,0,0
812839637,0,0,1,0,0,0,0,0,0,0,0,0,0
813349657,0,0,1,0,0,0,0,0,0,0,0,0,0
813859636,0,0,1,0,0,0,0,0,0,0,0,0,0
814369638,0,0,1,0,0,0,0,0,0,0,0,0,0
814879658,0,0,1,0,0,0,0,0,0,0,0,0,0
815389685,0,0,1,0,0,0,0,0,0,0,0,0,0
815899637,0,0,1,0,0,0,0,0,0,0,0,0,0
816408638,0,0,1,0,0,0,0,0,0,0,0,0,0
816917637,0,0,1,0,0,0,0,0,0,0,0,0,0
817427124,0,0,1,0,0,0,0,0,0,0,0,0,0
817937056,0,0,1,0,0,0,0,0,0,0,0,0,0
818445638,0,0,1,0,0,0,0,0,0,0,0,0,0
818955637,0,0,1,0,0,0,0,0,0,0,0,0,0
