timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
870242067,870241814,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,5.603117,6.17151,nan,5.5942607,nan,nan,0.0,0.0,0.0
870497009,870494256,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.1625533,nan,nan,5.5942607,nan,nan,0.0,0.0,0.0
870687064,870686711,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8595967,nan,nan,5.5942607,nan,nan,0.0,0.0,0.0
870821941,870819181,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8595967,nan,nan,5.987354,nan,nan,0.0,0.0,0.0
871006891,871006638,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.216999,nan,nan,5.987354,nan,nan,0.0,0.0,0.0
871076874,871074122,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.216999,nan,nan,5.4060836,nan,nan,0.0,0.0,0.0
871456784,871454034,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.531845,nan,nan,5.4060836,nan,nan,0.0,0.0,0.0
871586753,871586504,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.531845,nan,nan,5.868933,nan,nan,0.0,0.0,0.0
871651737,871648989,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.531845,nan,nan,5.868933,5.9863544,nan,0.0,0.0,0.0
871966669,871966416,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.818795,nan,nan,5.868933,5.9863544,nan,0.0,0.0,0.0
872226625,872226358,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.818795,nan,nan,5.54862,nan,nan,0.0,0.0,0.0
872286589,872286343,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.4619784,nan,nan,5.54862,nan,nan,0.0,0.0,0.0
872476560,872476299,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.891675,nan,nan,5.54862,nan,nan,0.0,0.0,0.0
872736487,872733740,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.477558,nan,nan,5.54862,nan,nan,0.0,0.0,0.0
873061413,873058665,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.477558,nan,nan,5.187366,nan,nan,0.0,0.0,0.0
873696264,873693518,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.529722,nan,nan,5.187366,nan,nan,0.0,0.0,0.0
873886237,873885974,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.359176,nan,nan,5.187366,nan,nan,0.0,0.0,0.0
873891217,873888473,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.359176,nan,nan,6.07678,nan,nan,0.0,0.0,0.0
873956204,873953458,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.359176,nan,nan,6.07678,5.50668,nan,0.0,0.0,0.0
874076182,874075930,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.4963026,nan,nan,6.07678,5.50668,nan,0.0,0.0,0.0
874336132,874333371,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.999844,nan,nan,6.07678,5.50668,nan,0.0,0.0,0.0
874401103,874400855,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.999844,nan,nan,5.434978,nan,nan,0.0,0.0,0.0
874591354,874588312,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.9810567,nan,nan,5.434978,nan,nan,0.0,0.0,0.0
874596158,874593311,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.9810567,nan,nan,5.435962,nan,nan,0.0,0.0,0.0
875035962,875035709,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.4803853,nan,nan,5.435962,nan,nan,0.0,0.0,0.0
875485850,875485605,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.5739865,nan,nan,5.435962,nan,nan,0.0,0.0,0.0
875680825,875680560,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.5739865,nan,nan,5.6851053,nan,nan,0.0,0.0,0.0
875935751,875933002,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.2669225,nan,nan,5.6851053,nan,nan,0.0,0.0,0.0
875995779,875995487,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,7.2669225,5.848213,nan,5.6851053,nan,nan,0.0,0.0,0.0
876195693,876192942,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,7.2669225,5.848213,nan,5.8873777,nan,nan,0.0,0.0,0.0
876640586,876640339,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,7.2669225,5.848213,nan,5.807667,nan,nan,0.0,0.0,0.0
877215458,877212707,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.3634796,nan,nan,5.807667,nan,nan,0.0,0.0,0.0
877275437,877275192,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,5.3634796,7.1469355,nan,5.807667,nan,nan,0.0,0.0,0.0
877410571,877407663,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,5.3634796,7.1469355,nan,5.46225,nan,nan,0.0,0.0,0.0
877475411,877472647,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,31.257502,nan,nan,nan,nan,5.3634796,7.1469355,nan,5.46225,5.50076,nan,0.0,0.0,0.0
877535380,877532633,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.67968,nan,nan,5.46225,5.50076,nan,0.0,0.0,0.0
877725336,877725089,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.8898854,nan,nan,5.46225,5.50076,nan,0.0,0.0,0.0
878050267,878047514,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8898854,nan,nan,5.619278,nan,nan,0.0,0.0,0.0
878625133,878624881,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8898854,nan,nan,5.272119,nan,nan,0.0,0.0,0.0
878750105,878747353,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.7053194,nan,nan,5.272119,nan,nan,0.0,0.0,0.0
879135010,879132264,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.9440956,nan,nan,5.272119,nan,nan,0.0,0.0,0.0
879514932,879514676,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.104998,nan,nan,5.272119,nan,nan,0.0,0.0,0.0
880474756,880474455,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8032618,nan,nan,5.272119,nan,nan,0.0,0.0,0.0
880479755,880479454,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8032618,nan,nan,5.8639,nan,nan,0.0,0.0,0.0
880604673,880604425,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8110857,nan,nan,5.8639,nan,nan,0.0,0.0,0.0
880859670,880859366,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.7704554,nan,nan,5.8639,nan,nan,0.0,0.0,0.0
881054569,881051822,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.776155,nan,nan,5.8639,nan,nan,0.0,0.0,0.0
881309929,881306763,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.750786,nan,nan,5.8639,nan,nan,0.0,0.0,0.0
881379752,881376747,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.750786,nan,nan,6.0265846,nan,nan,0.0,0.0,0.0
881759407,881759159,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.750786,nan,nan,5.3585567,nan,nan,0.0,0.0,0.0
881819394,881819145,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.9472966,nan,nan,5.3585567,nan,nan,0.0,0.0,0.0
881824402,881824144,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.9472966,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
882204357,882204057,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,7.405119,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
882524417,882523983,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.2873826,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
882654199,882651454,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.8982286,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
883993953,883993644,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.451734,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
884443788,884443541,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.1537237,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
884508774,884506026,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.1341324,nan,nan,5.3585567,5.854269,nan,0.0,0.0,0.0
884513775,884511025,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.1341324,nan,nan,5.932105,nan,nan,0.0,0.0,0.0
884898685,884895937,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.1341324,nan,nan,6.190631,nan,nan,0.0,0.0,0.0
885538534,885535789,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.1341324,nan,nan,5.863122,nan,nan,0.0,0.0,0.0
885598551,885598275,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.1341324,nan,nan,5.863122,5.9956226,nan,0.0,0.0,0.0
885663531,885663260,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.1341324,nan,nan,5.8784194,5.9956226,nan,0.0,0.0,0.0
885858708,885855715,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.1341324,nan,nan,5.5890346,nan,nan,0.0,0.0,0.0
885978435,885978188,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.9493237,nan,nan,5.5890346,nan,nan,0.0,0.0,0.0
886233396,886233129,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.835295,nan,nan,5.5890346,nan,nan,0.0,0.0,0.0
886618290,886618040,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8956914,nan,nan,5.5890346,nan,nan,0.0,0.0,0.0
887393123,887390362,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8956914,nan,nan,5.423299,nan,nan,0.0,0.0,0.0
887643050,887642804,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.231139,nan,nan,5.423299,nan,nan,0.0,0.0,0.0
888152980,888152687,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.0035257,nan,nan,5.423299,nan,nan,0.0,0.0,0.0
888417872,888415127,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.0035257,nan,nan,5.8783865,nan,nan,0.0,0.0,0.0
888477859,888477612,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.0035257,nan,nan,5.8783865,5.8372717,nan,0.0,0.0,0.0
888537864,888537598,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.0662646,nan,nan,5.8783865,5.8372717,nan,0.0,0.0,0.0
888542846,888542597,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,6.0662646,nan,nan,6.085745,5.8372717,nan,0.0,0.0,0.0
889307686,889304922,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,31.257502,nan,nan,nan,nan,5.372945,nan,nan,6.085745,5.8372717,nan,0.0,0.0,0.0
889952523,889949773,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.372945,nan,nan,5.5415926,nan,nan,0.0,0.0,0.0
890077492,890077244,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.372945,nan,nan,5.394696,nan,nan,0.0,0.0,0.0
890272467,890269700,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.372945,nan,nan,6.0987177,nan,nan,0.0,0.0,0.0
890652392,890649612,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.773698,nan,nan,6.0987177,nan,nan,0.0,0.0,0.0
890777329,890777083,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.906019,nan,nan,6.0987177,nan,nan,0.0,0.0,0.0
891162242,891161995,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.1289215,nan,nan,6.0987177,nan,nan,0.0,0.0,0.0
891677176,891676876,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.1289215,nan,nan,5.4537935,nan,nan,0.0,0.0,0.0
892062052,892061788,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.1289215,nan,nan,5.6907206,nan,nan,0.0,0.0,0.0
892441950,892441700,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.5789447,nan,nan,5.6907206,nan,nan,0.0,0.0,0.0
892446947,892444200,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.5789447,nan,nan,5.46914,nan,nan,0.0,0.0,0.0
892891847,892889097,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.708947,nan,nan,5.46914,nan,nan,0.0,0.0,0.0
893021878,893021567,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.708947,nan,nan,5.325678,nan,nan,0.0,0.0,0.0
893341762,893341494,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.708947,nan,nan,5.877858,nan,nan,0.0,0.0,0.0
893401730,893401480,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.458117,nan,nan,5.877858,nan,nan,0.0,0.0,0.0
893786663,893783892,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.0046997,nan,nan,5.877858,nan,nan,0.0,0.0,0.0
894106579,894103818,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.9067,nan,nan,5.877858,nan,nan,0.0,0.0,0.0
894746475,894743671,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.7203794,nan,nan,5.877858,nan,nan,0.0,0.0,0.0
895196314,895196067,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.7203794,nan,nan,5.775063,nan,nan,0.0,0.0,0.0
895961401,895960892,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.027624,nan,nan,5.775063,nan,nan,0.0,0.0,0.0
896026131,896023377,4325386,2000.4801,3.9071877,35.16469,35.16469,nan,31.257502,nan,nan,nan,nan,nan,6.027624,5.5966244,nan,5.775063,nan,nan,0.0,0.0,0.0
896471067,896470774,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.554991,nan,nan,5.775063,nan,nan,0.0,0.0,0.0
896855934,896855686,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.0200415,nan,nan,5.775063,nan,nan,0.0,0.0,0.0
896925961,896923171,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,6.0200415,nan,nan,5.610963,nan,nan,0.0,0.0,0.0
897305866,897303083,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.5697165,nan,nan,5.610963,nan,nan,0.0,0.0,0.0
897375812,897373067,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.5697165,nan,nan,5.380998,nan,nan,0.0,0.0,0.0
897750740,897750480,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.5694814,nan,nan,5.380998,nan,nan,0.0,0.0,0.0
898265613,898262863,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.6585503,nan,nan,5.380998,nan,nan,0.0,0.0,0.0
898525575,898522803,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.6585503,nan,nan,5.9137564,nan,nan,0.0,0.0,0.0
898655539,898652773,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,7.6585503,nan,nan,5.4972095,nan,nan,0.0,0.0,0.0
898775532,898775245,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8664083,nan,nan,5.4972095,nan,nan,0.0,0.0,0.0
899295730,899292626,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8664083,nan,nan,5.6241846,nan,nan,0.0,0.0,0.0
899675327,899675038,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.8664083,nan,nan,6.005099,nan,nan,0.0,0.0,0.0
899865425,899862495,4325386,2000.4801,3.9071877,35.16469,nan,nan,31.257502,nan,nan,nan,nan,nan,5.7751904,nan,nan,6.005099,nan,nan,0.0,0.0,0.0
