timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
3035532,1.9981139,1.9981139,1.9737955,0.0031685547,0.0031870336,1,1
3135532,1.189886,1.189886,1.1754082,0.0075179343,0.0075618033,1,1
3235533,-2.5127747,-2.5127747,-2.482176,0.010916228,0.010979818,1,1
3435547,-1.0773991,-1.0773991,-1.0642967,0.014108557,0.014190974,1,1
3635533,-2.98172,-2.98172,-2.945429,0.010545291,0.010606971,1,1
3835533,-2.8940165,-2.8940165,-2.8587897,0.014275078,0.014358555,1,1
4035532,-2.98172,-2.98172,-2.9454305,0.01495898,0.015046743,1,1
4235535,-2.8940165,-2.8940165,-2.8587945,0.012520189,0.012593487,1,1
4435532,-2.5127723,-2.5127723,-2.4822068,0.007881346,0.0079276385,1,1
4635532,-2.5127747,-2.5127747,-2.4822085,0.014733289,0.014819823,1,1
4835531,-1.6966268,-1.6966268,-1.6759886,0.01916155,0.019274428,1,1
5035532,-2.5127747,-2.5127747,-2.4821959,0.011086236,0.011151643,1,1
5235532,-2.5127747,-2.5127747,-2.4822216,0.012040215,0.012111417,1,1
5435532,-2.5127747,-2.5127747,-2.4822092,0.018989831,0.019102369,1,1
5635530,-2.5127747,-2.5127747,-2.4822092,0.01043583,0.010497858,1,1
5835531,-2.062218,-2.062218,-2.0371125,0.00472739,0.0047554686,1,1
6035531,-2.98172,-2.98172,-2.945429,0.0064291586,0.0064674383,1,1
6235533,-1.9332373,-1.9332373,-1.9097054,0.0043885093,0.00441471,1,1
6435533,-2.98172,-2.98172,-2.9454513,0.00061696226,0.00062066206,1,1
6635532,-1.9332405,-1.9332405,-1.9097277,0.0077863005,0.007833139,1,1
6835548,1.9981139,1.9981139,1.973812,0.01258186,0.012657766,1,1
7035534,-0.36075184,-0.36075184,-0.3563577,0.009805985,0.009865136,1,1
7235532,-2.5127747,-2.5127747,-2.4822035,0.010145472,0.01020696,1,1
7435532,-2.8940165,-2.8940165,-2.858784,0.010816743,0.010882438,1,1
7635532,1.9981139,1.9981139,1.973812,0.0057714605,0.005806664,1,1
