timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
7266611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.8,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
7466634,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.0,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
7666976,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.5,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8268625,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.8,99.99,99.99,83,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8667610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.5,99.99,99.99,83,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9267609,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750010.8,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9667666,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.8,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10224610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.8,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10619854,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750011.8,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11222611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.0,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11619610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.2,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12221636,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.5,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12620610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750012.8,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13219609,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750013.5,99.99,99.99,83,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13621212,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750013.8,99.99,99.99,83,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14220611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750014.8,99.99,99.99,83,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14619792,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750015.2,99.99,99.99,83,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15222611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750016.0,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15621992,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750016.8,99.99,99.99,83,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16224072,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750017.8,99.99,99.99,84,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16622670,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750018.5,99.99,99.99,84,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17220611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750019.5,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17622608,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750020.2,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
18222637,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750021.5,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
18620610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750022.2,99.99,99.99,83,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
19220610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750024.0,99.99,99.99,84,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
19619665,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750025.2,99.99,99.99,84,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
20219610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750026.8,99.99,99.99,84,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
20619636,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750028.0,99.99,99.99,84,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
21219610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750029.8,99.99,99.99,83,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
21619610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750031.0,99.99,99.99,83,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
22220610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750032.8,99.99,99.99,84,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
22620610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750034.0,99.99,99.99,84,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
23220637,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750036.5,99.99,99.99,84,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
23618623,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750038.0,99.99,99.99,84,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
24220609,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750040.2,99.99,99.99,84,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
24620610,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750041.8,99.99,99.99,84,12,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
25224669,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750044.0,99.99,99.99,84,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
25623611,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750045.8,99.99,99.99,84,8,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
26221609,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750048.5,99.99,99.99,84,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
