timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
3578209,3577647,41,0,352,0,982,982,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
4070436,4069876,41,0,406,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
4575059,4574499,41,0,462,0,982,982,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
5087406,5086822,41,0,518,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
5574390,5573829,41,0,572,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
6089047,6088486,41,0,629,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
6563748,6563186,41,0,682,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
7083485,7082926,41,0,739,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
7588166,7587605,41,0,795,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
8082800,8082238,41,0,850,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
8579970,8579409,41,0,905,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
9064657,9064096,41,0,959,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
9576825,9576264,41,0,1015,0,982,982,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
