timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
390036789,5.686412,5.686412,5.726809,0.0037252456,0.0038597987,1,1
390136793,5.455151,5.455151,5.493149,0.003937327,0.0040794867,1,1
390236799,5.5488124,5.5488124,5.587463,0.0034588203,0.0035837032,1,1
390436810,5.455151,5.455151,5.493149,0.0027814177,0.0028818424,1,1
390636790,5.90863,5.90863,5.9498196,0.0016444902,0.001703875,1,1
390836810,5.6864142,5.6864142,5.726077,0.000917396,0.0009505282,1,1
391036790,5.3598533,5.3598533,5.3972225,0.0015011093,0.001555318,1,1
391236792,5.3598533,5.3598533,5.3972225,0.0020938618,0.0021694442,1,1
391436789,5.90863,5.90863,5.9498353,0.0022578922,0.002339434,1,1
391636788,5.455151,5.455151,5.4932213,0.0028324537,0.0029347453,1,1
391836788,5.90863,5.90863,5.9498253,0.0030979712,0.0032098463,1,1
392036788,4.4104624,4.4104624,4.4411983,0.0030023386,0.0031107503,1,1
392236788,5.731546,5.731546,5.771493,0.00345582,0.003580609,1,1
392436788,6.329705,6.329705,6.3738446,0.003778035,0.0039145052,1,1
392636787,5.6864142,5.6864142,5.72607,0.002974523,0.0030819618,1,1
392836788,5.3598533,5.3598533,5.3972583,0.003416457,0.0035398568,1,1
393036788,5.6864142,5.6864142,5.7260795,0.0031954218,0.00331088,1,1
393236788,5.455151,5.455151,5.49323,0.0021137532,0.0021901154,1,1
393436788,5.3598533,5.3598533,5.3972335,0.0020828387,0.0021580663,1,1
393636788,5.21364,5.21364,5.2500367,0.0021378426,0.0022151002,1,1
393836792,5.90863,5.90863,5.9498935,0.0021666763,0.002244982,1,1
394036790,5.21364,5.21364,5.250076,0.0016322468,0.0016912278,1,1
394236788,5.455151,5.455151,5.493266,0.0022853536,0.0023679435,1,1
394436788,5.21364,5.21364,5.250025,0.0031702688,0.003284794,1,1
394636792,5.731548,5.731548,5.771528,0.00410686,0.0042552506,1,1
394836788,5.90863,5.90863,5.9499054,0.0044612973,0.004622542,1,1
395036788,5.686412,5.686412,5.7261147,0.0037662014,0.0039023089,1,1
395236788,5.5488124,5.5488124,5.587527,0.004462646,0.0046238936,1,1
395436788,5.90863,5.90863,5.949845,0.004246875,0.004400325,1,1
395636788,5.731546,5.731546,5.7714972,0.004409846,0.0045692064,1,1
395836787,5.6864142,5.6864142,5.726154,0.004174624,0.00432552,1,1
396036787,5.90863,5.90863,5.9498076,0.003608044,0.0037384361,1,1
396236788,5.90863,5.90863,5.949779,0.0016356144,0.0016946943,1,1
396436789,4.9603853,4.9603853,4.99494,0.0017999861,0.0018650308,1,1
396636788,5.5488124,5.5488124,5.587527,0.0028638102,0.0029673232,1,1
396836788,5.3598533,5.3598533,5.3972583,0.0034349675,0.003559093,1,1
397036788,5.455151,5.455151,5.4931674,0.0039670304,0.0041104085,1,1
397236788,5.5488124,5.5488124,5.5874815,0.0028905596,0.002994999,1,1
397436788,5.455151,5.455151,5.4931755,0.0041197045,0.004268607,1,1
397636787,5.90863,5.90863,5.949862,0.0041483077,0.004298277,1,1
397836788,5.5488124,5.5488124,5.587499,0.003453094,0.0035779083,1,1
398036789,5.90863,5.90863,5.949806,0.0026820202,0.0027789548,1,1
398236789,4.9603868,4.9603868,4.994971,0.0037905397,0.003927551,1,1
398436788,4.9603844,4.9603844,4.9950423,0.0035415275,0.0036695923,1,1
398636788,5.90863,5.90863,5.9498935,0.003427916,0.003551861,1,1
398836788,5.686412,5.686412,5.726064,0.0033615355,0.003483044,1,1
399036788,5.90863,5.90863,5.9498076,0.0036671432,0.0037996836,1,1
399236788,5.686412,5.686412,5.7260866,0.0037743275,0.0039107725,1,1
399436788,5.731546,5.731546,5.7715826,0.0024523975,0.002541074,1,1
399636788,5.731546,5.731546,5.771469,0.0022401493,0.0023211057,1,1
399836797,5.163982,5.163982,5.20002,0.0017697972,0.0018337797,1,1
400036804,5.731546,5.731546,5.771564,0.0015613938,0.0016178561,1,1
400236788,5.731546,5.731546,5.7715144,0.002213071,0.0022930668,1,1
400436789,5.90863,5.90863,5.949847,0.00111839,0.0011588286,1,1
400636789,5.6864142,5.6864142,5.726089,0.0022316384,0.002312351,1,1
400836788,5.2953677,5.2953677,5.332314,0.0024506075,0.0025392123,1,1
401036790,5.6864142,5.6864142,5.7260423,0.0025185922,0.0026096618,1,1
401236789,5.6864142,5.6864142,5.7260604,0.0020542105,0.0021284728,1,1
401436788,5.686412,5.686412,5.7261252,0.003031388,0.0031410367,1,1
401636788,5.90863,5.90863,5.948873,0.003192127,0.003307551,1,1
401836788,5.5488124,5.5488124,5.587521,0.0021265596,0.0022034696,1,1
402036788,5.731546,5.731546,5.771218,0.0012468826,0.0012919939,1,1
402236789,5.90863,5.90863,5.949865,0.0015782332,0.0016353165,1,1
402436789,5.731548,5.731548,5.7706347,0.0011129424,0.0011532059,1,1
402636789,5.5488124,5.5488124,5.587545,0.00096217444,0.0009969787,1,1
402836789,5.5488124,5.5488124,5.5875816,0.001803203,0.0018684384,1,1
403036788,5.686412,5.686412,5.7261076,0.0032484022,0.0033659008,1,1
403236788,5.21364,5.21364,5.249131,0.0035691853,0.0036982943,1,1
403436788,5.9086323,5.9086323,5.9488583,0.0045604166,0.0047253473,1,1
403636788,5.731546,5.731546,5.7714095,0.004977032,0.0051570972,1,1
403836787,4.9603853,4.9603853,4.9949613,0.0034711354,0.003596654,1,1
404036788,5.90863,5.90863,5.948856,0.0024162629,0.0025036754,1,1
404236789,5.21364,5.21364,5.2491746,0.0025812236,0.0026745955,1,1
404436789,5.3598533,5.3598533,5.396358,0.0026938573,0.0027913346,1,1
404636788,5.455151,5.455151,5.4922633,0.0020803853,0.0021556248,1,1
404836788,5.5488124,5.5488124,5.5865645,0.0018947133,0.001963261,1,1
405036788,5.455151,5.455151,5.4922724,0.0021503626,0.0022281485,1,1
405236788,5.3598533,5.3598533,5.396379,0.0035499302,0.003678399,1,1
405436787,5.21364,5.21364,5.2491007,0.0019361059,0.0020061457,1,1
405636788,5.731546,5.731546,5.7704635,0.0022288212,0.0023094236,1,1
405836788,6.0805616,6.0805616,6.1218715,0.0035838687,0.0037134883,1,1
406036788,5.90863,5.90863,5.9489026,0.0043724827,0.004530724,1,1
406236787,5.90863,5.90863,5.9488373,0.0041166986,0.0042656367,1,1
406436789,5.731546,5.731546,5.7706137,0.0028505165,0.0029536788,1,1
406636788,5.6864142,5.6864142,5.7250905,0.0044084373,0.004567915,1,1
406836788,5.6864142,5.6864142,5.72512,0.0035335855,0.0036614342,1,1
407036788,5.6864142,5.6864142,5.7251596,0.003593491,0.0037235324,1,1
407236788,5.731548,5.731548,5.7706122,0.0028836557,0.0029880158,1,1
407436788,5.5488124,5.5488124,5.5866075,0.002950059,0.003056809,1,1
407636788,5.455151,5.455151,5.4923444,0.0022524488,0.0023339707,1,1
407836788,5.686412,5.686412,5.7252097,0.0032240008,0.0033407016,1,1
408036789,5.5488124,5.5488124,5.586571,0.0029442525,0.0030507725,1,1
408236788,5.731546,5.731546,5.7706704,0.0027680185,0.0028682235,1,1
408436788,5.455151,5.455151,5.4923058,0.004044626,0.004190982,1,1
408636788,5.90863,5.90863,5.9488373,0.0045351977,0.0046992763,1,1
408836788,5.90863,5.90863,5.9488373,0.004976226,0.005156297,1,1
409036788,5.731546,5.731546,5.770558,0.004389922,0.004548777,1,1
409236788,5.90863,5.90863,5.9488955,0.004661003,0.0048296805,1,1
409436788,5.6864142,5.6864142,5.7251844,0.0037435356,0.0038790652,1,1
409636788,5.90863,5.90863,5.948907,0.0029680957,0.003075554,1,1
409836788,5.90863,5.90863,5.948913,0.0028939953,0.0029987833,1,1
410036788,5.90863,5.90863,5.948934,0.002610173,0.002704694,1,1
410236788,5.455151,5.455151,5.492362,0.0020633512,0.0021380703,1,1
410436788,5.3598533,5.3598533,5.3963876,0.002574523,0.0026677113,1,1
410636788,5.3598533,5.3598533,5.396343,0.0018107027,0.0018762484,1,1
410836800,5.455151,5.455151,5.492308,0.0037486926,0.0038844105,1,1
411036799,5.731548,5.731548,5.770571,0.0048164064,0.0049907574,1,1
411236819,5.6864142,5.6864142,5.7251654,0.0038499201,0.0039893095,1,1
411436788,5.6864142,5.6864142,5.7251654,0.0030421289,0.0031522715,1,1
411636790,5.5488105,5.5488105,5.586679,0.0023480363,0.0024330725,1,1
411836788,5.6103854,5.6103854,5.6486373,0.002824986,0.0029272763,1,1
412036788,4.1079874,4.1079874,4.135982,0.003879592,0.0040200558,1,1
412236788,5.455151,5.455151,5.4923315,0.0038296485,0.0039683077,1,1
412436788,5.686412,5.686412,5.725163,0.0037118779,0.0038462863,1,1
412636789,5.90863,5.90863,5.9489245,0.002363076,0.0024486526,1,1
412836788,5.21364,5.21364,5.24834,0.00179365,0.0018586057,1,1
413036788,5.90863,5.90863,5.9483137,0.0026562368,0.0027524114,1,1
413236788,5.731548,5.731548,5.769638,0.0031082716,0.0032208378,1,1
413436788,5.6864142,5.6864142,5.7242146,0.002215216,0.0022954564,1,1
413636789,5.90863,5.90863,5.9489045,0.0022452383,0.0023265327,1,1
413836789,5.455151,5.455151,5.491447,0.002501184,0.002591757,1,1
414036788,5.90863,5.90863,5.947965,0.002330411,0.0024148477,1,1
414236788,5.5488105,5.5488105,5.585741,0.0016644561,0.0017247607,1,1
414436787,4.9603853,4.9603853,4.9933996,0.002700233,0.0027980646,1,1
414636788,5.90863,5.90863,5.9478874,0.0020888133,0.0021644682,1,1
414836789,5.5488124,5.5488124,5.585752,0.001423611,0.001475192,1,1
415036787,5.686412,5.686412,5.724223,0.0016573047,0.0017173396,1,1
415236788,5.5488105,5.5488105,5.585717,0.0025437153,0.002635865,1,1
415436788,5.686412,5.686412,5.7242584,0.003767576,0.0039040786,1,1
415636788,5.6864142,5.6864142,5.7242146,0.004090598,0.0042387694,1,1
415836788,5.686412,5.686412,5.7242303,0.003580988,0.003710712,1,1
416036787,5.21364,5.21364,5.248306,0.004299858,0.0044556167,1,1
416236788,5.90863,5.90863,5.947955,0.0040418855,0.0041883267,1,1
416436790,6.724463,6.724463,6.7692633,0.0038655195,0.004005597,1,1
416636788,5.455151,5.455151,5.491447,0.003831135,0.003969996,1,1
416836788,5.686412,5.686412,5.7242675,0.0032547715,0.0033727272,1,1
417036788,5.731546,5.731546,5.7697024,0.0035709322,0.0037003756,1,1
417236790,5.90863,5.90863,5.9480333,0.0025690293,0.0026621567,1,1
417436787,5.90863,5.90863,5.9479847,0.0027167043,0.0028151767,1,1
417636788,6.0805616,6.0805616,6.1209936,0.002247697,0.0023291558,1,1
417836788,4.410464,4.410464,4.439817,0.0021023052,0.0021785009,1,1
418036790,5.6103854,5.6103854,5.647691,0.0016867558,0.0017478856,1,1
418236788,5.455151,5.455151,5.4915032,0.0009007171,0.0009333734,1,1
418436788,5.21364,5.21364,5.248331,0.0009604277,0.0009952391,1,1
418636789,5.90863,5.90863,5.9480233,0.0013512209,0.0014002153,1,1
418836787,5.90863,5.90863,5.948014,0.0010252264,0.0010623987,1,1
419036788,4.9603853,4.9603853,4.993391,0.0018501192,0.0019171783,1,1
419236787,5.731546,5.731546,5.7696953,0.0018902939,0.001958813,1,1
419436788,5.5488124,5.5488124,5.5857177,0.0011685864,0.0012109393,1,1
419636809,4.9603853,4.9603853,4.9934325,0.0023918292,0.002478543,1,1
419836788,5.5488124,5.5488124,5.585734,0.0018749057,0.0019428631,1,1
420036788,5.455151,5.455151,5.4914856,0.0022029034,0.0022827643,1,1
420236788,5.5488105,5.5488105,5.5857315,0.0014087085,0.001459784,1,1
420436787,5.6103835,5.6103835,5.6477227,0.001099742,0.0011396192,1,1
