timestamp,safety_switch_available,safety_off
389747608,1,1
390751852,1,1
391760608,1,1
392769607,1,1
393778607,1,1
394787611,1,1
395796607,1,1
396804607,1,1
397813622,1,1
398822629,1,1
399831607,1,1
400840607,1,1
401849631,1,1
402857607,1,1
403865607,1,1
404874612,1,1
405882643,1,1
406891768,1,1
407900607,1,1
408909607,1,1
409918607,1,1
410926607,1,1
411935607,1,1
412944607,1,1
413953668,1,1
414961614,1,1
415968607,1,1
416976607,1,1
417983607,1,1
418991613,1,1
420000631,1,1
421009825,1,1
422018607,1,1
423026607,1,1
424035607,1,1
425040621,1,1
426049611,1,1
427058608,1,1
