timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
390076908,390076663,0.2977075,-0.024563858,-0.027343849,-0.9539493,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390081879,390081660,0.2977232,-0.024549635,-0.027350107,-0.95394456,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390131828,390131647,0.29766712,-0.024599755,-0.027380947,-0.95395994,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390176832,390176637,0.2976913,-0.024620088,-0.027325608,-0.9539534,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390226798,390226625,0.29769066,-0.024637487,-0.027305307,-0.9539538,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390281796,390281612,0.29768836,-0.02466909,-0.02732976,-0.9539529,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390331808,390331599,0.29766494,-0.024698954,-0.027326044,-0.95395964,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390376763,390376589,0.29764467,-0.024626015,-0.027267287,-0.95396954,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390431755,390431576,0.29762325,-0.02467378,-0.02730288,-0.9539739,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390481733,390481564,0.2975759,-0.024660768,-0.027298668,-0.95398915,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390526728,390526553,0.2975852,-0.024656335,-0.027260004,-0.95398754,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390576717,390576541,0.29757887,-0.024658568,-0.027218303,-0.9539906,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390631716,390631528,0.29757854,-0.024645157,-0.027201088,-0.95399153,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390681691,390681516,0.29757833,-0.02469746,-0.027191235,-0.9539905,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390726683,390726505,0.2975714,-0.024677726,-0.027185839,-0.9539933,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390781766,390781492,0.29754323,-0.024689538,-0.02717008,-0.95400226,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390831697,390831480,0.29753,-0.024708688,-0.027183482,-0.9540055,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390881758,390881468,0.2975639,-0.024691978,-0.02716481,-0.9539959,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
390926711,390926457,0.29755968,-0.024688536,-0.02714977,-0.9539978,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
