timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
389868655,0,0,1,0,0,0,0,0,0,0,0,0,0
390373659,0,0,1,0,0,0,0,0,0,0,0,0,0
390883636,0,0,1,0,0,0,0,0,0,0,0,0,0
391393637,0,0,1,0,0,0,0,0,0,0,0,0,0
391903642,0,0,1,0,0,0,0,0,0,0,0,0,0
392413729,0,0,1,0,0,0,0,0,0,0,0,0,0
392923636,0,0,1,0,0,0,0,0,0,0,0,0,0
393433711,0,0,1,0,0,0,0,0,0,0,0,0,0
393943638,0,0,1,0,0,0,0,0,0,0,0,0,0
394453674,0,0,1,0,0,0,0,0,0,0,0,0,0
394963650,0,0,1,0,0,0,0,0,0,0,0,0,0
395473642,0,0,1,0,0,0,0,0,0,0,0,0,0
395983637,0,0,1,0,0,0,0,0,0,0,0,0,0
396492640,0,0,1,0,0,0,0,0,0,0,0,0,0
397002645,0,0,1,0,0,0,0,0,0,0,0,0,0
397512637,0,0,1,0,0,0,0,0,0,0,0,0,0
398022638,0,0,1,0,0,0,0,0,0,0,0,0,0
398532664,0,0,1,0,0,0,0,0,0,0,0,0,0
399042639,0,0,1,0,0,0,0,0,0,0,0,0,0
399552636,0,0,1,0,0,0,0,0,0,0,0,0,0
400062638,0,0,1,0,0,0,0,0,0,0,0,0,0
400572658,0,0,1,0,0,0,0,0,0,0,0,0,0
401082643,0,0,1,0,0,0,0,0,0,0,0,0,0
401592637,0,0,1,0,0,0,0,0,0,0,0,0,0
402102642,0,0,1,0,0,0,0,0,0,0,0,0,0
402612636,0,0,1,0,0,0,0,0,0,0,0,0,0
403121637,0,0,1,0,0,0,0,0,0,0,0,0,0
403630636,0,0,1,0,0,0,0,0,0,0,0,0,0
404140637,0,0,1,0,0,0,0,0,0,0,0,0,0
404650683,0,0,1,0,0,0,0,0,0,0,0,0,0
405160681,0,0,1,0,0,0,0,0,0,0,0,0,0
405669638,0,0,1,0,0,0,0,0,0,0,0,0,0
406179637,0,0,1,0,0,0,0,0,0,0,0,0,0
406689637,0,0,1,0,0,0,0,0,0,0,0,0,0
407199637,0,0,1,0,0,0,0,0,0,0,0,0,0
407709640,0,0,1,0,0,0,0,0,0,0,0,0,0
408219637,0,0,1,0,0,0,0,0,0,0,0,0,0
408729637,0,0,1,0,0,0,0,0,0,0,0,0,0
409239641,0,0,1,0,0,0,0,0,0,0,0,0,0
409749783,0,0,1,0,0,0,0,0,0,0,0,0,0
410259638,0,0,1,0,0,0,0,0,0,0,0,0,0
410768639,0,0,1,0,0,0,0,0,0,0,0,0,0
411278648,0,0,1,0,0,0,0,0,0,0,0,0,0
411788946,0,0,1,0,0,0,0,0,0,0,0,0,0
412298637,0,0,1,0,0,0,0,0,0,0,0,0,0
412808652,0,0,1,0,0,0,0,0,0,0,0,0,0
413318657,0,0,1,0,0,0,0,0,0,0,0,0,0
413828638,0,0,1,0,0,0,0,0,0,0,0,0,0
414338660,0,0,1,0,0,0,0,0,0,0,0,0,0
414847651,0,0,1,0,0,0,0,0,0,0,0,0,0
415357637,0,0,1,0,0,0,0,0,0,0,0,0,0
415866638,0,0,1,0,0,0,0,0,0,0,0,0,0
416375839,0,0,1,0,0,0,0,0,0,0,0,0,0
416885638,0,0,1,0,0,0,0,0,0,0,0,0,0
417394652,0,0,1,0,0,0,0,0,0,0,0,0,0
417903637,0,0,1,0,0,0,0,0,0,0,0,0,0
418412745,0,0,1,0,0,0,0,0,0,0,0,0,0
418921637,0,0,1,0,0,0,0,0,0,0,0,0,0
419431637,0,0,1,0,0,0,0,0,0,0,0,0,0
419941651,0,0,1,0,0,0,0,0,0,0,0,0,0
420451665,0,0,1,0,0,0,0,0,0,0,0,0,0
420961636,0,0,1,0,0,0,0,0,0,0,0,0,0
421471653,0,0,1,0,0,0,0,0,0,0,0,0,0
421981682,0,0,1,0,0,0,0,0,0,0,0,0,0
422491638,0,0,1,0,0,0,0,0,0,0,0,0,0
423000636,0,0,1,0,0,0,0,0,0,0,0,0,0
423510636,0,0,1,0,0,0,0,0,0,0,0,0,0
424020637,0,0,1,0,0,0,0,0,0,0,0,0,0
424530674,0,0,1,0,0,0,0,0,0,0,0,0,0
425040650,0,0,1,0,0,0,0,0,0,0,0,0,0
425550637,0,0,1,0,0,0,0,0,0,0,0,0,0
426060881,0,0,1,0,0,0,0,0,0,0,0,0,0
426570745,0,0,1,0,0,0,0,0,0,0,0,0,0
427080664,0,0,1,0,0,0,0,0,0,0,0,0,0
427590638,0,0,1,0,0,0,0,0,0,0,0,0,0
