timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
476866507,476734618,0.0,4.037501e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
477866183,477734616,0.0,4.0375726e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
478865968,478735615,0.0,4.037637e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
479865682,479734614,0.0,4.0376954e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
480865510,480734614,0.0,4.037748e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
481865226,481734615,0.0,4.037796e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
482864969,482734610,0.0,4.0378386e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
483864742,483734796,0.0,4.0378777e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
484864587,484734718,0.0,4.0379523e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
485864406,485733617,0.0,4.038019e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
486864088,486733613,0.0,4.03804e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
487863852,487736613,0.0,4.0360396e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
488863570,488733721,0.0,4.038153e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
489863423,489734616,0.0,4.0362993e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
490863132,490733634,0.0,4.038464e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
491862897,491735614,0.0,4.0365803e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
492862657,492733616,0.0,4.0367395e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
493862409,493733622,0.0,4.036844e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
494862316,494733613,0.0,4.036978e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
495861963,495733614,0.0,4.037059e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
496861706,496733623,0.0,4.0371724e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
497861489,497733613,0.0,4.0372747e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
498861236,498733614,0.0,4.0373675e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
499861101,499733615,0.0,4.0374516e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
500860768,500734622,0.0,4.037488e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
501860578,501733615,0.0,4.0375603e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
502860294,502734613,0.0,4.0375853e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
503860112,503734615,0.0,4.037648e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
504864866,504734645,0.0,4.037704e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
505859683,505733613,0.0,4.0377554e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
506869432,506735615,0.0,4.0357836e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
507859215,507734418,0.0,4.0378795e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
508858985,508733619,0.0,4.037953e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
509858674,509733846,0.0,4.0380182e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
510858488,510733615,0.0,4.0380387e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
511863262,511734609,0.0,4.038058e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
512858044,512733612,0.0,4.038112e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
513867730,513733615,0.0,4.036185e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
514857492,514732665,0.0,4.03836e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
515867251,515733611,0.0,4.0364484e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
516867049,516733615,0.0,4.03662e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
517866899,517733617,0.0,4.0367754e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
