timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
562226324,562226167,0.29736578,-0.024840351,-0.027244475,-0.9540516,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
562731203,562731050,0.29731196,-0.024887046,-0.027298827,-0.9540656,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
563231083,563230934,0.29743585,-0.02504114,-0.027186165,-0.9540261,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
563730964,563730817,0.29745066,-0.025004266,-0.027120931,-0.9540243,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
564230852,564230701,0.29731643,-0.025002677,-0.02714072,-0.9540657,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
564730734,564730585,0.29733476,-0.024990836,-0.027091328,-0.9540616,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
565230626,565230469,0.2973729,-0.024985401,-0.027054248,-0.95405096,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
565730571,565730353,0.29724464,-0.024827277,-0.027266037,-0.95408905,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
566230519,566230236,0.29721665,-0.024804194,-0.02735065,-0.9540959,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
566730270,566730120,0.29727095,-0.024736404,-0.027134132,-0.9540869,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
567230153,567230004,0.29718974,-0.0247058,-0.0270487,-0.95411545,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
567730039,567729888,0.29720515,-0.024854574,-0.027328182,-0.9540989,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
568232423,568229772,0.29730606,-0.024940813,-0.02733149,-0.9540651,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
