timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
869705851,0,0,165,158,97,23,39
870740601,0,0,164,157,98,23,50
871794791,0,0,165,155,100,30,43
872717031,0,0,163,156,100,23,43
873738527,0,0,164,158,100,26,50
874787150,0,0,163,158,100,22,44
875719635,0,0,158,157,97,23,44
876733975,0,0,155,155,100,22,45
877784160,0,0,163,158,100,22,55
878712860,0,0,161,154,99,22,47
879760487,0,0,163,155,100,21,46
880791629,0,0,162,154,100,25,51
881708272,0,0,165,152,100,21,46
882758422,0,0,162,154,95,23,55
883789634,0,0,160,159,98,22,51
884705878,0,0,161,153,100,21,52
885740513,0,0,163,158,97,32,38
886790974,0,0,165,154,100,23,47
887718052,0,0,164,148,100,24,41
888742834,0,0,154,152,100,23,47
889791534,0,0,159,157,100,22,51
890721805,0,0,163,154,100,24,58
891751345,0,0,165,155,100,22,54
892785265,0,0,165,159,97,22,44
893766892,0,0,163,156,100,24,53
894751876,0,0,163,156,96,24,41
895686634,0,0,164,150,100,21,52
896712529,0,0,165,159,100,24,51
897752410,0,0,162,159,100,22,51
898793990,0,0,162,158,100,22,52
899713868,0,0,159,154,100,21,41
900748985,0,0,166,158,98,24,46
901807586,0,0,164,159,100,22,53
902839344,0,0,167,160,100,21,50
903772645,0,0,166,158,96,23,54
904695122,0,0,165,159,100,27,50
905722942,0,0,164,157,93,29,54
