timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
955336789,14.256619,14.256619,14.335066,0.011950781,0.012393144,1,1
955436789,14.495593,14.495593,14.575344,0.011418992,0.011841661,1,1
955536789,14.280698,14.280698,14.359337,0.010905586,0.011309307,1,1
955736789,14.2083435,14.2083435,14.286514,0.010175288,0.010551922,1,1
955936789,14.226467,14.226467,14.304922,0.0075199674,0.0077984175,1,1
956136788,14.226467,14.226467,14.304502,0.008548466,0.008864738,1,1
956336807,14.135619,14.135619,14.213462,0.0080941655,0.008393811,1,1
956536788,14.2083435,14.2083435,14.286615,0.007230939,0.0074986177,1,1
956736788,14.352688,14.352688,14.43154,0.0055023585,0.005705979,1,1
956936788,14.226466,14.226466,14.304596,0.00552783,0.005732384,1,1
957136787,14.256621,14.256621,14.33515,0.005621195,0.005829299,1,1
957336788,14.135619,14.135619,14.213295,0.0041720723,0.004326425,1,1
957536793,14.316738,14.316738,14.395597,0.003736082,0.0038743967,1,1
957736833,14.352686,14.352686,14.4316435,0.0038536876,0.0039963285,1,1
957936788,14.280698,14.280698,14.359226,0.0072770314,0.007546305,1,1
958136788,14.280698,14.280698,14.359171,0.006265621,0.0064974977,1,1
958336788,14.135619,14.135619,14.213295,0.008956598,0.009288077,1,1
958536790,14.135619,14.135619,14.213528,0.008848242,0.009175749,1,1
958736789,14.376603,14.376603,14.455604,0.010728973,0.011125969,1,1
958936788,14.226467,14.226467,14.304699,0.009054863,0.009389939,1,1
959136788,13.840901,13.840901,13.917095,0.01012433,0.010498977,1,1
959336788,14.256621,14.256621,14.334991,0.01138012,0.011801258,1,1
959536789,14.135619,14.135619,14.2133665,0.010002345,0.010372449,1,1
959736788,14.376603,14.376603,14.455722,0.008693014,0.009014701,1,1
959936788,14.352686,14.352686,14.431744,0.00813115,0.008432086,1,1
960136799,14.135619,14.135619,14.213506,0.010322734,0.010704741,1,1
960336789,14.280698,14.280698,14.359266,0.00949222,0.009843413,1,1
960536788,14.135619,14.135619,14.213314,0.009955178,0.010323527,1,1
960736788,14.280698,14.280698,14.359155,0.011913832,0.012354524,1,1
960936789,14.226467,14.226467,14.3046665,0.012862188,0.013337997,1,1
961136789,14.135619,14.135619,14.213389,0.01538981,0.015959201,1,1
961336788,14.06252,14.06252,14.139655,0.015242457,0.015806308,1,1
961536787,14.135619,14.135619,14.213459,0.013503819,0.014003501,1,1
961736788,14.135619,14.135619,14.21324,0.0145490775,0.015087206,1,1
961936788,14.2083435,14.2083435,14.286517,0.014025088,0.014544179,1,1
962136810,14.06252,14.06252,14.139865,0.014362564,0.014894004,1,1
962336787,14.044185,14.044185,14.121521,0.013583211,0.014085831,1,1
962536788,14.352688,14.352688,14.431675,0.013945515,0.014461493,1,1
962736789,14.406443,14.406443,14.485631,0.013958354,0.014474713,1,1
962936801,14.424316,14.424316,14.503697,0.01432035,0.014850356,1,1
963136788,14.280698,14.280698,14.359049,0.012610085,0.013076434,1,1
963336789,14.135619,14.135619,14.213314,0.013158214,0.013644968,1,1
963536788,14.135619,14.135619,14.213349,0.015965126,0.016555754,1,1
963736788,14.226467,14.226467,14.304643,0.013514553,0.014014471,1,1
963936788,14.135619,14.135619,14.213181,0.01242691,0.012886491,1,1
964136788,14.135619,14.135619,14.213295,0.012935026,0.01341365,1,1
964336789,14.135619,14.135619,14.213213,0.011558243,0.011985725,1,1
964536797,14.352688,14.352688,14.431415,0.014631965,0.015173069,1,1
964736787,14.226466,14.226466,14.304713,0.016110998,0.016707044,1,1
964936788,14.280698,14.280698,14.359242,0.015762245,0.01634539,1,1
965136788,14.280698,14.280698,14.359147,0.016167618,0.016765648,1,1
965336788,14.424317,14.424317,14.503628,0.01752315,0.018171411,1,1
965536788,14.135619,14.135619,14.213389,0.014695477,0.015239179,1,1
965736789,14.2083435,14.2083435,14.286374,0.0148660075,0.015415868,1,1
965936788,14.135619,14.135619,14.213314,0.012078571,0.012525386,1,1
966136787,14.280698,14.280698,14.359155,0.0138694225,0.014382565,1,1
966336787,14.316738,14.316738,14.39541,0.012918713,0.01339659,1,1
966536788,14.280698,14.280698,14.359385,0.013824544,0.014335883,1,1
966736788,14.226467,14.226467,14.304714,0.011150191,0.011562581,1,1
966936788,14.2083435,14.2083435,14.286514,0.012014024,0.012458518,1,1
967136788,14.226467,14.226467,14.304737,0.01319506,0.013683388,1,1
967336789,14.2083435,14.2083435,14.2864485,0.013610529,0.014114025,1,1
967536828,14.2083435,14.2083435,14.286536,0.016701164,0.017319098,1,1
967736787,14.376603,14.376603,14.455509,0.014965631,0.015519125,1,1
967936787,14.316738,14.316738,14.395364,0.018165143,0.018837031,1,1
968136788,14.316738,14.316738,14.395505,0.018940207,0.019640954,1,1
968336808,14.316738,14.316738,14.395552,0.019629443,0.02035576,1,1
968536788,14.135619,14.135619,14.213279,0.020540692,0.021300491,1,1
968736788,14.316738,14.316738,14.395608,0.02220755,0.023028877,1,1
968936788,14.2083435,14.2083435,14.28649,0.022332303,0.023158513,1,1
969136821,14.135619,14.135619,14.213435,0.021566538,0.02236441,1,1
969336788,14.044185,14.044185,14.121359,0.023935752,0.024821162,1,1
969536789,14.13562,14.13562,14.21346,0.024203181,0.025098504,1,1
969736789,14.406443,14.406443,14.485663,0.025059378,0.025986122,1,1
969936788,14.316738,14.316738,14.395481,0.026094582,0.027059894,1,1
970136788,14.316738,14.316738,14.395565,0.024872566,0.025792496,1,1
970336787,14.135619,14.135619,14.213389,0.026268845,0.027240302,1,1
970536788,14.316738,14.316738,14.395669,0.025715888,0.026667342,1,1
970736787,14.2083435,14.2083435,14.286419,0.028785162,0.0298498,1,1
970936788,14.316738,14.316738,14.395576,0.027100157,0.028102795,1,1
971136788,14.226466,14.226466,14.304921,0.025541577,0.026486626,1,1
971336787,14.280698,14.280698,14.359171,0.024960147,0.025883451,1,1
971536787,14.352688,14.352688,14.431822,0.024613027,0.025523959,1,1
971736788,14.044184,14.044184,14.121797,0.02428486,0.025183544,1,1
