Alpha,T1-13.9 m/s-VLM1, , 
          -10,     -19.28626, , 
         -9.9,     -18.82589, , 
         -9.8,     -18.34845, , 
         -9.7,     -17.85307, , 
         -9.6,     -17.34101, , 
         -9.5,     -16.80837, , 
         -9.4,     -16.25219, , 
         -9.3,     -15.67158, , 
         -9.2,     -15.06663, , 
         -9.1,     -14.43976, , 
           -9,      -13.7922, , 
         -8.9,     -13.12639, , 
         -8.8,     -12.44203, , 
         -8.7,     -11.73934, , 
         -8.6,     -11.01883, , 
         -8.5,     -10.28064, , 
         -8.4,     -9.525777, , 
         -8.3,     -8.754231, , 
         -8.2,     -7.967639, , 
         -8.1,     -7.166068, , 
           -8,     -6.350917, , 
         -7.9,     -5.523011, , 
         -7.8,     -4.681819, , 
         -7.7,     -3.825837, , 
         -7.6,     -2.952003, , 
         -7.5,     -2.042918, , 
         -7.4,     -1.093325, , 
         -7.3,    -0.1095644, , 
         -7.2,     0.8987639, , 
         -7.1,      1.923358, , 
           -7,      2.958725, , 
         -6.9,      4.000701, , 
         -6.8,      5.045732, , 
         -6.7,      6.091849, , 
         -6.6,      7.136817, , 
         -6.5,      8.177984, , 
         -6.4,      9.215022, , 
         -6.3,      10.24398, , 
         -6.2,      11.26464, , 
         -6.1,      12.27652, , 
           -6,      13.27768, , 
         -5.9,      14.26847, , 
         -5.8,      15.25098, , 
         -5.7,      16.22527, , 
         -5.6,      17.19052, , 
         -5.5,      18.14499, , 
         -5.4,      19.08665, , 
         -5.3,      20.01825, , 
         -5.2,      20.93611, , 
         -5.1,      21.83572, , 
           -5,        22.713, , 
         -4.9,      23.56329, , 
         -4.8,      24.39376, , 
         -4.7,      25.20159, , 
         -4.6,       25.9834, , 
         -4.5,      26.73863, , 
         -4.4,      27.47379, , 
         -4.3,      28.20291, , 
         -4.2,      28.91079, , 
         -4.1,      29.59479, , 
           -4,      30.25576, , 
         -3.9,      30.89421, , 
         -3.8,      31.50832, , 
         -3.7,      32.09518, , 
         -3.6,      32.65375, , 
         -3.5,      33.18871, , 
         -3.4,       33.7041, , 
         -3.3,      34.19956, , 
         -3.2,      34.67798, , 
         -3.1,      35.14902, , 
           -3,      35.60365, , 
         -2.9,      36.03742, , 
         -2.8,      36.45326, , 
         -2.7,      36.85155, , 
         -2.6,      37.24085, , 
         -2.5,      37.61767, , 
         -2.4,      37.97948, , 
         -2.3,      38.33667, , 
         -2.2,      38.69171, , 
         -2.1,      39.04851, , 
           -2,      39.42277, , 
         -1.9,      39.80467, , 
         -1.8,      40.18484, , 
         -1.7,      40.54595, , 
         -1.6,      40.87527, , 
         -1.5,      41.16387, , 
         -1.4,      41.39712, , 
         -1.3,       41.5842, , 
         -1.2,      41.74418, , 
         -1.1,      41.87979, , 
           -1,      41.99652, , 
         -0.9,       42.1074, , 
         -0.8,      42.20243, , 
         -0.7,       42.2821, , 
         -0.6,      42.34378, , 
         -0.5,       42.3851, , 
         -0.4,      42.40864, , 
         -0.3,      42.41507, , 
         -0.2,      42.40793, , 
         -0.1,      42.39742, , 
            0,      42.37575, , 
          0.1,      42.34705, , 
          0.2,      42.31128, , 
          0.3,      42.26651, , 
          0.4,      42.21458, , 
          0.5,      42.15496, , 
          0.6,      42.08249, , 
          0.7,      41.99937, , 
          0.8,      41.91375, , 
          0.9,      41.82728, , 
            1,      41.74201, , 
          1.1,      41.65178, , 
          1.2,      41.55072, , 
          1.3,      41.43858, , 
          1.4,      41.31731, , 
          1.5,      41.19263, , 
          1.6,      41.06834, , 
          1.7,       40.9492, , 
          1.8,      40.83309, , 
          1.9,      40.71205, , 
            2,      40.58552, , 
          2.1,      40.45012, , 
          2.2,      40.30794, , 
          2.3,      40.16759, , 
          2.4,      40.03245, , 
          2.5,      39.89556, , 
          2.6,      39.75253, , 
          2.7,      39.60197, , 
          2.8,      39.44188, , 
          2.9,      39.28108, , 
            3,      39.12632, , 
          3.1,      38.98075, , 
          3.2,       38.8335, , 
          3.3,      38.68132, , 
          3.4,       38.5256, , 
          3.5,      38.36878, , 
          3.6,      38.21496, , 
          3.7,      38.06086, , 
          3.8,      37.90543, , 
          3.9,      37.74253, , 
            4,      37.57507, , 
          4.1,       37.4121, , 
          4.2,      37.24977, , 
          4.3,      37.08442, , 
          4.4,      36.91209, , 
          4.5,      36.73927, , 
          4.6,      36.57735, , 
          4.7,      36.41681, , 
          4.8,      36.25621, , 
          4.9,      36.09238, , 
            5,      35.92911, , 
          5.1,      35.76784, , 
          5.2,      35.60284, , 
          5.3,      35.43554, , 
          5.4,      35.26684, , 
          5.5,      35.09752, , 
          5.6,      34.92708, , 
          5.7,      34.75625, , 
          5.8,      34.58271, , 
          5.9,      34.40386, , 
            6,      34.22474, , 
          6.1,      34.04676, , 
          6.2,       33.8717, , 
          6.3,      33.69497, , 
          6.4,      33.51334, , 
          6.5,      33.32894, , 
          6.6,      33.13964, , 
          6.7,      32.94524, , 
          6.8,      32.74328, , 
          6.9,      32.54038, , 
            7,       32.3234, , 
          7.1,      32.09122, , 
          7.2,      31.81739, , 
          7.3,       31.5052, , 
          7.4,      31.12569, , 
          7.5,       30.6678, , 
          7.6,      30.11505, , 
          7.7,      29.50914, , 
          7.8,      28.89578, , 
          7.9,      28.23577, , 
            8,      27.44582, , 
          8.1,      26.60035, , 

