CD,T1-13.9 m/s-VLM1, , 
   0.01403559,     -0.270694, , 
   0.01384929,    -0.2607251, , 
   0.01366626,    -0.2507546, , 
   0.01348689,    -0.2407824, , 
      0.01331,    -0.2308088, , 
   0.01313832,    -0.2208336, , 
   0.01297407,     -0.210857, , 
   0.01281805,     -0.200879, , 
   0.01267037,    -0.1908997, , 
   0.01252923,     -0.180919, , 
   0.01239375,    -0.1709371, , 
   0.01226186,     -0.160954, , 
   0.01213384,    -0.1509697, , 
   0.01200955,    -0.1409842, , 
   0.01188853,    -0.1309977, , 
   0.01177068,    -0.1210102, , 
   0.01165487,    -0.1110217, , 
   0.01154096,    -0.1010322, , 
   0.01142645,   -0.09104185, , 
   0.01131034,   -0.08105066, , 
   0.01118873,   -0.07105867, , 
   0.01105664,   -0.06106594, , 
   0.01090869,    -0.0510725, , 
    0.0107371,    -0.0410784, , 
    0.0105297,   -0.03108369, , 
    0.0103227,   -0.02108842, , 
   0.01014578,   -0.01109263, , 
   0.01000667,  -0.001096376, , 
  0.009902829,   0.008900305, , 
  0.009825191,    0.01889736, , 
  0.009765946,    0.02889475, , 
  0.009721401,    0.03889242, , 
  0.009689442,    0.04889032, , 
  0.009666756,    0.05888842, , 
  0.009652294,    0.06888666, , 
  0.009646019,    0.07888499, , 
  0.009645487,    0.08888337, , 
  0.009652669,    0.09888175, , 
  0.009665652,     0.1088801, , 
  0.009683388,     0.1188783, , 
  0.009706245,     0.1288764, , 
  0.009732953,     0.1388744, , 
  0.009761472,     0.1488721, , 
  0.009791486,     0.1588695, , 
  0.009823236,     0.1688666, , 
  0.009857448,     0.1788633, , 
  0.009894851,     0.1888596, , 
  0.009933705,     0.1988554, , 
  0.009975619,     0.2088507, , 
   0.01002236,     0.2188455, , 
   0.01007527,     0.2288396, , 
   0.01013581,     0.2388331, , 
   0.01020039,     0.2488259, , 
    0.0102699,     0.2588179, , 
   0.01034542,     0.2688092, , 
   0.01042685,     0.2787996, , 
   0.01051144,     0.2887891, , 
   0.01059386,     0.2987777, , 
   0.01067993,     0.3087653, , 
   0.01077054,     0.3187518, , 
   0.01086528,     0.3287373, , 
   0.01096392,     0.3387217, , 
   0.01106707,     0.3487049, , 
   0.01117572,     0.3586869, , 
   0.01129021,     0.3686676, , 
   0.01140891,      0.378647, , 
    0.0115305,      0.388625, , 
   0.01165517,     0.3986017, , 
   0.01178203,     0.4085769, , 
   0.01190789,     0.4185506, , 
   0.01203592,     0.4285227, , 
   0.01216772,     0.4384933, , 
   0.01230239,     0.4484622, , 
    0.0124399,     0.4584295, , 
   0.01257745,      0.468395, , 
   0.01271633,     0.4783587, , 
   0.01285749,     0.4883206, , 
   0.01299749,     0.4982806, , 
    0.0131356,     0.5082387, , 
   0.01327054,     0.5181949, , 
   0.01339706,      0.528149, , 
   0.01351854,     0.5381011, , 
   0.01363825,     0.5480511, , 
   0.01376214,     0.5579989, , 
   0.01389458,     0.5679445, , 
   0.01403872,     0.5778879, , 
   0.01419975,      0.587829, , 
   0.01437488,     0.5977678, , 
   0.01455782,     0.6077041, , 
   0.01474788,     0.6176381, , 
   0.01494337,     0.6275696, , 
   0.01513982,     0.6374985, , 
   0.01534094,     0.6474249, , 
   0.01554673,     0.6573486, , 
   0.01575839,     0.6672697, , 
   0.01597703,     0.6771881, , 
   0.01620197,     0.6871037, , 
   0.01643323,     0.6970166, , 
   0.01666968,     0.7069266, , 
   0.01690748,     0.7168337, , 
   0.01714985,     0.7267378, , 
   0.01739529,      0.736639, , 
   0.01764393,     0.7465371, , 
   0.01789673,     0.7564322, , 
   0.01815307,     0.7663241, , 
   0.01841332,     0.7762129, , 
   0.01867994,     0.7860984, , 
   0.01895221,     0.7959807, , 
   0.01922662,     0.8058597, , 
   0.01950247,     0.8157353, , 
   0.01977882,     0.8256075, , 
    0.0200586,     0.8354763, , 
   0.02034481,     0.8453416, , 
   0.02063785,     0.8552034, , 
   0.02093703,     0.8650615, , 
   0.02123963,     0.8749161, , 
   0.02154377,      0.884767, , 
   0.02184692,     0.8946141, , 
   0.02215011,     0.9044575, , 
   0.02245765,     0.9142971, , 
   0.02277001,     0.9241328, , 
   0.02308929,     0.9339646, , 
   0.02341456,     0.9437925, , 
   0.02374094,     0.9536164, , 
   0.02406638,     0.9634362, , 
     0.024395,      0.973252, , 
   0.02472959,     0.9830636, , 
   0.02507126,     0.9928711, , 
   0.02542157,      1.002674, , 
   0.02577509,      1.012473, , 
   0.02612737,      1.022268, , 
    0.0264761,      1.032058, , 
   0.02682849,      1.041844, , 
   0.02718691,      1.051626, , 
   0.02755059,      1.061403, , 
   0.02791788,      1.071175, , 
   0.02828586,      1.080943, , 
    0.0286569,      1.090706, , 
   0.02903186,      1.100465, , 
   0.02941559,      1.110219, , 
   0.02980615,      1.119968, , 
   0.03019644,      1.129712, , 
    0.0305895,      1.139452, , 
   0.03098839,      1.149186, , 
   0.03139665,      1.158916, , 
   0.03180904,      1.168641, , 
   0.03221557,       1.17836, , 
   0.03262436,      1.188075, , 
   0.03303667,      1.197785, , 
   0.03345551,      1.207489, , 
   0.03387749,      1.217188, , 
   0.03430126,      1.226882, , 
   0.03473236,      1.236571, , 
   0.03516961,      1.246254, , 
   0.03561226,      1.255932, , 
   0.03605965,      1.265604, , 
    0.0365124,      1.275271, , 
   0.03696983,      1.284933, , 
   0.03743457,      1.294589, , 
   0.03790968,      1.304239, , 
   0.03838989,      1.313884, , 
   0.03887369,      1.323523, , 
     0.039359,      1.333157, , 
   0.03985118,      1.342784, , 
   0.04035425,      1.352406, , 
   0.04086604,      1.362022, , 
   0.04138946,      1.371632, , 
   0.04192521,      1.381236, , 
   0.04247693,      1.390834, , 
   0.04303657,      1.400426, , 
   0.04362203,      1.410012, , 
   0.04423616,      1.419592, , 
   0.04491777,      1.429166, , 
   0.04566654,      1.438734, , 
   0.04653053,      1.448295, , 
   0.04753684,       1.45785, , 
   0.04872644,      1.467399, , 
    0.0500503,      1.476941, , 
   0.05144271,      1.486477, , 
   0.05298269,      1.496007, , 
   0.05485463,       1.50553, , 
