,VLM2 -    0.0°-13.90m/s, , 
    -11.16667,    0.01923618, , 
        -11.1,     0.0183068, , 
    -11.03333,    0.02286785, , 
    -10.98121,    0.02639488, , 
     -10.9062,    0.02448028, , 
    -10.75669,    0.02305111, , 
     -10.5337,    0.02193536, , 
    -10.23875,    0.02037224, , 
    -9.873859,    0.01835036, , 
    -9.441521,    0.01709773, , 
    -8.944688,     0.0162629, , 
    -8.386754,    0.01571887, , 
     -7.77153,    0.01541793, , 
    -7.103219,    0.01533175, , 
    -6.386385,     0.0154402, , 
    -5.625926,    0.01572235, , 
    -4.827035,    0.01617036, , 
    -3.995172,    0.01681747, , 
    -3.136017,    0.01766802, , 
     -2.25544,    0.01878399, , 
    -1.359457,    0.02030105, , 
   -0.4541864,    0.02271441, , 
    0.4541864,    0.02271441, , 
     1.359457,    0.02030105, , 
      2.25544,    0.01878399, , 
     3.136017,    0.01766802, , 
     3.995172,    0.01681747, , 
     4.827035,    0.01617036, , 
     5.625926,    0.01572235, , 
     6.386385,     0.0154402, , 
     7.103219,    0.01533175, , 
      7.77153,    0.01541793, , 
     8.386754,    0.01571887, , 
     8.944688,     0.0162629, , 
     9.441521,    0.01709773, , 
     9.873859,    0.01835036, , 
     10.23875,    0.02037224, , 
      10.5337,    0.02193537, , 
     10.75669,    0.02305111, , 
      10.9062,     0.0244803, , 
     10.98121,     0.0263952, , 
     11.03333,      0.022868, , 
         11.1,    0.01830683, , 
     11.16667,    0.01923619, , 

