,VLM2 -    0.0°-13.90m/s, , 
    -11.16667, -0.0006945408, , 
        -11.1,   0.004134581, , 
    -11.03333,    0.01077646, , 
    -10.98121,    0.01535321, , 
     -10.9062,    0.01344923, , 
    -10.75669,    0.01190307, , 
     -10.5337,    0.01047811, , 
    -10.23875,   0.009080854, , 
    -9.873859,   0.007865402, , 
    -9.441521,   0.006936452, , 
    -8.944688,   0.006317671, , 
    -8.386754,   0.005987415, , 
     -7.77153,   0.005909109, , 
    -7.103219,   0.006047677, , 
    -6.386385,   0.006376536, , 
    -5.625926,   0.006880003, , 
    -4.827035,   0.007554321, , 
    -3.995172,   0.008409396, , 
    -3.136017,   0.009473501, , 
     -2.25544,    0.01080648, , 
    -1.359457,    0.01254544, , 
   -0.4541864,    0.01518917, , 
    0.4541864,    0.01518917, , 
     1.359457,    0.01254544, , 
      2.25544,    0.01080648, , 
     3.136017,   0.009473501, , 
     3.995172,   0.008409396, , 
     4.827035,   0.007554321, , 
     5.625926,   0.006880003, , 
     6.386385,   0.006376536, , 
     7.103219,   0.006047677, , 
      7.77153,   0.005909109, , 
     8.386754,   0.005987415, , 
     8.944688,   0.006317672, , 
     9.441521,   0.006936452, , 
     9.873859,   0.007865403, , 
     10.23875,   0.009080855, , 
      10.5337,    0.01047811, , 
     10.75669,    0.01190308, , 
      10.9062,    0.01344925, , 
     10.98121,    0.01535353, , 
     11.03333,    0.01077662, , 
         11.1,   0.004134605, , 
     11.16667, -0.0006945317, , 

