,VLM2 -    0.0°-13.90m/s, , 
    -11.16667,     0.3223186, , 
        -11.1,     0.3612957, , 
    -11.03333,     0.3687602, , 
    -10.98121,     0.3690257, , 
     -10.9062,     0.4138678, , 
    -10.75669,     0.4703137, , 
     -10.5337,     0.5258794, , 
    -10.23875,     0.5747264, , 
    -9.873859,     0.6159407, , 
    -9.441521,     0.6505766, , 
    -8.944688,     0.6800608, , 
    -8.386754,     0.7055959, , 
     -7.77153,     0.7280257, , 
    -7.103219,     0.7478716, , 
    -6.386385,      0.765411, , 
    -5.625926,     0.7807435, , 
    -4.827035,     0.7938319, , 
    -3.995172,     0.8045095, , 
    -3.136017,      0.812448, , 
     -2.25544,     0.8170545, , 
    -1.359457,     0.8171929, , 
   -0.4541864,     0.8101745, , 
    0.4541864,     0.8101745, , 
     1.359457,     0.8171929, , 
      2.25544,     0.8170545, , 
     3.136017,      0.812448, , 
     3.995172,     0.8045095, , 
     4.827035,     0.7938319, , 
     5.625926,     0.7807435, , 
     6.386385,      0.765411, , 
     7.103219,     0.7478716, , 
      7.77153,     0.7280257, , 
     8.386754,     0.7055959, , 
     8.944688,     0.6800608, , 
     9.441521,     0.6505766, , 
     9.873859,     0.6159407, , 
     10.23875,     0.5747264, , 
      10.5337,     0.5258794, , 
     10.75669,     0.4703136, , 
      10.9062,     0.4138677, , 
     10.98121,     0.3690255, , 
     11.03333,     0.3687602, , 
         11.1,     0.3612956, , 
     11.16667,     0.3223186, , 

