CD,T1-20.6 m/s-VLM2, , 
   0.01498487,    -0.2521069, , 
   0.01471308,    -0.2424262, , 
   0.01444364,    -0.2327439, , 
   0.01418604,    -0.2230598, , 
    0.0139451,    -0.2133741, , 
   0.01372112,    -0.2036869, , 
   0.01351089,    -0.1939981, , 
    0.0133145,    -0.1843079, , 
   0.01313255,    -0.1746162, , 
   0.01296699,    -0.1649232, , 
   0.01281441,    -0.1552289, , 
   0.01267598,    -0.1455333, , 
   0.01255224,    -0.1358364, , 
    0.0124423,    -0.1261384, , 
   0.01234221,    -0.1164393, , 
   0.01224646,    -0.1067391, , 
   0.01215364,   -0.09703788, , 
   0.01206292,   -0.08733568, , 
   0.01197493,   -0.07763255, , 
   0.01189214,   -0.06792854, , 
   0.01181504,    -0.0582237, , 
   0.01174372,   -0.04851809, , 
   0.01167825,   -0.03881174, , 
    0.0116198,   -0.02910472, , 
   0.01156693,   -0.01939707, , 
   0.01151746,  -0.009688835, , 
   0.01146084,  1.992916e-05, , 
   0.01139629,   0.009729175, , 
   0.01133887,    0.01943885, , 
   0.01128223,    0.02914891, , 
   0.01122906,    0.03885931, , 
   0.01117524,    0.04856998, , 
   0.01112073,    0.05828089, , 
   0.01106961,    0.06799199, , 
   0.01101646,    0.07770322, , 
   0.01096758,    0.08741453, , 
   0.01092166,    0.09712588, , 
   0.01087541,     0.1068372, , 
   0.01082642,     0.1165485, , 
   0.01077023,     0.1262596, , 
   0.01071065,     0.1359706, , 
   0.01065233,     0.1456814, , 
   0.01059208,     0.1553919, , 
   0.01052189,     0.1651021, , 
   0.01044191,      0.174812, , 
   0.01034957,     0.1845214, , 
   0.01022613,     0.1942304, , 
   0.01005658,     0.2039388, , 
  0.009858399,     0.2136467, , 
  0.009697605,      0.223354, , 
  0.009615078,     0.2330607, , 
  0.009596872,     0.2427666, , 
  0.009604179,     0.2524717, , 
  0.009636149,     0.2621761, , 
  0.009673466,     0.2718796, , 
  0.009724723,     0.2815822, , 
  0.009779515,     0.2912838, , 
  0.009843754,     0.3009844, , 
  0.009925235,      0.310684, , 
   0.01002465,     0.3203824, , 
   0.01013574,     0.3300797, , 
   0.01026351,     0.3397758, , 
   0.01040144,     0.3494706, , 
   0.01054766,     0.3591642, , 
   0.01070194,     0.3688563, , 
   0.01085928,     0.3785471, , 
   0.01102196,     0.3882364, , 
   0.01118635,     0.3979242, , 
   0.01134903,     0.4076105, , 
   0.01151425,     0.4172951, , 
   0.01168191,     0.4269781, , 
   0.01185126,     0.4366594, , 
   0.01202348,      0.446339, , 
   0.01219855,     0.4560167, , 
   0.01237705,     0.4656926, , 
    0.0125589,     0.4753666, , 
   0.01274379,     0.4850387, , 
    0.0129311,     0.4947087, , 
   0.01312159,     0.5043767, , 
   0.01331558,     0.5140426, , 
   0.01351386,     0.5237064, , 
   0.01371599,     0.5333679, , 
   0.01392182,     0.5430272, , 
    0.0141318,     0.5526843, , 
   0.01434613,     0.5623389, , 
   0.01456457,     0.5719912, , 
   0.01478679,     0.5816411, , 
   0.01501246,     0.5912884, , 
    0.0152422,     0.6009332, , 
   0.01547592,     0.6105754, , 
    0.0157134,      0.620215, , 
    0.0159549,     0.6298519, , 
   0.01620047,     0.6394861, , 
   0.01645045,     0.6491174, , 
   0.01670497,      0.658746, , 
   0.01696397,     0.6683716, , 
   0.01722753,     0.6779943, , 
   0.01749558,     0.6876141, , 
   0.01776846,     0.6972308, , 
    0.0180458,     0.7068444, , 
   0.01832769,     0.7164549, , 
   0.01861412,     0.7260622, , 
   0.01890393,     0.7356663, , 
   0.01919265,     0.7452672, , 
   0.01948323,     0.7548647, , 
   0.01977815,     0.7644588, , 
    0.0200775,     0.7740495, , 
   0.02038124,     0.7836368, , 
   0.02068796,     0.7932205, , 
   0.02099617,     0.8028007, , 
   0.02130645,     0.8123772, , 
   0.02161933,     0.8219501, , 
   0.02193473,     0.8315193, , 
   0.02225459,     0.8410847, , 
   0.02257769,     0.8506463, , 
   0.02290522,     0.8602041, , 
   0.02323608,      0.869758, , 
   0.02357124,     0.8793079, , 
    0.0239102,     0.8888538, , 
   0.02425272,     0.8983956, , 
   0.02459944,     0.9079334, , 
   0.02494996,      0.917467, , 
   0.02530437,     0.9269965, , 
   0.02566259,     0.9365217, , 
   0.02602416,     0.9460426, , 
   0.02638956,     0.9555592, , 
   0.02675986,     0.9650714, , 
   0.02713452,     0.9745792, , 
   0.02751431,     0.9840825, , 
   0.02789979,     0.9935812, , 
   0.02829125,      1.003075, , 
   0.02868803,      1.012565, , 
   0.02909095,       1.02205, , 
   0.02950039,       1.03153, , 
   0.02991587,      1.041006, , 
   0.03033612,      1.050476, , 
   0.03075706,      1.059942, , 
   0.03118101,      1.069403, , 
    0.0316076,      1.078859, , 
   0.03203752,       1.08831, , 
   0.03247801,      1.097756, , 
   0.03295112,      1.107197, , 
   0.03345462,      1.116632, , 
   0.03400004,      1.126063, , 
   0.03460615,      1.135488, , 
   0.03527648,      1.144908, , 
   0.03597214,      1.154323, , 
   0.03673269,      1.163732, , 
   0.03752234,      1.173136, , 
   0.03838488,      1.182534, , 
    0.0392268,      1.191927, , 
   0.04010065,      1.201315, , 
   0.04099096,      1.210697, , 
   0.04189381,      1.220073, , 
   0.04282338,      1.229443, , 
   0.04370018,      1.238808, , 
   0.04474883,      1.248167, , 
   0.04585205,       1.25752, , 
   0.04680929,      1.266867, , 
   0.04760113,      1.276209, , 
   0.04817598,      1.285544, , 
    0.0486952,      1.294873, , 
   0.04941331,      1.304197, , 
   0.05045079,      1.313514, , 
    0.0516086,      1.322825, , 
    0.0530829,       1.33213, , 
    0.0548909,      1.341428, , 
   0.05688261,      1.350721, , 
    0.0594357,      1.360007, , 
   0.06253008,      1.369286, , 
   0.06554865,       1.37856, , 
   0.06980372,      1.387827, , 
   0.07396693,      1.397087, , 
   0.07885683,      1.406341, , 
   0.08297622,      1.415588, , 
   0.08805651,      1.424828, , 
   0.09184348,      1.434062, , 
   0.09900855,      1.443289, , 

