Alpha,T1-20.6 m/s-VLM2, , 
          -10,     -16.82409, , 
         -9.9,     -16.47692, , 
         -9.8,     -16.11393, , 
         -9.7,     -15.72389, , 
         -9.6,     -15.30101, , 
         -9.5,     -14.84477, , 
         -9.4,     -14.35864, , 
         -9.3,     -13.84265, , 
         -9.2,     -13.29645, , 
         -9.1,      -12.7187, , 
           -9,     -12.11362, , 
         -8.9,     -11.48103, , 
         -8.8,     -10.82169, , 
         -8.7,     -10.13787, , 
         -8.6,     -9.434232, , 
         -8.5,     -8.715913, , 
         -8.4,     -7.984263, , 
         -8.3,     -7.240011, , 
         -8.2,     -6.482925, , 
         -8.1,     -5.712055, , 
           -8,     -4.927933, , 
         -7.9,     -4.131408, , 
         -7.8,     -3.323422, , 
         -7.7,     -2.504752, , 
         -7.6,     -1.676942, , 
         -7.5,    -0.8412301, , 
         -7.4,   0.001738891, , 
         -7.3,     0.8537142, , 
         -7.2,      1.714356, , 
         -7.1,      2.583612, , 
           -7,      3.460602, , 
         -6.9,      4.346215, , 
         -6.8,      5.240744, , 
         -6.7,      6.142219, , 
         -6.6,      7.053371, , 
         -6.5,      7.970268, , 
         -6.4,      8.892961, , 
         -6.3,      9.823746, , 
         -6.2,      10.76519, , 
         -6.1,      11.72302, , 
           -6,       12.6949, , 
         -5.9,      13.67601, , 
         -5.8,      14.67058, , 
         -5.7,       15.6913, , 
         -5.6,      16.74138, , 
         -5.5,       17.8289, , 
         -5.4,      18.99354, , 
         -5.3,      20.27914, , 
         -5.2,      21.67154, , 
         -5.1,      23.03188, , 
           -5,      24.23908, , 
         -4.9,      25.29643, , 
         -4.8,      26.28769, , 
         -4.7,      27.20756, , 
         -4.6,       28.1057, , 
         -4.5,      28.95529, , 
         -4.4,      29.78509, , 
         -4.3,      30.57618, , 
         -4.2,      31.30243, , 
         -4.1,      31.95947, , 
           -4,      32.56593, , 
         -3.9,      33.10521, , 
         -3.8,       33.5983, , 
         -3.7,      34.05154, , 
         -3.6,       34.4663, , 
         -3.5,      34.85932, , 
         -3.4,       35.2239, , 
         -3.3,      35.57231, , 
         -3.2,      35.91589, , 
         -3.1,      36.24162, , 
           -3,      36.55036, , 
         -2.9,      36.84496, , 
         -2.8,      37.12226, , 
         -2.7,      37.38288, , 
         -2.6,      37.62549, , 
         -2.5,      37.85098, , 
         -2.4,      38.06079, , 
         -2.3,      38.25728, , 
         -2.2,      38.43868, , 
         -2.1,       38.6046, , 
           -2,      38.75327, , 
         -1.9,      38.88659, , 
         -1.8,      39.00549, , 
         -1.7,      39.10925, , 
         -1.6,      39.19794, , 
         -1.5,      39.27277, , 
         -1.4,      39.33518, , 
         -1.3,      39.38651, , 
         -1.2,      39.42562, , 
         -1.1,      39.45326, , 
           -1,      39.47044, , 
         -0.9,      39.47703, , 
         -0.8,      39.47329, , 
         -0.7,      39.45894, , 
         -0.6,      39.43414, , 
         -0.5,      39.39947, , 
         -0.4,      39.35529, , 
         -0.3,      39.30215, , 
         -0.2,      39.23981, , 
         -0.1,      39.16946, , 
            0,      39.09139, , 
          0.1,      39.00599, , 
          0.2,      38.91605, , 
          0.3,      38.83086, , 
          0.4,      38.74433, , 
          0.5,      38.65169, , 
          0.6,      38.55308, , 
          0.7,      38.44892, , 
          0.8,      38.34213, , 
          0.9,      38.23558, , 
            1,      38.12823, , 
          1.1,      38.01922, , 
          1.2,       37.9088, , 
          1.3,      37.79376, , 
          1.4,      37.67642, , 
          1.5,      37.55494, , 
          1.6,      37.43135, , 
          1.7,      37.30426, , 
          1.8,      37.17467, , 
          1.9,      37.04309, , 
            2,       36.9087, , 
          2.1,      36.77228, , 
          2.2,      36.63385, , 
          2.3,      36.49365, , 
          2.4,      36.35247, , 
          2.5,      36.20975, , 
          2.6,      36.06415, , 
          2.7,      35.91658, , 
          2.8,       35.7662, , 
          2.9,       35.6125, , 
            3,      35.45533, , 
          3.1,      35.29574, , 
          3.2,      35.13292, , 
          3.3,      34.96666, , 
          3.4,      34.79778, , 
          3.5,      34.62791, , 
          3.6,      34.46174, , 
          3.7,      34.29661, , 
          3.8,      34.13289, , 
          3.9,      33.96986, , 
            4,      33.79997, , 
          4.1,      33.60118, , 
          4.2,      33.37752, , 
          4.3,      33.11945, , 
          4.4,      32.81174, , 
          4.5,      32.45528, , 
          4.6,      32.08935, , 
          4.7,       31.6811, , 
          4.8,        31.265, , 
          4.9,       30.8073, , 
            5,      30.38554, , 
          5.1,      29.95749, , 
          5.2,       29.5357, , 
          5.3,      29.12298, , 
          5.4,      28.70962, , 
          5.5,      28.34789, , 
          5.6,      27.89272, , 
          5.7,       27.4256, , 
          5.8,      27.06444, , 
          5.9,      26.81047, , 
            6,      26.68433, , 
          6.1,      26.59139, , 
          6.2,      26.39363, , 
          6.3,      26.03554, , 
          6.4,      25.63187, , 
          6.5,      25.09527, , 
          6.6,      24.43808, , 
          6.7,      23.74576, , 
          6.8,      22.88198, , 
          6.9,      21.89804, , 
            7,      21.03109, , 
          7.1,      19.88184, , 
          7.2,      18.88799, , 
          7.3,       17.8341, , 
          7.4,      17.06016, , 
          7.5,      16.18084, , 
          7.6,       15.6142, , 
          7.7,      14.57742, , 

