Alpha,T1_Re2.000_M0.00_N9.0, , 
          -15,     -1.987083, , 
        -14.9,      -1.99237, , 
        -14.8,     -1.998218, , 
        -14.7,     -2.004663, , 
        -14.6,     -2.011748, , 
        -14.5,     -2.019524, , 
        -14.4,     -2.028047, , 
        -14.3,     -2.037375, , 
        -14.2,     -2.047576, , 
        -14.1,      -2.05872, , 
          -14,      -2.07086, , 
        -13.9,     -2.084121, , 
        -13.8,     -2.098574, , 
        -13.7,     -2.114319, , 
        -13.6,     -2.131472, , 
         -8.9,     -24.39162, , 
         -8.8,     -24.58767, , 
         -8.7,     -24.41756, , 
         -8.6,     -24.14381, , 
         -8.5,     -23.82228, , 
         -8.4,     -23.47215, , 
         -8.3,     -23.10099, , 
         -8.2,     -22.71214, , 
         -8.1,     -22.30781, , 
           -8,     -21.88956, , 
         -7.9,      -21.4413, , 
         -7.8,     -20.92917, , 
         -7.7,     -20.27366, , 
         -7.6,     -19.79102, , 
         -6.7,      -25.8195, , 
         -6.6,     -25.60473, , 
         -6.5,     -25.00891, , 
         -6.4,      -24.2937, , 
         -6.3,     -23.51724, , 
         -6.2,     -22.70633, , 
         -6.1,     -21.87792, , 
           -6,     -21.04403, , 
         -5.9,      -20.2148, , 
         -5.8,     -19.39994, , 
           -5,     -14.15062, , 
         -4.9,     -13.00599, , 
         -4.8,     -11.85131, , 
         -4.7,     -10.69107, , 
         -4.6,      -9.52251, , 
         -4.5,     -8.341303, , 
         -4.4,      -7.14362, , 
         -4.3,     -5.922971, , 
         -4.2,     -4.659151, , 
         -4.1,     -3.427835, , 
           -4,     -2.189313, , 
         -3.9,    -0.9311572, , 
         -3.8,     0.3450621, , 
         -3.7,      1.638954, , 
         -3.6,       2.95012, , 
         -3.5,      4.277659, , 
         -3.4,      5.620438, , 
         -3.3,      6.977347, , 
         -3.2,      8.348176, , 
         -3.1,      9.731749, , 
           -3,      11.22737, , 
         -2.9,      12.65951, , 
         -2.8,      14.11357, , 
         -2.7,      15.62323, , 
         -2.6,      17.19524, , 
         -2.5,      18.74326, , 
         -2.4,      20.43759, , 
         -2.3,      22.09884, , 
         -2.2,      23.84749, , 
         -2.1,      25.71075, , 
         -1.9,      29.98113, , 
         -1.8,      32.10373, , 
         -1.7,      34.62821, , 
         -1.6,      37.47035, , 
         -1.5,      40.67952, , 
         -1.3,      55.33514, , 
         -1.2,      57.26721, , 
         -1.1,       57.9805, , 
           -1,      59.64843, , 
         -0.9,      61.30478, , 
         -0.8,      63.10411, , 
         -0.7,       65.6964, , 
         -0.6,      68.08375, , 
         -0.5,      70.24307, , 
         -0.4,      72.17713, , 
         -0.3,       73.9044, , 
         -0.2,      75.51582, , 
         -0.1,      77.06838, , 
            0,      78.62712, , 
          0.1,      80.27307, , 
          0.2,      82.05229, , 
          0.3,      83.95384, , 
          0.4,      85.93107, , 
          0.5,       87.9016, , 
          0.6,      89.85023, , 
          0.7,      91.77867, , 
          0.8,      93.67823, , 
          0.9,      95.55658, , 
            1,      97.42073, , 
          1.1,      99.27217, , 
          1.2,      101.1081, , 
          1.3,      102.9259, , 
          1.4,      104.7215, , 
          1.5,      106.4899, , 
          1.6,      108.2269, , 
          1.7,      109.9309, , 
          1.8,      111.6038, , 
          1.9,      113.2509, , 
            2,      114.8802, , 
          2.1,      116.4806, , 
          2.2,      118.0453, , 
          2.3,      119.5549, , 
          2.4,      121.0144, , 
          2.5,       122.412, , 
          2.6,      123.7409, , 
          2.7,      124.9977, , 
          2.8,      126.2057, , 
          2.9,      127.3797, , 
            3,      128.5176, , 
          3.1,      130.4379, , 
          3.2,      132.4084, , 
          3.3,      134.3499, , 
          3.4,      136.2942, , 
          3.5,      138.2529, , 
          3.6,       140.205, , 
          3.7,      142.1249, , 
          3.8,      143.9616, , 
          3.9,      145.7362, , 
            4,      147.4987, , 
          4.1,      149.2631, , 
          4.2,       151.019, , 
          4.3,      152.7509, , 
          4.4,      154.4441, , 
          4.5,      156.0923, , 
          4.6,      157.7134, , 
          4.7,      159.3253, , 
          4.8,      160.9037, , 
          4.9,      162.3638, , 
            5,      163.6629, , 
          5.1,      164.7539, , 
          5.2,      165.6516, , 
          5.3,      166.3906, , 
          5.4,      166.8997, , 
          5.5,      167.0952, , 
          5.6,      167.2598, , 
          5.7,      167.5222, , 
          5.8,      168.6652, , 
          5.9,      169.8251, , 
            6,      170.8723, , 
          6.1,       171.314, , 
          6.2,       168.726, , 
          6.3,      163.8763, , 
          6.4,      161.7646, , 
          6.5,      153.9054, , 
          6.6,      150.3608, , 
          6.7,      142.8332, , 
          6.8,      139.1931, , 
          6.9,      132.9581, , 
            7,      129.7012, , 
          7.1,      124.1831, , 
          7.2,      122.0733, , 
          7.3,      117.1549, , 
          7.4,      115.0891, , 
          7.5,      112.4789, , 
          7.6,      108.9579, , 
          7.7,      107.5997, , 
          7.8,      106.0979, , 
          7.9,      102.9426, , 
            8,       100.477, , 
          8.1,       99.4905, , 
          8.3,      96.55209, , 
          8.4,       94.1989, , 
          8.5,      92.14265, , 
          8.6,      90.93712, , 
          8.7,      89.96505, , 
          8.9,      86.65197, , 
            9,      84.10983, , 
          9.1,      81.82153, , 
          9.2,      80.12979, , 
          9.3,      78.44293, , 
          9.4,      76.37693, , 
          9.5,      85.72257, , 
          9.6,      83.97608, , 
          9.7,      81.56719, , 
          9.8,      79.13005, , 
          9.9,      76.65117, , 
           10,      75.06285, , 
         10.1,       73.9344, , 
         10.2,      72.59822, , 
         10.3,       70.5544, , 
         10.4,      68.23389, , 
         10.5,      66.13304, , 
         10.6,      64.35181, , 
         10.7,      62.53708, , 
         10.8,      61.26759, , 
         10.9,      60.12116, , 
           11,      58.87007, , 
         11.1,      57.46639, , 
         11.2,      55.84856, , 
         11.3,      53.65245, , 
         11.4,      52.16251, , 
         11.5,      51.07025, , 
         11.6,       50.2704, , 
         11.7,      49.49327, , 
         11.8,      48.66647, , 
         11.9,      47.71655, , 
           12,      46.27739, , 
         12.1,      44.61211, , 
         12.2,      43.46102, , 
         12.3,      42.49036, , 
         12.4,      41.66988, , 
         12.5,      41.00592, , 
         12.6,       40.4436, , 
         12.7,      39.86572, , 
         12.8,       39.2622, , 
         12.9,      38.60841, , 
           13,      37.23384, , 
         13.1,      36.22884, , 
         13.2,      35.51514, , 
         13.3,      34.86306, , 
         13.4,      34.26103, , 
         13.5,      33.69212, , 
         13.6,       33.1671, , 
         13.7,      32.71957, , 
         13.8,       32.3531, , 
         13.9,      31.98251, , 
           14,      31.59532, , 
         14.1,      31.18287, , 
         14.2,      30.74109, , 
         14.5,      27.44747, , 
         14.6,      27.01539, , 
         14.7,       26.7431, , 
         14.8,      26.48614, , 
         14.9,      26.24103, , 
           15,       25.9989, , 
         15.1,      25.75837, , 
         15.2,      25.51743, , 
         15.3,      25.27477, , 
         15.4,      25.02834, , 
         15.5,      24.77597, , 
         15.6,      24.51536, , 
         15.7,      24.24361, , 
         15.8,      23.95694, , 
         15.9,       23.6499, , 
           16,      23.27511, , 
         16.1,      22.21562, , 
         16.2,      21.94777, , 
         16.3,      21.72434, , 
         16.4,       21.5233, , 
         16.5,      21.33574, , 
         16.6,      21.15691, , 
         16.7,       20.9836, , 
         16.8,      20.81384, , 
         16.9,      20.64603, , 
           17,      20.47873, , 
         17.1,      20.31059, , 
         17.2,      20.14027, , 
         17.3,      19.96626, , 
         17.4,      19.78681, , 
         17.5,       19.5973, , 
         17.6,      19.39624, , 
         17.7,      19.18221, , 
         17.8,      18.94705, , 
         17.9,      18.17252, , 
           18,      17.93213, , 
         18.1,      17.74859, , 
         18.2,      17.58748, , 
         18.3,      17.43837, , 
         18.4,      17.29618, , 
         18.5,      17.15787, , 
         18.6,      17.02146, , 
         18.7,      16.88523, , 
         18.8,      16.74757, , 
         18.9,      16.60689, , 
           19,      16.46132, , 
         19.1,      16.30857, , 
         19.2,      16.14549, , 
         19.3,      15.96737, , 
         19.4,      15.76301, , 
         19.5,      15.13618, , 
         19.6,      14.97117, , 
         19.7,       14.8339, , 
         19.8,      14.70958, , 
         19.9,      14.59429, , 
           20,      14.48127, , 

