Alpha,T1-20.6 m/s-VLM2, , 
          -10,     0.1696504, , 
         -9.9,     0.1672686, , 
         -9.8,     0.1648774, , 
         -9.7,     0.1624763, , 
         -9.6,     0.1600655, , 
         -9.5,     0.1576464, , 
         -9.4,     0.1552201, , 
         -9.3,     0.1527877, , 
         -9.2,     0.1503496, , 
         -9.1,     0.1479067, , 
           -9,     0.1454585, , 
         -8.9,     0.1430047, , 
         -8.8,     0.1405457, , 
         -8.7,     0.1380826, , 
         -8.6,     0.1356142, , 
         -8.5,     0.1331386, , 
         -8.4,     0.1306559, , 
         -8.3,     0.1281651, , 
         -8.2,     0.1256662, , 
         -8.1,     0.1231604, , 
           -8,     0.1206478, , 
         -7.9,     0.1181285, , 
         -7.8,     0.1156023, , 
         -7.7,     0.1130696, , 
         -7.6,     0.1105302, , 
         -7.5,     0.1079838, , 
         -7.4,     0.1054286, , 
         -7.3,     0.1028655, , 
         -7.2,     0.1002937, , 
         -7.1,    0.09771351, , 
           -7,    0.09512575, , 
         -6.9,    0.09252977, , 
         -6.8,    0.08992569, , 
         -6.7,    0.08731368, , 
         -6.6,    0.08469513, , 
         -6.5,    0.08206965, , 
         -6.4,     0.0794373, , 
         -6.3,    0.07679799, , 
         -6.2,    0.07415117, , 
         -6.1,    0.07149713, , 
           -6,    0.06883553, , 
         -5.9,    0.06616597, , 
         -5.8,    0.06348835, , 
         -5.7,    0.06080308, , 
         -5.6,     0.0581098, , 
         -5.5,    0.05540792, , 
         -5.4,    0.05269878, , 
         -5.3,    0.04998176, , 
         -5.2,    0.04725397, , 
         -5.1,    0.04451271, , 
           -5,     0.0417605, , 
         -4.9,    0.03900028, , 
         -4.8,    0.03623813, , 
         -4.7,    0.03347424, , 
         -4.6,    0.03070451, , 
         -4.5,    0.02793314, , 
         -4.4,    0.02515813, , 
         -4.3,      0.022379, , 
         -4.2,    0.01959659, , 
         -4.1,    0.01681188, , 
           -4,    0.01402244, , 
         -3.9,    0.01123028, , 
         -3.8,   0.008433318, , 
         -3.7,   0.005631459, , 
         -3.6,   0.002825159, , 
         -3.5,  1.295272e-05, , 
         -3.4,  -0.002803635, , 
         -3.3,  -0.005625711, , 
         -3.2,  -0.008454878, , 
         -3.1,    -0.0112894, , 
           -3,   -0.01412958, , 
         -2.9,   -0.01697624, , 
         -2.8,   -0.01982902, , 
         -2.7,   -0.02268799, , 
         -2.6,    -0.0255529, , 
         -2.5,   -0.02842385, , 
         -2.4,   -0.03130096, , 
         -2.3,   -0.03418451, , 
         -2.2,   -0.03707412, , 
         -2.1,   -0.03996964, , 
           -2,   -0.04287061, , 
         -1.9,   -0.04577728, , 
         -1.8,   -0.04868968, , 
         -1.7,   -0.05160754, , 
         -1.6,   -0.05453076, , 
         -1.5,   -0.05745944, , 
         -1.4,   -0.06039372, , 
         -1.3,   -0.06333372, , 
         -1.2,    -0.0662791, , 
         -1.1,   -0.06922986, , 
           -1,   -0.07218608, , 
         -0.9,   -0.07514764, , 
         -0.8,   -0.07811449, , 
         -0.7,   -0.08108654, , 
         -0.6,    -0.0840637, , 
         -0.5,   -0.08704597, , 
         -0.4,   -0.09003333, , 
         -0.3,   -0.09302573, , 
         -0.2,   -0.09602298, , 
         -0.1,   -0.09902506, , 
            0,    -0.1020321, , 
          0.1,     -0.105044, , 
          0.2,    -0.1080605, , 
          0.3,    -0.1110816, , 
          0.4,    -0.1141073, , 
          0.5,    -0.1171376, , 
          0.6,    -0.1201727, , 
          0.7,    -0.1232123, , 
          0.8,    -0.1262566, , 
          0.9,    -0.1293056, , 
            1,    -0.1323593, , 
          1.1,    -0.1354177, , 
          1.2,     -0.138481, , 
          1.3,    -0.1415488, , 
          1.4,    -0.1446214, , 
          1.5,    -0.1476981, , 
          1.6,    -0.1507794, , 
          1.7,    -0.1538649, , 
          1.8,    -0.1569547, , 
          1.9,    -0.1600487, , 
            2,    -0.1631469, , 
          2.1,    -0.1662494, , 
          2.2,    -0.1693561, , 
          2.3,    -0.1724669, , 
          2.4,    -0.1755819, , 
          2.5,    -0.1787011, , 
          2.6,    -0.1818242, , 
          2.7,    -0.1849515, , 
          2.8,     -0.188083, , 
          2.9,    -0.1912185, , 
            3,    -0.1943577, , 
          3.1,    -0.1975009, , 
          3.2,    -0.2006481, , 
          3.3,    -0.2037992, , 
          3.4,    -0.2069538, , 
          3.5,    -0.2101118, , 
          3.6,    -0.2132733, , 
          3.7,    -0.2164382, , 
          3.8,    -0.2196065, , 
          3.9,    -0.2227783, , 
            4,    -0.2259537, , 
          4.1,    -0.2291329, , 
          4.2,    -0.2323164, , 
          4.3,    -0.2355032, , 
          4.4,    -0.2386936, , 
          4.5,    -0.2418876, , 
          4.6,    -0.2450818, , 
          4.7,     -0.248278, , 
          4.8,    -0.2514744, , 
          4.9,    -0.2546678, , 
            5,    -0.2578623, , 
          5.1,    -0.2610518, , 
          5.2,    -0.2642427, , 
          5.3,    -0.2674381, , 
          5.4,    -0.2706252, , 
          5.5,    -0.2738135, , 
          5.6,    -0.2770091, , 
          5.7,    -0.2801932, , 
          5.8,    -0.2833857, , 
          5.9,    -0.2865862, , 
            6,    -0.2898034, , 
          6.1,    -0.2929985, , 
          6.2,    -0.2962017, , 
          6.3,    -0.2993955, , 
          6.4,    -0.3025937, , 
          6.5,    -0.3057923, , 
          6.6,    -0.3089812, , 
          6.7,    -0.3121208, , 
          6.8,    -0.3152753, , 
          6.9,    -0.3183656, , 
            7,    -0.3215102, , 
          7.1,    -0.3244992, , 
          7.2,    -0.3276037, , 
          7.3,     -0.330462, , 
          7.4,    -0.3334954, , 
          7.5,    -0.3363508, , 
          7.6,    -0.3393561, , 
          7.7,    -0.3421983, , 

