,VLM2 -    0.0°-20.60m/s, , ,, , 
    -9.129613,     0.2404726, ,     -1.462863, -4.829945e-10, , 
    -9.072502,     0.3892083, ,     -1.321672, -7.366907e-10, , 
    -8.960015,      0.507793, ,     -1.067254, -8.733493e-10, , 
     -8.79557,     0.5884421, ,         -0.75, -8.977877e-10, , 
    -8.584164,     0.6390726, ,     -0.432746, -8.325819e-10, , 
     -8.33222,     0.6687488, ,     -0.178328, -7.217428e-10, , 
    -8.047393,     0.6841322, ,   -0.03713667, -6.256215e-10, , 
    -7.738338,     0.6894992, , , , , 
    -7.414445,     0.6876225, , , , , 
    -7.109287,     0.7003953, , , , , 
    -6.560211,     0.7279052, , , , , 
    -5.515806,     0.7530968, , , , , 
    -4.078306,     0.7667097, , , , , 
    -2.388424,     0.7655356, , , , , 
    -1.463292,     0.7490245, , , , , 
    -1.320055,      0.757908, , , , , 
    -1.047602,     0.7646376, , , , , 
   -0.6726017,     0.7683198, , , , , 
   -0.2317627,     0.7671508, , , , , 
    0.2317627,     0.7671508, , , , , 
    0.6726017,     0.7683198, , , , , 
     1.047602,     0.7646376, , , , , 
     1.320055,      0.757908, , , , , 
     1.463292,     0.7490245, , , , , 
     2.388424,     0.7655356, , , , , 
     4.078306,     0.7667097, , , , , 
     5.515806,     0.7530968, , , , , 
     6.560211,     0.7279052, , , , , 
     7.109287,     0.7003952, , , , , 
     7.414445,     0.6876225, , , , , 
     7.738338,     0.6894992, , , , , 
     8.047393,     0.6841322, , , , , 
      8.33222,     0.6687488, , , , , 
     8.584164,     0.6390726, , , , , 
      8.79557,     0.5884421, , , , , 
     8.960015,      0.507793, , , , , 
     9.072502,     0.3892083, , , , , 
     9.129613,     0.2404726, , , , , 

