,VLM2 -    0.0°-20.60m/s, , ,, , 
    -9.128384,     0.1607991, ,     -1.462863,  2.466476e-16, , 
    -9.066028,     0.2680812, ,     -1.321672,  3.846832e-16, , 
    -8.941742,     0.3660098, ,     -1.067254,   4.10702e-16, , 
    -8.756374,      0.447672, ,         -0.75,  4.775534e-16, , 
    -8.511192,     0.5138623, ,     -0.432746,   4.74155e-16, , 
     -8.20787,     0.5670788, ,     -0.178328,  3.764551e-16, , 
    -7.848479,     0.6101637, ,   -0.03713667,  6.316339e-16, , 
    -7.435476,     0.6455993, , , , , 
     -6.97168,     0.6753003, , , , , 
    -6.460261,     0.7006305, , , , , 
    -5.904712,     0.7224958, , , , , 
    -5.308828,     0.7414485, , , , , 
    -4.676678,      0.757774, , , , , 
    -4.012583,     0.7715502, , , , , 
    -3.321077,     0.7826722, , , , , 
    -2.606886,     0.7908354, , , , , 
    -1.874886,     0.7954542, , , , , 
    -1.130079,     0.7960809, , , , , 
   -0.3775528,     0.7884036, , , , , 
    0.3775528,     0.7884036, , , , , 
     1.130079,     0.7960809, , , , , 
     1.874886,     0.7954542, , , , , 
     2.606886,     0.7908354, , , , , 
     3.321077,     0.7826722, , , , , 
     4.012583,     0.7715502, , , , , 
     4.676678,      0.757774, , , , , 
     5.308828,     0.7414485, , , , , 
     5.904712,     0.7224958, , , , , 
     6.460261,     0.7006305, , , , , 
      6.97168,     0.6753003, , , , , 
     7.435476,     0.6455993, , , , , 
     7.848479,     0.6101637, , , , , 
      8.20787,     0.5670788, , , , , 
     8.511192,     0.5138623, , , , , 
     8.756374,      0.447672, , , , , 
     8.941742,     0.3660098, , , , , 
     9.066028,     0.2680812, , , , , 
     9.128384,     0.1607991, , , , , 

